experiment_id,family_id,mechanism,parameters,N,mean_pips,PF,expectancy_R,stress_R,remove_best,status,reason
E001,F01,momentum k=5,x>2p h=15,6577,0.013,,,,,SCREEN,t=0.17 nonoverlap
E002,F01,momentum k=5,x>2p h=30,4172,0.083,,,,,SCREEN,t=0.65 nonoverlap
E003,F01,momentum k=5,x>2p h=60,2471,0.225,,,,,SCREEN,t=1.0 nonoverlap
E004,F01,momentum k=5,x>4p h=15,3173,-0.123,,,,,SCREEN,t=-0.96 nonoverlap
E005,F01,momentum k=5,x>4p h=30,2298,0.125,,,,,SCREEN,t=0.63 nonoverlap
E006,F01,momentum k=5,x>4p h=60,1545,0.286,,,,,SCREEN,t=0.91 nonoverlap
E007,F01,momentum k=5,x>6p h=15,1444,-0.242,,,,,SCREEN,t=-1.02 nonoverlap
E008,F01,momentum k=5,x>6p h=30,1140,0.17,,,,,SCREEN,t=0.49 nonoverlap
E009,F01,momentum k=5,x>6p h=60,846,0.253,,,,,SCREEN,t=0.52 nonoverlap
E010,F01,momentum k=5,x>10p h=15,359,-0.311,,,,,SCREEN,t=-0.57 nonoverlap
E011,F01,momentum k=5,x>10p h=30,307,0.576,,,,,SCREEN,t=0.61 nonoverlap
E012,F01,momentum k=5,x>10p h=60,255,1.529,,,,,SCREEN,t=1.29 nonoverlap
E013,F01,momentum k=15,x>2p h=15,6222,-0.093,,,,,SCREEN,t=-1.21 nonoverlap
E014,F01,momentum k=15,x>2p h=30,4139,0.013,,,,,SCREEN,t=0.11 nonoverlap
E015,F01,momentum k=15,x>2p h=60,2477,0.117,,,,,SCREEN,t=0.53 nonoverlap
E016,F01,momentum k=15,x>4p h=15,3841,-0.085,,,,,SCREEN,t=-0.79 nonoverlap
E017,F01,momentum k=15,x>4p h=30,2782,0.121,,,,,SCREEN,t=0.71 nonoverlap
E018,F01,momentum k=15,x>4p h=60,1855,0.161,,,,,SCREEN,t=0.58 nonoverlap
E019,F01,momentum k=15,x>6p h=15,2285,-0.163,,,,,SCREEN,t=-1.01 nonoverlap
E020,F01,momentum k=15,x>6p h=30,1809,0.051,,,,,SCREEN,t=0.22 nonoverlap
E021,F01,momentum k=15,x>6p h=60,1284,0.097,,,,,SCREEN,t=0.27 nonoverlap
E022,F01,momentum k=15,x>10p h=15,793,-0.051,,,,,SCREEN,t=-0.17 nonoverlap
E023,F01,momentum k=15,x>10p h=30,682,0.299,,,,,SCREEN,t=0.6 nonoverlap
E024,F01,momentum k=15,x>10p h=60,551,0.869,,,,,SCREEN,t=1.29 nonoverlap
E025,F01,momentum k=30,x>2p h=15,6299,0.027,,,,,SCREEN,t=0.39 nonoverlap
E026,F01,momentum k=30,x>2p h=30,3682,0.162,,,,,SCREEN,t=1.23 nonoverlap
E027,F01,momentum k=30,x>2p h=60,2326,0.206,,,,,SCREEN,t=0.91 nonoverlap
E028,F01,momentum k=30,x>4p h=15,4395,0.038,,,,,SCREEN,t=0.38 nonoverlap
E029,F01,momentum k=30,x>4p h=30,2709,0.143,,,,,SCREEN,t=0.84 nonoverlap
E030,F01,momentum k=30,x>4p h=60,1868,0.257,,,,,SCREEN,t=0.95 nonoverlap
E031,F01,momentum k=30,x>6p h=15,3045,-0.134,,,,,SCREEN,t=-1.07 nonoverlap
E032,F01,momentum k=30,x>6p h=30,1955,0.021,,,,,SCREEN,t=0.1 nonoverlap
E033,F01,momentum k=30,x>6p h=60,1413,0.097,,,,,SCREEN,t=0.29 nonoverlap
