experiment_id,family_id,mechanism,feature_causality_pass,parameters,N,mean_pips,PF,expectancy_R,stress_pips,remove_best_pips,status,reason
E001,F01,serial-dep x vol regime,PASS,cont_hi,752,1.238,,,,,SCREEN,"h=240 t=1.36 N120 L=(983, 0.817, 1.34) S=(976, 0.731, 1.26) mon120={1: 4.75, 2: 0.78, 3: 2.99, 4: 0.45, 5: 1.64, 6: 1.16, 7: 2.8, 8: 1.19, 9: -1.41, 10: -0.83, 11: -0.67, 12: -1.57}"
E002,F01,serial-dep x vol regime,PASS,rev_lo,665,0.17,,,,,SCREEN,"h=240 t=0.24 N120 L=(617, -0.948, -2.06) S=(581, 0.492, 0.98) mon120={1: 0.78, 2: -2.26, 3: 0.42, 4: 0.85, 5: 0.81, 6: -0.76, 7: -2.06, 8: 0.96, 9: -1.03, 10: -1.58, 11: 0.42, 12: 0.09}"
E003,F02,compression->box breakout,PASS,breakout,390,0.402,,,,,SCREEN,"h=120 t=0.63 N120 L=(224, 0.62, 0.81) S=(199, 0.87, 0.87) mon120={1: -15.38, 2: -0.61, 3: 0.72, 4: 0.28, 5: 2.05, 6: 2.05, 7: 4.97, 8: -1.19, 9: 1.5, 10: -0.73, 11: 0.18, 12: 1.28}"
E004,F03,failed break out of compression -> fade,PASS,fade,402,1.33,,,,,SCREEN,"h=240 t=1.46 N120 L=(269, 1.544, 1.93) S=(289, 0.141, 0.2) mon120={1: -5.38, 2: -1.25, 3: -0.7, 4: -0.23, 5: 2.06, 6: 1.52, 7: 3.58, 8: -2.45, 9: 3.95, 10: 1.77, 11: 2.4, 12: 0.76}"
E005,F04,overnight->London flip,FAIL,gate,nan,,,,,,CAUSALITY_FAIL,rejected pre-PnL
E006,F05,London->NY reversal handoff,FAIL,gate,nan,,,,,,CAUSALITY_FAIL,rejected pre-PnL
E007,F06,directional deceleration,FAIL,gate,nan,,,,,,CAUSALITY_FAIL,rejected pre-PnL
E008,F07,fresh 24h extreme continuation,FAIL,gate,nan,,,,,,CAUSALITY_FAIL,rejected pre-PnL
E009,F08,absorption vs fresh 2h extreme,FAIL,gate,nan,,,,,,CAUSALITY_FAIL,rejected pre-PnL
E010,F10,range-persistence expansion day,FAIL,gate,nan,,,,,,CAUSALITY_FAIL,rejected pre-PnL
E011,F01,serial-dep x vol regime,PASS,cont_hi,752,1.238,,,,,SCREEN,"h=240 t=1.36 N120 L=(983, 0.817, 1.34) S=(976, 0.731, 1.26) mon120={1: 4.75, 2: 0.78, 3: 2.99, 4: 0.45, 5: 1.64, 6: 1.16, 7: 2.8, 8: 1.19, 9: -1.41, 10: -0.83, 11: -0.67, 12: -1.57}"
E012,F01,serial-dep x vol regime,PASS,rev_lo,665,0.17,,,,,SCREEN,"h=240 t=0.24 N120 L=(617, -0.948, -2.06) S=(581, 0.492, 0.98) mon120={1: 0.78, 2: -2.26, 3: 0.42, 4: 0.85, 5: 0.81, 6: -0.76, 7: -2.06, 8: 0.96, 9: -1.03, 10: -1.58, 11: 0.42, 12: 0.09}"
E013,F02,compression->box breakout,PASS,breakout,390,0.402,,,,,SCREEN,"h=120 t=0.63 N120 L=(224, 0.62, 0.81) S=(199, 0.87, 0.87) mon120={1: -15.38, 2: -0.61, 3: 0.72, 4: 0.28, 5: 2.05, 6: 2.05, 7: 4.97, 8: -1.19, 9: 1.5, 10: -0.73, 11: 0.18, 12: 1.28}"
E014,F03,failed break out of compression -> fade,PASS,fade,402,1.33,,,,,SCREEN,"h=240 t=1.46 N120 L=(269, 1.544, 1.93) S=(289, 0.141, 0.2) mon120={1: -5.38, 2: -1.25, 3: -0.7, 4: -0.23, 5: 2.06, 6: 1.52, 7: 3.58, 8: -2.45, 9: 3.95, 10: 1.77, 11: 2.4, 12: 0.76}"
E015,F04,overnight->London flip,PASS,flip,136,1.371,,,,,SCREEN,"h=60 t=1.26 N120 L=(72, 0.308, 0.15) S=(64, -1.308, -0.65) mon120={1: -12.12, 2: -2.61, 3: -2.36, 4: -2.74, 5: 5.78, 6: 0.09, 7: -0.84, 8: -4.02, 9: 3.93, 10: -0.1, 11: -1.55, 12: 4.31}"
E016,F05,London->NY reversal handoff,PASS,rev,83,3.001,,,,,SCREEN,"h=240 t=1.39 N120 L=(41, 3.58, 1.42) S=(42, 1.233, 0.36) mon120={1: 16.59, 2: -8.91, 5: 7.52, 6: 7.64, 7: 11.89, 8: -1.57, 9: -7.31, 10: 2.11, 11: 2.72, 12: -2.91}"
E017,F06,directional deceleration,FAIL,gate,nan,,,,,,CAUSALITY_FAIL,rejected pre-PnL
E018,F07,fresh 24h extreme continuation,PASS,fresh,218,0.709,,,,,SCREEN,"h=240 t=0.48 N120 L=(137, 0.518, 0.36) S=(103, -0.783, -0.49) mon120={1: 2.19, 2: -2.79, 3: 0.34, 4: -2.36, 5: 1.98, 6: 2.15, 7: 8.82, 8: -1.18, 9: -2.82, 10: -4.7, 11: 0.71, 12: 2.6}"
E019,F08,absorption vs fresh 2h extreme,FAIL,gate,nan,,,,,,CAUSALITY_FAIL,rejected pre-PnL
E020,F10,range-persistence expansion day,PASS,expand,11,-1.7,,,,,SCREEN,"h=60 t=-0.53 N120 L=(0, nan, nan) S=(6, -2.9, -0.54) mon120={12: -0.02}"
E021,F11,tick-activity surge w/ direction,PASS,surge,400,2.148,,,,,SCREEN,"h=240 t=1.43 N120 L=(495, 1.758, 1.64) S=(0, nan, nan) mon120={1: 11.8, 2: 4.28, 3: 10.95, 4: 1.98, 5: 3.85, 6: 1.83, 7: 10.48, 8: -1.85, 9: -10.34, 10: -9.48, 11: -4.77, 12: -3.14}"
E022,F06,directional deceleration (loose),FAIL,gate,nan,,,,,,CAUSALITY_FAIL,rejected pre-PnL
E023,F08,absorption vs fresh 2h extreme (loose),PASS,absorb,331,0.513,,,,,SCREEN,"h=60 t=0.97 N120 L=(158, 2.255, 1.87) S=(165, -1.672, -1.51) mon120={1: -4.45, 2: -0.06, 3: 0.42, 4: 1.15, 5: -1.69, 6: 1.45, 7: 0.61, 8: 3.53, 9: 5.37, 10: -0.62, 11: 1.76, 12: -0.08}"
E024,F10,range-persistence expansion day (loose),PASS,expand,441,2.666,,,,,SCREEN,"h=240 t=2.83 N120 L=(428, 1.491, 2.17) S=(375, 1.003, 1.37) mon120={1: -1.25, 2: -0.28, 3: 1.18, 4: 2.22, 5: 4.05, 6: 1.69, 7: 1.05, 8: 2.39, 9: -2.27, 10: 0.63, 11: 2.0, 12: 1.66}"
E025,F12,vol-expansion directional continuation,PASS,cont,521,1.307,,,,,SCREEN,"h=240 t=1.09 N120 L=(556, 0.135, 0.15) S=(532, 1.285, 1.57) mon120={1: 12.43, 2: 1.22, 3: 2.76, 4: -0.42, 5: 2.19, 6: 2.84, 7: 5.0, 8: 1.13, 9: -2.6, 10: -2.21, 11: -0.54, 12: -2.87}"
E026,F13,NY-window breakout w/ day-trend align,PASS,nybrk,139,1.305,,,,,SCREEN,"h=240 t=0.54 N120 L=(112, 0.097, 0.06) S=(83, 2.267, 0.96) mon120={1: 22.82, 2: 0.44, 3: 1.62, 4: -6.04, 5: -1.91, 6: -1.48, 7: 4.35, 8: 4.44, 9: -5.74, 10: 1.46, 11: 1.25, 12: -5.54}"
E027,F01OLD,serial-dep x vol regime,PASS,cont_hi,752,1.238,,,,,SCREEN,"h=240 t=1.36 N120 L=(983, 0.817, 1.34) S=(976, 0.731, 1.26) mon120={1: 4.75, 2: 0.78, 3: 2.99, 4: 0.45, 5: 1.64, 6: 1.16, 7: 2.8, 8: 1.19, 9: -1.41, 10: -0.83, 11: -0.67, 12: -1.57}"
E028,F01OLD,serial-dep x vol regime,PASS,rev_lo,665,0.17,,,,,SCREEN,"h=240 t=0.24 N120 L=(617, -0.948, -2.06) S=(581, 0.492, 0.98) mon120={1: 0.78, 2: -2.26, 3: 0.42, 4: 0.85, 5: 0.81, 6: -0.76, 7: -2.06, 8: 0.96, 9: -1.03, 10: -1.58, 11: 0.42, 12: 0.09}"
E029,F02,compression->box breakout,PASS,breakout,390,0.402,,,,,SCREEN,"h=120 t=0.63 N120 L=(224, 0.62, 0.81) S=(199, 0.87, 0.87) mon120={1: -15.38, 2: -0.61, 3: 0.72, 4: 0.28, 5: 2.05, 6: 2.05, 7: 4.97, 8: -1.19, 9: 1.5, 10: -0.73, 11: 0.18, 12: 1.28}"
E030,F03,failed break out of compression -> fade,PASS,fade,402,1.33,,,,,SCREEN,"h=240 t=1.46 N120 L=(269, 1.544, 1.93) S=(289, 0.141, 0.2) mon120={1: -5.38, 2: -1.25, 3: -0.7, 4: -0.23, 5: 2.06, 6: 1.52, 7: 3.58, 8: -2.45, 9: 3.95, 10: 1.77, 11: 2.4, 12: 0.76}"
E031,F04,overnight->London flip,PASS,flip,136,1.371,,,,,SCREEN,"h=60 t=1.26 N120 L=(72, 0.308, 0.15) S=(64, -1.308, -0.65) mon120={1: -12.12, 2: -2.61, 3: -2.36, 4: -2.74, 5: 5.78, 6: 0.09, 7: -0.84, 8: -4.02, 9: 3.93, 10: -0.1, 11: -1.55, 12: 4.31}"
E032,F05,London->NY reversal handoff,PASS,rev,83,3.001,,,,,SCREEN,"h=240 t=1.39 N120 L=(41, 3.58, 1.42) S=(42, 1.233, 0.36) mon120={1: 16.59, 2: -8.91, 5: 7.52, 6: 7.64, 7: 11.89, 8: -1.57, 9: -7.31, 10: 2.11, 11: 2.72, 12: -2.91}"
E033,F06,directional deceleration,FAIL,gate,nan,,,,,,CAUSALITY_FAIL,rejected pre-PnL
E034,F07,fresh 24h extreme continuation,PASS,fresh,218,0.709,,,,,SCREEN,"h=240 t=0.48 N120 L=(137, 0.518, 0.36) S=(103, -0.783, -0.49) mon120={1: 2.19, 2: -2.79, 3: 0.34, 4: -2.36, 5: 1.98, 6: 2.15, 7: 8.82, 8: -1.18, 9: -2.82, 10: -4.7, 11: 0.71, 12: 2.6}"
E035,F08,absorption vs fresh 2h extreme,PASS,absorb,331,0.513,,,,,SCREEN,"h=60 t=0.97 N120 L=(158, 2.255, 1.87) S=(165, -1.672, -1.51) mon120={1: -4.45, 2: -0.06, 3: 0.42, 4: 1.15, 5: -1.69, 6: 1.45, 7: 0.61, 8: 3.53, 9: 5.37, 10: -0.62, 11: 1.76, 12: -0.08}"
E036,F10,range-persistence expansion day,PASS,expand,441,2.666,,,,,SCREEN,"h=240 t=2.83 N120 L=(428, 1.491, 2.17) S=(375, 1.003, 1.37) mon120={1: -1.25, 2: -0.28, 3: 1.18, 4: 2.22, 5: 4.05, 6: 1.69, 7: 1.05, 8: 2.39, 9: -2.27, 10: 0.63, 11: 2.0, 12: 1.66}"
E037,F11,tick-activity surge w/ direction,PASS,surge,400,2.148,,,,,SCREEN,"h=240 t=1.43 N120 L=(495, 1.758, 1.64) S=(0, nan, nan) mon120={1: 11.8, 2: 4.28, 3: 10.95, 4: 1.98, 5: 3.85, 6: 1.83, 7: 10.48, 8: -1.85, 9: -10.34, 10: -9.48, 11: -4.77, 12: -3.14}"
E038,F12,vol-expansion directional continuation,PASS,cont,521,1.307,,,,,SCREEN,"h=240 t=1.09 N120 L=(556, 0.135, 0.15) S=(532, 1.285, 1.57) mon120={1: 12.43, 2: 1.22, 3: 2.76, 4: -0.42, 5: 2.19, 6: 2.84, 7: 5.0, 8: 1.13, 9: -2.6, 10: -2.21, 11: -0.54, 12: -2.87}"
E039,F06,directional deceleration (pips-fixed),PASS,decel,883,0.727,,,,,SCREEN,"h=240 t=0.95 N120 L=(868, 0.226, 0.39) S=(891, 0.102, 0.17) mon120={1: 2.65, 2: -1.5, 3: 3.07, 4: 0.31, 5: 1.46, 6: 0.52, 7: 3.97, 8: 1.73, 9: -2.89, 10: -1.29, 11: 0.36, 12: -2.99}"
E040,F10,yesterday-tight expansion breakout k=0.75,PASS,expand,276,2.414,,,,,SCREEN,"h=240 t=1.68 N120 L=(271, 1.462, 1.46) S=(219, 0.845, 0.63) mon120={1: 2.31, 2: -0.74, 3: 1.69, 4: 6.5, 5: 7.25, 6: 1.72, 7: 0.75, 8: -0.63, 9: -3.35, 10: 1.39, 11: 0.99, 12: 1.53}"
E041,F10,yesterday-tight expansion breakout k=0.85,PASS,expand,327,2.103,,,,,SCREEN,"h=240 t=1.65 N120 L=(342, 1.408, 1.7) S=(242, 0.531, 0.42) mon120={1: 3.01, 2: -1.13, 3: 1.93, 4: 5.87, 5: 6.38, 6: 1.11, 7: 1.68, 8: -0.63, 9: -3.35, 10: -0.12, 11: 0.99, 12: 1.53}"
E042,F10,daily breakout no tightness k=1.01,PASS,expand,481,1.59,,,,,SCREEN,"h=240 t=1.61 N120 L=(466, 0.945, 1.4) S=(397, 0.701, 0.78) mon120={1: 0.81, 2: 0.2, 3: 1.22, 4: 4.25, 5: 3.47, 6: 1.11, 7: 2.6, 8: -1.0, 9: -2.2, 10: -0.12, 11: 0.88, 12: 1.43}"
E043,F13,NY-window breakout w/ day-trend align,PASS,nybrk,139,1.305,,,,,SCREEN,"h=240 t=0.54 N120 L=(112, 0.097, 0.06) S=(83, 2.267, 0.96) mon120={1: 22.82, 2: 0.44, 3: 1.62, 4: -6.04, 5: -1.91, 6: -1.48, 7: 4.35, 8: 4.44, 9: -5.74, 10: 1.46, 11: 1.25, 12: -5.54}"
E044,F01X,serial-dep x vol regime,PASS,cont_hi,752,1.238,,,,,SCREEN,"h=240 t=1.36 N120 L=(983, 0.817, 1.34) S=(976, 0.731, 1.26) mon120={1: 4.75, 2: 0.78, 3: 2.99, 4: 0.45, 5: 1.64, 6: 1.16, 7: 2.8, 8: 1.19, 9: -1.41, 10: -0.83, 11: -0.67, 12: -1.57}"
E045,F01X,serial-dep x vol regime,PASS,rev_lo,665,0.17,,,,,SCREEN,"h=240 t=0.24 N120 L=(617, -0.948, -2.06) S=(581, 0.492, 0.98) mon120={1: 0.78, 2: -2.26, 3: 0.42, 4: 0.85, 5: 0.81, 6: -0.76, 7: -2.06, 8: 0.96, 9: -1.03, 10: -1.58, 11: 0.42, 12: 0.09}"
E046,F02,compression->box breakout,PASS,breakout,390,0.402,,,,,SCREEN,"h=120 t=0.63 N120 L=(224, 0.62, 0.81) S=(199, 0.87, 0.87) mon120={1: -15.38, 2: -0.61, 3: 0.72, 4: 0.28, 5: 2.05, 6: 2.05, 7: 4.97, 8: -1.19, 9: 1.5, 10: -0.73, 11: 0.18, 12: 1.28}"
E047,F03,failed break out of compression -> fade,PASS,fade,402,1.33,,,,,SCREEN,"h=240 t=1.46 N120 L=(269, 1.544, 1.93) S=(289, 0.141, 0.2) mon120={1: -5.38, 2: -1.25, 3: -0.7, 4: -0.23, 5: 2.06, 6: 1.52, 7: 3.58, 8: -2.45, 9: 3.95, 10: 1.77, 11: 2.4, 12: 0.76}"
E048,F04,overnight->London flip,PASS,flip,136,1.371,,,,,SCREEN,"h=60 t=1.26 N120 L=(72, 0.308, 0.15) S=(64, -1.308, -0.65) mon120={1: -12.12, 2: -2.61, 3: -2.36, 4: -2.74, 5: 5.78, 6: 0.09, 7: -0.84, 8: -4.02, 9: 3.93, 10: -0.1, 11: -1.55, 12: 4.31}"
E049,F05,London->NY reversal handoff,PASS,rev,83,3.001,,,,,SCREEN,"h=240 t=1.39 N120 L=(41, 3.58, 1.42) S=(42, 1.233, 0.36) mon120={1: 16.59, 2: -8.91, 5: 7.52, 6: 7.64, 7: 11.89, 8: -1.57, 9: -7.31, 10: 2.11, 11: 2.72, 12: -2.91}"
E050,F06,directional deceleration,PASS,decel,883,0.727,,,,,SCREEN,"h=240 t=0.95 N120 L=(868, 0.226, 0.39) S=(891, 0.102, 0.17) mon120={1: 2.65, 2: -1.5, 3: 3.07, 4: 0.31, 5: 1.46, 6: 0.52, 7: 3.97, 8: 1.73, 9: -2.89, 10: -1.29, 11: 0.36, 12: -2.99}"
E051,F07,fresh 24h extreme continuation,PASS,fresh,218,0.709,,,,,SCREEN,"h=240 t=0.48 N120 L=(137, 0.518, 0.36) S=(103, -0.783, -0.49) mon120={1: 2.19, 2: -2.79, 3: 0.34, 4: -2.36, 5: 1.98, 6: 2.15, 7: 8.82, 8: -1.18, 9: -2.82, 10: -4.7, 11: 0.71, 12: 2.6}"
E052,F08,absorption vs fresh 2h extreme,PASS,absorb,331,0.513,,,,,SCREEN,"h=60 t=0.97 N120 L=(158, 2.255, 1.87) S=(165, -1.672, -1.51) mon120={1: -4.45, 2: -0.06, 3: 0.42, 4: 1.15, 5: -1.69, 6: 1.45, 7: 0.61, 8: 3.53, 9: 5.37, 10: -0.62, 11: 1.76, 12: -0.08}"
E053,F10,daily breakout k=1.01,PASS,SL15 TP15 T120,1162,-0.054,0.989,-0.0036,-1.129,-0.216,REPLAY,"BASE common EV=0.002PF=1.0 | STRESS common EV=-0.925PF=0.835 INT=669 L_R=0.0181 S_R=-0.029 posmon=5 exits={'STOP': 291, 'TARGET': 308, 'TIME': 563}"
E054,F10,daily breakout k=0.85,PASS,SL15 TP15 T120,782,0.167,1.035,0.0111,-0.915,0.014,REPLAY,"BASE common EV=0.225PF=1.046 | STRESS common EV=-0.799PF=0.855 INT=437 L_R=0.037 S_R=-0.0237 posmon=8 exits={'STOP': 183, 'TARGET': 209, 'TIME': 390}"
E055,F10,daily breakout k=0.75,PASS,SL15 TP15 T120,672,0.07,1.014,0.0047,-1.01,-0.087,REPLAY,"BASE common EV=0.468PF=1.095 | STRESS common EV=-0.621PF=0.888 INT=369 L_R=0.0434 S_R=-0.0439 posmon=8 exits={'STOP': 168, 'TARGET': 187, 'TIME': 317}"
E056,F05,NY reversal relaxed,PASS,us_thr=5.0 SL15 TP15 T240,83,1.118,1.231,0.0745,0.816,0.949,REPLAY,"BASE common EV=1.118PF=1.231 | STRESS common EV=0.816PF=1.167 INT=83 L_R=0.092 S_R=0.0575 posmon=8 exits={'STOP': 18, 'TARGET': 26, 'TIME': 39}"
E057,F05,NY reversal relaxed,PASS,us_thr=3.0 SL15 TP15 T240,99,0.055,1.01,0.0036,-0.285,-0.098,REPLAY,"BASE common EV=0.055PF=1.01 | STRESS common EV=-0.285PF=0.948 INT=99 L_R=0.0442 S_R=-0.0316 posmon=7 exits={'STOP': 26, 'TARGET': 27, 'TIME': 46}"
E058,F08,absorption both sides,PASS,SL15 TP15 T120,325,1.12,1.301,0.0747,0.266,0.883,REPLAY,"BASE common EV=1.123PF=1.301 | STRESS common EV=0.266PF=1.063 INT=324 L_R=0.0755 S_R=0.0739 posmon=9 exits={'STOP': 51, 'TARGET': 71, 'TIME': 203}"
E059,F08,absorption LONG-only (failed fresh-low bounce),PASS,SL15 TP15 T120,159,1.159,1.304,0.0773,0.382,0.853,REPLAY,"BASE common EV=1.159PF=1.304 | STRESS common EV=0.382PF=1.091 INT=159 L_R=0.0773 S_R=None posmon=7 exits={'STOP': 25, 'TARGET': 34, 'TIME': 100}"
E060,F08,absorption plateau,PASS,lb=90 fade=2 SL15 TP15 T120,389,0.77,1.194,0.0513,-0.106,0.569,REPLAY,L=0.0512 S=0.0514 posmon=8 COMMON bPF=1.194 sPF=0.976 sEV=-0.106
