entry_i,year,stop_pips,pip_eur_at_minlot,risk_eur_minlot,risk_pct_minlot,lot_for_05,lot_05_rounded,lot_for_1,lot_1_rounded,r_multiple
32,2020,3.6123744175674,0.10308515430367995,0.37238217423760145,0.0744764348475203,0.06713532958763098,0.06,0.13427065917526196,0.13,-1.2491436091515458
112,2020,10.632572978770819,0.10267010641728476,1.0916473992199465,0.21832947984398932,0.022901167554527344,0.02,0.04580233510905469,0.04,-1.0846455511565667
131,2020,17.30753317273463,0.10237582781456954,1.7718730359868309,0.3543746071973662,0.01410936308203169,0.01,0.02821872616406338,0.02,5.356049246003119
201,2020,5.74005170005909,0.10134913698929429,0.5817492860749203,0.11634985721498406,0.042973838728149964,0.04,0.08594767745629993,0.08,4.487337266126383
273,2020,6.28128727422798,0.10142271433896055,0.6370652048949725,0.1274130409789945,0.03924245086359965,0.03,0.0784849017271993,0.07,-1.1432827318204632
289,2020,7.029356859452469,0.10108457901090026,0.7105595788551369,0.1421119157710274,0.03518353807893257,0.03,0.07036707615786514,0.07,-1.3799270963111894
448,2020,11.72853733862674,0.10078043418521572,1.1820070853443174,0.23640141706886347,0.021150465432884884,0.02,0.04230093086576977,0.04,-1.076735911223633
505,2020,12.61057458818931,0.10117557517904138,1.2758821372982563,0.25517642745965124,0.019594286391483418,0.01,0.039188572782966835,0.03,-1.0713686750516733
558,2020,11.18830333181613,0.1015571919128854,1.1362526686488257,0.22725053372976511,0.022002148544767546,0.02,0.04400429708953509,0.04,9.55462118156997
675,2020,7.469126366394501,0.09932832153193659,0.7418957852838982,0.14837915705677962,0.033697455216615574,0.03,0.06739491043323115,0.06,-1.1204960199963816
705,2020,7.6722547085230195,0.0992799476325551,0.7617010456857897,0.15234020913715793,0.032821275671863506,0.03,0.06564255134372701,0.06,-1.7465530680458372
783,2020,4.65840713595555,0.09859015290019191,0.45927307180520277,0.09185461436104056,0.05443384673465803,0.05,0.10886769346931606,0.1,-1.19319908581068
817,2020,6.527109609134509,0.09819221780683647,0.640911368389231,0.1281822736778462,0.03900695358678251,0.03,0.07801390717356502,0.07,31.821129479629
1158,2020,54.83638730116499,0.10851987077781812,5.950837663844811,1.1901675327689623,0.004201089226797627,0.01,0.008402178453595255,0.01,-1.0164124597606585
1215,2020,50.57051900763204,0.10548315967786201,5.334338131474406,1.0668676262948813,0.004686617042982616,0.01,0.009373234085965233,0.01,-1.0177969302601941
1233,2020,49.87340214637338,0.10544314995012327,5.258808621042848,1.0517617242085695,0.004753928465843728,0.01,0.009507856931687457,0.01,1.269213594336727
1288,2020,46.1090726181304,0.10200528047896175,4.703368885037206,0.9406737770074413,0.0053153389859622365,0.01,0.010630677971924473,0.01,-1.0195189351877536
1310,2020,35.45356894885207,0.10097249081639263,3.5798351650963087,0.7159670330192618,0.006983561769478127,0.01,0.013967123538956254,0.01,5.718030440676721
1360,2020,46.52070863148296,0.09602996590705186,4.467382063853202,0.8934764127706403,0.005596118631151289,0.01,0.011192237262302578,0.01,-1.0193462229290151
1385,2020,44.61141400110505,0.09674075272877669,4.315741770761989,0.8631483541523979,0.005792746954734038,0.01,0.011585493909468076,0.01,-1.0201742092276527
1409,2020,37.39544113178513,0.09673078303308692,3.6172903025452814,0.7234580605090563,0.006911250662521867,0.01,0.013822501325043734,0.01,-1.0240671047796595
1513,2020,32.35374699583654,0.10157909292035398,3.286464272411703,0.6572928544823406,0.0076069593118242755,0.01,0.015213918623648551,0.01,-1.0278174889639833
1575,2020,25.66361684645857,0.10064531681717877,2.582922848186509,0.5165845696373018,0.009678957316728489,0.01,0.019357914633456978,0.01,4.484948504672005
1790,2020,16.02998396405721,0.10117861731245462,1.6218916130241285,0.3243783226048257,0.015414100300688885,0.01,0.03082820060137777,0.03,-2.7448561457489618
1802,2020,17.34400225864291,0.1008994890531255,1.7500009660333242,0.35000019320666487,0.014285706399732319,0.01,0.028571412799464638,0.02,-1.0518911371538793
