entry_i,entry,stop,atr_entry,d,sig_i,exit_i,exit,reason,gross_pips,net_pips,year
32,108.795,108.75887625582433,0.036123744175674044,2020-01-02,31,36,108.75887625582433,stop,-3.612374417566855,-4.512374417566855,2020
112,108.615,108.50867427021228,0.1063257297877082,2020-01-07,111,117,108.50867427021228,stop,-10.632572978771293,-11.532572978771293,2020
131,108.686,108.51292466827266,0.1730753317273463,2020-01-08,130,179,109.622,time,93.59999999999928,92.69999999999928,2020
201,109.7,109.64259948299942,0.0574005170005909,2020-01-13,200,223,109.96657547903168,stop,26.657547903167256,25.757547903167257,2020
273,110.046,109.98318712725772,0.0628128727422798,2020-01-16,272,274,109.98318712725772,stop,-6.281287274228475,-7.181287274228476,2020
289,110.27,110.19970643140547,0.07029356859452471,2020-01-17,288,290,110.182,stop,-8.799999999999386,-9.699999999999386,2020
448,109.151,109.03371462661373,0.11728537338626746,2020-01-28,447,463,109.03371462661373,stop,-11.728537338626666,-12.628537338626666,2020
505,109.06,108.93389425411812,0.12610574588189316,2020-01-31,504,513,108.93389425411812,stop,-12.610574588188683,-13.510574588188684,2020
558,108.823,108.71111696668183,0.11188303331816138,2020-02-04,557,606,109.901,time,107.8000000000003,106.90000000000029,2020
675,109.885,109.81030873633605,0.07469126366394509,2020-02-11,674,685,109.81030873633605,stop,-7.4691263663950735,-8.369126366395074,2020
705,110.116,110.03927745291477,0.07672254708523026,2020-02-12,704,706,109.991,stop,-12.5,-13.4,2020
783,109.924,109.87741592864045,0.046584071359555564,2020-02-17,782,789,109.87741592864045,stop,-4.658407135956111,-5.558407135956111,2020
817,109.92,109.85472890390865,0.06527109609134511,2020-02-19,816,865,112.006,time,208.59999999999985,207.69999999999985,2020
1158,104.711,104.16263612698835,0.5483638730116499,2020-03-10,1157,1159,104.16263612698835,stop,-54.836387301165246,-55.736387301165244,2020
1215,105.071,104.56529480992367,0.5057051900763204,2020-03-12,1214,1223,104.56529480992367,stop,-50.5705190076327,-51.470519007632696,2020
1233,105.852,105.35326597853627,0.49873402146373386,2020-03-13,1232,1248,106.494,stop,64.19999999999959,63.29999999999959,2020
1288,107.418,106.9569092738187,0.461090726181304,2020-03-17,1287,1301,106.9569092738187,stop,-46.10907261813111,-47.00907261813111,2020
1310,107.965,107.61046431051149,0.3545356894885207,2020-03-18,1309,1347,110.00124586480167,stop,203.62458648016712,202.72458648016712,2020
1360,111.308,110.84279291368517,0.4652070863148296,2020-03-20,1359,1364,110.84279291368517,stop,-46.52070863148339,-47.420708631483386,2020
1385,111.232,110.78588585998895,0.4461141400110505,2020-03-23,1384,1391,110.78588585998895,stop,-44.61141400110478,-45.511414001104775,2020
