experiment_id,family_id,mechanism,parameters,N,mean_pips,PF,expectancy_r,remove_best,stress_mean,status,reason
RV_E001,A,resid_fade_1.5,"{""hold"": 24, ""tf"": ""H4""}",184,-7.585,0.67,-0.0717,-9.323,-8.7,low_freq,
RV_E002,A,resid_cont_1.5,"{""hold"": 24, ""tf"": ""H4""}",184,5.382,1.323,0.047,3.607,4.475,low_freq,
RV_E003,A,resid_fade_2.0,"{""hold"": 24, ""tf"": ""H4""}",77,-8.021,0.603,-0.0992,-10.113,-9.503,low_freq,
RV_E004,D,partial_adj_1.0,"{""hold"": 24, ""tf"": ""H4""}",109,9.349,1.465,0.0885,6.558,8.5,low_freq,
RV_E005,B,slope_up_usdup,"{""hold"": 24, ""tf"": ""H4""}",1074,-0.177,0.992,-0.0236,-1.841,-1.127,screen_reject,
RV_E006,B,slope_dn_usdup,"{""hold"": 24, ""tf"": ""H4""}",1077,-1.605,0.933,0.0011,-3.403,-2.554,screen_reject,
RV_E007,B,level_usddir,"{""hold"": 24, ""tf"": ""H4""}",1615,-2.404,0.904,-0.0167,-4.26,-3.387,screen_reject,
RV_E008,A,resid_fade_1.5,"{""hold"": 24, ""tf"": ""H4""}",184,-7.585,0.67,-0.0717,-9.323,-8.7,low_freq,
RV_E009,A,resid_cont_1.5,"{""hold"": 24, ""tf"": ""H4""}",184,5.382,1.323,0.047,3.607,4.475,low_freq,
RV_E010,A,resid_fade_2.0,"{""hold"": 24, ""tf"": ""H4""}",77,-8.021,0.603,-0.0992,-10.113,-9.503,low_freq,
RV_E011,D,partial_adj_1.0,"{""hold"": 24, ""tf"": ""H4""}",109,9.349,1.465,0.0885,6.558,8.5,low_freq,
RV_E012,B,slope_up_usdup,"{""hold"": 24, ""tf"": ""H4""}",1074,-0.177,0.992,-0.0236,-1.841,-1.127,screen_reject,
RV_E013,B,slope_dn_usdup,"{""hold"": 24, ""tf"": ""H4""}",1077,-1.605,0.933,0.0011,-3.403,-2.554,screen_reject,
RV_E014,B,level_usddir,"{""hold"": 24, ""tf"": ""H4""}",1615,-2.404,0.904,-0.0167,-4.26,-3.387,screen_reject,
RV_E015,C,common_usd_lag_z1.0,"{""hold"": 24, ""tf"": ""H4""}",704,-3.268,0.866,-0.0375,-5.257,-4.236,screen_reject,
RV_E016,E,beta_regime_1.0,"{""hold"": 24, ""tf"": ""H4""}",859,-3.771,0.848,-0.0372,-5.705,-4.954,screen_reject,
RV_E017,H,speed_4h_0.25atr,"{""hold"": 24, ""tf"": ""H4""}",1820,-2.495,0.896,-0.0198,-4.274,-3.431,screen_reject,
RV_E018,F,slope_pullback,"{""hold"": 24, ""tf"": ""H4""}",686,-2.312,0.905,-0.0298,-3.934,-3.297,screen_reject,
RV_E019,A,resid_cont_1.0,"{""hold"": 24, ""tf"": ""H4""}",348,-0.352,0.983,-0.0061,-2.207,-1.435,low_freq,
RV_E020,A,resid_cont_0.75,"{""hold"": 24, ""tf"": ""H4""}",457,-2.834,0.875,-0.0263,-4.689,-3.898,low_freq,
RV_E021,D,partial_adj_0.75_0.6,"{""hold"": 24, ""tf"": ""H4""}",165,6.868,1.35,0.0653,4.745,6.004,low_freq,
RV_E022,G,resid_rank_1.5,"{""hold"": 24, ""tf"": ""H4""}",150,-5.856,0.739,-0.071,-7.97,-7.026,low_freq,
RV_E023,A,cont1.5_H1_8h,"{""tf"": ""H1"", ""hold"": 8}",369,-1.302,0.902,-0.004,-2.283,-2.217,screened,
RV_E024,D,part1.0_H1_8h,"{""tf"": ""H1"", ""hold"": 8}",235,-0.386,0.971,-0.0112,-1.471,-1.352,screened,
RV_E025,D,part0.75_H1_8h,"{""tf"": ""H1"", ""hold"": 8}",354,-0.827,0.936,-0.0234,-1.754,-1.53,screened,
