experiment_id,family_id,mechanism,parameters,N,trades_per_week,mean_pips,PF,expectancy_r,remove_best,stress_mean,status,reason
CN_E001,CN-A,cont n=24h thr=1.0,"{""lookback_h"": 24, ""z_thr"": 1.0}",1350,5.18,-2.007,0.93,0.0074,-5.931,,DISCOVERY_FAIL,
CN_E002,CN-A,cont n=24h thr=1.5,"{""lookback_h"": 24, ""z_thr"": 1.5}",576,2.21,-2.757,0.913,0.0026,-7.426,,DISCOVERY_FAIL,
CN_E003,CN-A,cont n=48h thr=1.0,"{""lookback_h"": 48, ""z_thr"": 1.0}",1078,4.14,-0.51,0.983,0.0203,-4.172,,DISCOVERY_FAIL,
CN_E004,CN-A,cont n=48h thr=1.5,"{""lookback_h"": 48, ""z_thr"": 1.5}",453,1.74,-3.387,0.902,-0.0089,-7.704,,DISCOVERY_FAIL,
CN_E005,CN-F,rank n=24h,"{""lookback_h"": 24}",3224,12.38,-1.934,0.92,-0.0045,-5.297,,DISCOVERY_FAIL,
CN_E006,CN-F,rank n=72h,"{""lookback_h"": 72}",2142,8.22,-0.685,0.975,0.0025,-3.932,,DISCOVERY_FAIL,
CN_E007,CN-F,rank n=144h,"{""lookback_h"": 144}",1790,6.87,-0.141,0.995,0.0093,-3.489,,DISCOVERY_FAIL,
CN_E008,CN-B,rev n=8h thr=2.0,"{""lookback_h"": 8, ""z_thr"": 2.0}",374,1.44,-9.006,0.645,-0.0919,-11.28,,DISCOVERY_FAIL,
CN_E009,CN-B,rev n=24h thr=2.5,"{""lookback_h"": 24, ""z_thr"": 2.5}",89,0.34,17.357,1.614,0.0873,13.465,,DISCOVERY_FAIL,
CN_E010,CN-C,C1 crossconv n=6h k=1.5,"{""n_h"": 6, ""k"": 1.5}",5461,20.97,-1.685,0.815,-0.0423,-2.779,,DISCOVERY_FAIL,
CN_E011,CN-C,C2 legslag n=6h k=1.5,"{""n_h"": 6, ""k"": 1.5}",5968,22.92,-0.455,0.935,-0.0177,-1.456,,DISCOVERY_FAIL,
CN_E012,CN-C,C1 crossconv n=12h k=1.5,"{""n_h"": 12, ""k"": 1.5}",5258,20.19,-1.432,0.849,-0.0319,-2.541,,DISCOVERY_FAIL,
CN_E013,CN-C,C2 legslag n=12h k=1.5,"{""n_h"": 12, ""k"": 1.5}",6022,23.12,-0.455,0.94,-0.0133,-1.586,,DISCOVERY_FAIL,
CN_E014,CN-C,C1 crossconv n=6h k=1.5,"{""n_h"": 6, ""k"": 1.5}",5461,20.97,-1.685,0.815,-0.0423,-2.779,,DISCOVERY_FAIL,
CN_E015,CN-C,C2 legslag n=6h k=1.5,"{""n_h"": 6, ""k"": 1.5}",5968,22.92,-0.455,0.935,-0.0177,-1.456,,DISCOVERY_FAIL,
CN_E016,CN-C,C1 crossconv n=12h k=1.5,"{""n_h"": 12, ""k"": 1.5}",5258,20.19,-1.432,0.849,-0.0319,-2.541,,DISCOVERY_FAIL,
CN_E017,CN-C,C2 legslag n=12h k=1.5,"{""n_h"": 12, ""k"": 1.5}",6022,23.12,-0.455,0.94,-0.0133,-1.586,,DISCOVERY_FAIL,
CN_E018,CN-D,netresid_cont k=1.5,"{""W"": 120, ""k"": 1.5}",3466,13.31,-1.346,0.875,-0.0224,-2.971,,DISCOVERY_FAIL,
CN_E019,CN-D,netresid_cont k=2.0,"{""W"": 120, ""k"": 2.0}",2066,7.93,-1.413,0.859,-0.0214,-2.801,,DISCOVERY_FAIL,
CN_E020,CN-D,netresid_conv k=1.5,"{""W"": 120, ""k"": 1.5}",2857,10.97,-1.896,0.873,-0.0198,-3.717,,DISCOVERY_FAIL,
CN_E021,CN-D,netresid_conv k=2.0,"{""W"": 120, ""k"": 2.0}",1810,6.95,-3.231,0.781,-0.037,-4.811,,DISCOVERY_FAIL,
CN_E022,CN-E,idio_cont k=1.5,"{""n"": 6, ""W"": 120, ""k"": 1.5}",2780,10.67,-0.854,0.965,-0.0221,-3.062,,DISCOVERY_FAIL,
CN_E023,CN-E,idio_cont k=2.0,"{""n"": 6, ""W"": 120, ""k"": 2.0}",1335,5.13,-1.62,0.939,-0.0428,-4.234,,DISCOVERY_FAIL,
CN_E024,CN-E,idio_conv k=1.5,"{""n"": 6, ""W"": 120, ""k"": 1.5}",2473,9.5,-1.383,0.939,-0.0044,-4.249,,DISCOVERY_FAIL,
CN_E025,CN-E,idio_conv k=2.0,"{""n"": 6, ""W"": 120, ""k"": 2.0}",1189,4.57,-2.928,0.88,0.0012,-5.391,,DISCOVERY_FAIL,
CN_E026,CN-G,corrbrk n=12h,"{""n_h"": 12, ""k"": 1.5}",993,3.81,-0.046,0.993,0.0185,-0.953,,DISCOVERY_FAIL,
CN_E027,CN-G,corrbrk n=24h,"{""n_h"": 24, ""k"": 1.5}",814,3.13,-0.256,0.976,-0.03,-1.43,,DISCOVERY_FAIL,
CN_E028,CN-H,asia_cont,"{""session"": ""asia"", ""mode"": ""cont""}",369,1.42,-2.826,0.881,-0.0104,-5.317,,DISCOVERY_FAIL,
CN_E029,CN-H,asia_rev,"{""session"": ""asia"", ""mode"": ""rev""}",369,1.42,-0.524,0.978,0.0224,-3.092,,DISCOVERY_FAIL,
CN_E030,CN-I,disp_hi_cont,"{""pct"": 0.8}",498,1.91,2.367,1.084,0.0398,-2.554,,DISCOVERY_FAIL,
CN_E031,CN-I,disp_lo_conv,"{""pct"": 0.2}",696,2.67,0.2,1.013,0.0117,-1.405,,DISCOVERY_FAIL,
CN_E032,CN-J,jpy_shock_spill,"{""n"": 3, ""k"": 2.0}",520,2.0,-3.938,0.872,-0.0105,-7.55,,DISCOVERY_FAIL,
CN_E033,CN-I,disp_hi_cont pct=0.7 n=24h hold=48h,"{""pct"": 0.7, ""lookback_h"": 24, ""max_hold_h"": 48}",634,2.43,1.265,1.046,0.0349,-2.424,,DISCOVERY_FAIL,
CN_E034,CN-I,disp_hi_cont pct=0.9 n=24h hold=48h,"{""pct"": 0.9, ""lookback_h"": 24, ""max_hold_h"": 48}",302,1.16,-2.256,0.93,0.0074,-8.098,,DISCOVERY_FAIL,
CN_E035,CN-I,disp_hi_cont pct=0.8 n=48h hold=48h,"{""pct"": 0.8, ""lookback_h"": 48, ""max_hold_h"": 48}",484,1.86,5.958,1.21,0.0889,2.715,,DISCOVERY_FAIL,
CN_E036,CN-I,disp_hi_cont pct=0.8 n=24h hold=24h,"{""pct"": 0.8, ""lookback_h"": 24, ""max_hold_h"": 24}",498,1.91,2.367,1.084,0.0398,-2.554,,DISCOVERY_FAIL,
CN_E037,CN-I,disp_hi_cont+extreme z>=0.75,"{""pct"": 0.8, ""lookback_h"": 24, ""z_thr"": 0.75}",498,1.91,2.367,1.084,0.0398,-2.554,,DISCOVERY_FAIL,
CN_E038,CN-I,disp_hi_cont H1 n=6h,"{""pct"": 0.8, ""lookback_h"": 6, ""tf"": ""H1""}",1835,7.05,-2.096,0.876,-0.0321,-4.667,,DISCOVERY_FAIL,
CN_E039,CN-A,cont n=72h thr=1.0,"{""lookback_h"": 72, ""z_thr"": 1.0}",1043,4.0,-4.571,0.856,-0.0271,-8.037,,DISCOVERY_FAIL,
CN_E040,CN-A,cont n=96h thr=1.0,"{""lookback_h"": 96, ""z_thr"": 1.0}",1041,4.0,-5.083,0.845,-0.0342,-8.75,,DISCOVERY_FAIL,
CN_E041,CN-F,rank n=192h,"{""lookback_h"": 192}",1730,6.64,-2.354,0.921,-0.0179,-5.582,,DISCOVERY_FAIL,
CN_E042,CN-A,cont H1 n=48h thr=1.0,"{""lookback_h"": 48, ""z_thr"": 1.0, ""tf"": ""H1""}",2009,7.71,-3.194,0.864,-0.0399,-6.785,,DISCOVERY_FAIL,
CN_E043,CN-I,disp_hi_STATE pct>=0.8 n=48h hold=48h,"{""pct"": 0.8, ""lookback_h"": 48, ""max_hold_h"": 48}",572,2.2,-2.534,0.926,0.0002,-6.997,,DISCOVERY_FAIL,
CN_E044,CN-I,disp_hi_STATE hyst 0.8/0.7 n=48h hold=48h,"{""pct"": 0.8, ""lo"": 0.7, ""lookback_h"": 48, ""max_hold_h"": 48}",290,1.11,-0.044,0.999,0.037,-3.531,,DISCOVERY_FAIL,
CN_E045,CN-I,disp_hi_STATE pct>=0.7 n=48h hold=48h,"{""pct"": 0.7, ""lookback_h"": 48, ""max_hold_h"": 48}",807,3.1,-2.865,0.912,-0.0026,-7.145,,DISCOVERY_FAIL,
