experiment_id,family_id,mechanism,feature_causality_pass,parameters,N,mean_pips,PF,expectancy_r,stress_pips,remove_best_pips,status,reason
MR_E001,A,impulse_z1.5_cap0.5_h24,PENDING_GATE,"{""tf"": ""H1"", ""rates_sym"": ""ZN"", ""thr"": 1.5, ""cap"": 0.5, ""stop_mult"": 2.5, ""hold_hours"": 24, ""rr"": 1.0}",2197,0.823,1.037,0.0041,-0.078,-0.58,screen_reject,PF<1.15 (1.037); expR<0.04 (0.0041); remove_best<=0
MR_E002,A,impulse_z2.0_cap0.5_h24,PENDING_GATE,"{""tf"": ""H1"", ""rates_sym"": ""ZN"", ""thr"": 2.0, ""cap"": 0.5, ""stop_mult"": 2.5, ""hold_hours"": 24, ""rr"": 1.0}",1212,1.334,1.058,0.0063,0.377,-0.392,screen_reject,PF<1.15 (1.058); expR<0.04 (0.0063); remove_best<=0
MR_E003,B,div_z1.5_h48,PENDING_GATE,"{""tf"": ""H4"", ""thr"": 1.5, ""cap"": 0.0, ""stop_mult"": 2.5, ""hold_hours"": 48, ""rr"": 1.0}",642,3.435,1.114,0.0472,2.415,1.624,screen_reject,PF<1.15 (1.114)
MR_E004,B,div_z2.0_h48,PENDING_GATE,"{""tf"": ""H4"", ""thr"": 2.0, ""cap"": 0.0, ""stop_mult"": 2.5, ""hold_hours"": 48, ""rr"": 1.0}",328,5.426,1.172,0.0688,4.583,3.382,PROMOTE,promoted
MR_E005,C,curve_flat_usdup_thr1_h5d,PENDING_GATE,"{""tf"": ""D1"", ""thr"": 1.0, ""variant"": ""flat_short_usd"", ""stop_mult"": 2.0, ""hold_hours"": 120, ""rr"": 1.0}",233,-4.385,0.925,-0.036,-5.769,-8.599,screen_reject,PF<1.15 (0.925); expR<0.04 (-0.036); remove_best<=0
MR_E006,C,curve_steep_usddn_thr1_h5d,PENDING_GATE,"{""tf"": ""D1"", ""thr"": 1.0, ""variant"": ""steep_short_usd"", ""stop_mult"": 2.0, ""hold_hours"": 120, ""rr"": 1.0}",233,3.164,1.058,0.0303,2.287,-1.008,screen_reject,PF<1.15 (1.058); expR<0.04 (0.0303); remove_best<=0
MR_E007,E,volregime_1.5_h24,PENDING_GATE,"{""tf"": ""H4"", ""ratio_thr"": 1.5, ""stop_mult"": 2.5, ""hold_hours"": 24, ""rr"": 1.0}",632,1.267,1.05,0.0077,0.349,-0.943,screen_reject,PF<1.15 (1.05); expR<0.04 (0.0077); remove_best<=0
MR_E008,H,surprise_z1.0_h24,PENDING_GATE,"{""tf"": ""H1"", ""sz"": 1.0, ""stop_mult"": 2.5, ""hold_hours"": 24, ""rr"": 1.0}",122,-3.381,0.846,-0.0861,-4.053,-4.799,screen_reject,PF<1.15 (0.846); expR<0.04 (-0.0861); remove_best<=0
MR_E009,H,surprise_z1.0_h120,PENDING_GATE,"{""tf"": ""H1"", ""sz"": 1.0, ""stop_mult"": 2.5, ""hold_hours"": 120, ""rr"": 1.0}",122,-3.884,0.863,-0.1011,-4.389,-5.359,screen_reject,PF<1.15 (0.863); expR<0.04 (-0.1011); remove_best<=0
MR_E010,G,evfx_follow_h24,PENDING_GATE,"{""tf"": ""H1"", ""follow"": 1, ""stop_mult"": 2.5, ""hold_hours"": 24, ""rr"": 1.0}",384,-0.057,0.997,-0.0255,-0.843,-1.405,screen_reject,PF<1.15 (0.997); expR<0.04 (-0.0255); remove_best<=0
