experiment_id,family_id,mechanism,feature_causality_pass,parameters,N,mean_pips,PF,expectancy_R,stress_pips,remove_best_pips,status,reason
SW_E001,G01,donchian_breakout,PENDING,{'n': 10}|h=10,314,-1.4631,0.9843,,,,SCAN,signals e=735 g=728
SW_E002,G01,donchian_breakout,PENDING,{'n': 20}|h=10,256,0.1082,1.0012,,,,SCAN,signals e=513 g=495
SW_E003,G01,donchian_breakout,PENDING,{'n': 40}|h=2,361,-1.2058,0.9707,,,,SCAN,signals e=352 g=319
SW_E004,G02,tsmom,PENDING,{'k': 10}|h=5,690,4.389,1.0696,,,,SCAN,signals e=2071 g=2070
SW_E005,G02,tsmom,PENDING,{'k': 20}|h=2,1374,-0.5271,0.9873,,,,SCAN,signals e=2061 g=2059
SW_E006,G02,tsmom,PENDING,{'k': 60}|h=10,368,9.2726,1.1135,,,,SCAN,signals e=2021 g=2020
SW_E007,G01,donchian_breakout,PENDING,{'n': 10}|h=10,314,-1.4631,0.9843,,,,SCAN,signals e=735 g=728
SW_E008,G01,donchian_breakout,PENDING,{'n': 20}|h=10,256,0.1082,1.0012,,,,SCAN,signals e=513 g=495
SW_E009,G01,donchian_breakout,PENDING,{'n': 40}|h=2,361,-1.2058,0.9707,,,,SCAN,signals e=352 g=319
SW_E010,G03,trend_pullback,PENDING,"{'trend_n': 50, 'pb_n': 20, 'depth': 0.5}|h=None",2,1.75,2.25,,,,SCAN,signals e=1 g=1
SW_E011,G03,trend_pullback,PENDING,"{'trend_n': 100, 'pb_n': 20, 'depth': 1.0}|h=None",3,30.7667,33.9643,,,,SCAN,signals e=2 g=1
SW_E012,G04,extreme_fade,PENDING,"{'z_n': 50, 'z': 2.0}|h=10",123,7.4276,1.089,,,,SCAN,signals e=286 g=279
SW_E013,G04,extreme_fade,PENDING,"{'z_n': 100, 'z': 2.5}|h=1",84,-7.3595,0.7886,,,,SCAN,signals e=67 g=74
SW_E014,G05,pdh_pdl_acceptance,PENDING,{}|h=8,2509,0.662,1.0426,,,,SCAN,signals e=1467 g=1512
