entry_i,exit_i,exit_px,reason,sig_i,entry_fill,gross_pips,net_pips,r_mult,stop_pips
40,40,108.34630208905998,stop,39,108.25800000000001,-7.430208905996949,-8.83020890599695,-1.0600225043143923,8.330208905996958
50,79,108.1548412466596,stop,49,108.186,4.515875334040231,3.1158753340402314,0.30264147016923626,10.29559938463768
120,121,108.12577676785575,stop,119,107.982,-12.977676785575909,-14.37767678557591,-1.0360290852514964,13.87767678557569
255,272,110.01024312102328,stop,254,109.92200000000001,-7.424312102327235,-8.824312102327236,-1.060065023253993,8.324312102327443
337,337,109.94462492605096,stop,336,109.88600000000001,-4.462492605095747,-5.862492605095747,-1.0932402218187416,5.3624926050953
361,382,109.5363314706528,stop,360,109.656,13.366852934720441,11.96685293472044,1.6336101649483212,7.32540308054401
402,412,109.11509280916856,stop,401,109.305,20.390719083144404,18.990719083144405,2.142614986545414,8.863337184887131
442,444,108.9208199125313,stop,441,108.81,-9.681991253130207,-11.081991253130207,-1.0472500863059533,10.581991253130928
481,501,108.98822247125088,stop,480,108.95400000000001,-2.0222471250875174,-3.4222471250875173,-0.3405539591832208,10.049059870850952
520,520,108.51668732025453,stop,519,108.38600000000001,-11.668732025452755,-13.068732025452755,-1.039781260272502,12.568732025452883
634,636,109.85796607736516,stop,633,109.768,-7.596607736516603,-8.996607736516603,-1.058847014656392,8.49660773651622
727,747,109.88247056162382,stop,726,109.798,-7.047056162382148,-8.447056162382149,-1.0629163793213412,7.947056162381736
793,793,109.7995724537559,stop,792,109.742,-4.357245375589969,-5.757245375589969,-1.095106840993432,5.2572453755902515
891,891,111.57897150547609,stop,890,111.443,-12.19715054760968,-13.597150547609681,-1.038176242853966,13.097150547609198
928,936,110.32113385690405,stop,927,110.12100000000001,-18.613385690404982,-20.01338569040498,-1.025623436544146,19.513385690405432
965,967,110.17404553180481,stop,964,109.997,-16.304553180481207,-17.704553180481206,-1.0290620741355272,17.204553180481437
987,1015,108.36039929002577,stop,986,109.287,94.0600709974234,92.66007099742339,4.23291273125769,21.890380662275568
1024,1028,108.2122274632559,stop,1023,107.899,-29.92274632559031,-31.32274632559031,-1.0162217861678473,30.822746325590778
1048,1063,107.56970952121496,stop,1047,107.524,-3.1709521214963843,-4.570952121496385,-0.15064636218247235,30.342266851155426
