cell,arch,cap,tag,groups,add1,add2,net_pips,pips_per_group,PF,expR_base,t,rb1,eq500,dd%,peak_risk_eur,2022%,VETO,WARN
B1_P075_NORMAL,B1,P075,NORMAL,639,258,183,5285.0,8.271,1.478,0.367,2.34,2.65,1273.0,10.6,8.1,59.7,False,False
B1_P075_STRESS,B1,P075,STRESS,643,250,179,4018.2,6.249,1.349,0.292,1.86,0.86,1111.0,15.1,6.8,70.8,False,False
B1_P100_NORMAL,B1,P100,NORMAL,639,260,184,5309.4,8.309,1.475,0.367,2.33,2.68,1300.0,10.7,11.74,59.4,False,False
B1_P100_STRESS,B1,P100,STRESS,643,252,180,4126.2,6.417,1.356,0.292,1.88,1.03,1149.0,14.3,8.1,68.9,False,False
B2_P075_NORMAL,B2,P075,NORMAL,639,272,233,5642.4,8.83,1.465,0.367,2.39,3.26,1323.0,13.2,8.64,62.7,False,False
B2_P075_STRESS,B2,P075,STRESS,643,265,220,3941.5,6.13,1.318,0.292,1.78,0.9,1110.0,19.0,7.63,79.8,False,False
B2_P100_NORMAL,B2,P100,NORMAL,639,275,240,5323.4,8.331,1.427,0.367,2.22,2.74,1316.0,14.1,11.74,64.1,False,False
B2_P100_STRESS,B2,P100,STRESS,643,268,232,3701.6,5.757,1.288,0.292,1.64,0.5,1091.0,19.9,10.04,84.8,False,False
B3_P075_NORMAL,B3,P075,NORMAL,639,212,143,4792.2,7.5,1.444,0.367,2.5,3.23,1205.0,11.6,7.69,52.6,False,False
B3_P075_STRESS,B3,P075,STRESS,643,207,137,3225.2,5.016,1.286,0.292,1.75,0.91,1014.0,17.0,7.46,62.7,False,False
B3_P100_NORMAL,B3,P100,NORMAL,639,213,149,4639.8,7.261,1.423,0.367,2.4,2.99,1217.0,11.9,11.83,52.3,False,False
B3_P100_STRESS,B3,P100,STRESS,643,207,143,3264.1,5.076,1.286,0.292,1.73,0.84,1026.0,16.8,8.68,63.6,False,False
B4_P075_NORMAL,B4,P075,NORMAL,639,159,43,2749.7,4.303,1.314,0.367,1.83,0.66,896.0,13.2,6.69,74.0,False,False
B4_P075_STRESS,B4,P075,STRESS,643,156,42,1873.0,2.913,1.205,0.292,1.26,-0.69,785.0,17.2,6.69,103.1,False,False
B4_P100_NORMAL,B4,P100,NORMAL,639,159,44,2579.3,4.037,1.295,0.367,1.74,0.39,880.0,13.4,6.69,74.0,False,False
B4_P100_STRESS,B4,P100,STRESS,643,156,43,1731.9,2.693,1.189,0.292,1.18,-0.92,770.0,17.5,6.69,104.3,False,False
