id,phase,experiment,prereg,variants_run,survived,verdict,artifacts
0,PHASE_0,diagnostic_of_frozen_001_trades,protocol_s6,1,NA,DIAGNOSTIC_ONLY_runners=multiday_momentum+contraction;2022=regime;winners_MAE_-0.48R_vs_losers_-1.31R,FX_PDH_001_DIAGNOSTICS.md+diagnostics/features_per_trade.csv
A1,PHASE_A,002A_exact_short_mirror,protocol_s4A,1,0,DEAD_normal_-0.24_pips_PF_0.984_stress_-1.70_rb1_negative,002A_short/RESULTS.json
B1,PHASE_B,002B_B1_R-momentum_pyramid_P075,protocol_s4B,1,1,PASS_pf_1.478_dd_10.6_all_years_positive,002B_pyramid/RESULTS.json
B2,PHASE_B,002B_B1_R-momentum_pyramid_P100,protocol_s4B,1,1,PASS_pf_1.475,002B_pyramid/RESULTS.json
B3,PHASE_B,002B_B2_H1-continuation_pyramid_P075,protocol_s4B,1,1,PASS_pf_1.465_rb1_3.26_but_2024_-401,002B_pyramid/RESULTS.json
B4,PHASE_B,002B_B2_H1-continuation_pyramid_P100,protocol_s4B,1,1,PASS_pf_1.427,002B_pyramid/RESULTS.json
B5,PHASE_B,002B_B3_pullback-reclaim_pyramid_P075,protocol_s4B,1,1,PASS_pf_1.444_2022_share_52.6,002B_pyramid/RESULTS.json
B6,PHASE_B,002B_B3_pullback-reclaim_pyramid_P100,protocol_s4B,1,1,PASS_pf_1.423,002B_pyramid/RESULTS.json
B7,PHASE_B,002B_B4_day-persistence_pyramid_P075,protocol_s4B,1,0,FAIL_adds_lose_standalone_stress_rb1_negative_2022_103pct,002B_pyramid/RESULTS.json
B8,PHASE_B,002B_B4_day-persistence_pyramid_P100,protocol_s4B,1,0,FAIL_same_as_B7,002B_pyramid/RESULTS.json
C0,PHASE_C,002C_C0_reference_first-touch,protocol_s4C,1,NA,REFERENCE_001_baseline,002C_entry/RESULTS.json
C1,PHASE_C,002C_C1_close-confirm_entry,protocol_s4C,1,1,PASS_pf_1.424_dd_10.3_2022_48.6_equal_total_profit,002C_entry/RESULTS.json
C2,PHASE_C,002C_C2_close-retest_entry,protocol_s4C,1,0,FAIL_pf_1.251_t_1.37_rb1_0.92,002C_entry/RESULTS.json
C3,PHASE_C,002C_C3_strong_break_loc_0.70,protocol_s4C,1,0,FAIL_pf_1.295_freq_collapse_1.22wpw_stress_90pct_2022,002C_entry/RESULTS.json
D0,PHASE_D,002D_D0_reference_strict_exits,protocol_s4D,1,NA,REFERENCE_001_baseline,002D_exit/RESULTS.json
D1,PHASE_D,002D_D1_slower_trail_4.5ATR,protocol_s4D,1,1,PASS_pf_1.464_t_2.89_rb1_4.08_dd_13.6,002D_exit/RESULTS.json
D2,PHASE_D,002D_D2_daily_chandelier_3x_dailyATR,protocol_s4D,1,1,PASS_pf_1.517_t_3.11_rb1_4.98_dd_12.7_2022_41.1,002D_exit/RESULTS.json
D3,PHASE_D,002D_D3_5bar_structure_close_exit,protocol_s4D,1,0,DEAD_pf_1.078_stress_-0.09_chops_runners,002D_exit/RESULTS.json
COMP1,COMPOSITE,FX_PDH_002=C1_entry+D2_exit_single_run,s4_composite_prereg,1,1,PASS_ALL_DIMENSIONS_pf_1.573_t_3.13_rb1_5.59_dd_6.7_all_years_positive,candidates/FX_PDH_002/RESULTS.json
