mode,entry_time,exit_time,dir,level,lot,entry,sl0,tp,sl_dist,exit,reason,pnl,r_mult,balance_after,be_moved
historical,2010-01-19 09:15:00,2010-01-19 11:00:00,-1,0,0.5,1.43931,1.44128,1.4343850000000007,0.0019699999999998052,1.4343850000000007,tp,246.2499999999701,2.4999999999999436,10246.24999999997,True
historical,2010-02-16 11:30:00,2010-02-16 13:30:00,1,1,1.77,1.36599,1.36368,1.3717650000000001,0.0023100000000000342,1.36368,sl,-408.87000000000603,-1.0,9837.379999999965,False
historical,2010-03-10 08:00:00,2010-03-10 12:30:00,-1,0,0.45,1.35826,1.3604,1.35291,0.0021400000000000308,1.3604,sl,-96.30000000000139,-1.0,9741.079999999964,False
historical,2010-03-11 09:30:00,2010-03-11 14:30:00,1,0,0.25,1.36423,1.36232,1.3690050000000002,0.0019100000000000783,1.36433,sl,2.4999999999997247,0.05235602094240046,9743.579999999964,True
historical,2010-03-16 08:00:00,2010-03-16 11:00:00,-1,1,2.18,1.36831,1.37009,1.3638599999999996,0.0017800000000001148,1.37009,sl,-388.0400000000251,-1.0,9355.539999999939,False
historical,2010-04-05 08:00:00,2010-04-05 15:00:00,-1,0,0.48,1.34992,1.35186,1.3450699999999998,0.0019400000000000528,1.34982,sl,4.7999999999994705,0.05154639175257023,9360.339999999938,True
historical,2010-09-01 10:00:00,2010-09-01 11:15:00,1,1,1.77,1.27198,1.26987,1.2772550000000003,0.0021100000000000563,1.2772550000000003,tp,933.675000000025,2.5,10294.014999999963,True
historical,2010-09-06 15:00:00,2010-09-07 01:00:00,1,2,1.27,1.28848,1.28646,1.2935300000000005,0.002020000000000133,1.28646,sl,-256.54000000001685,-1.0,10037.474999999946,False
historical,2010-09-20 08:45:00,2010-09-20 13:45:00,1,0,0.5,1.3085,1.3065,1.3135,0.0020000000000000018,1.3086,sl,4.999999999999449,0.04999999999999445,10042.474999999946,True
historical,2010-12-22 09:00:00,2010-12-22 09:00:00,-1,1,2.24,1.31278,1.31457,1.3083050000000003,0.0017899999999999583,1.31457,sl,-400.95999999999066,-1.0,9641.514999999956,False
historical,2010-12-27 15:00:00,2010-12-27 19:00:00,1,0,0.42,1.31512,1.31285,1.320795,0.0022699999999999942,1.31285,sl,-95.33999999999976,-1.0,9546.174999999956,False
historical,2011-03-08 08:30:00,2011-03-08 08:30:00,1,0,0.46,1.39828,1.39622,1.4034299999999997,0.0020599999999999508,1.39622,sl,-94.75999999999775,-1.0,9451.414999999957,False
historical,2011-03-23 10:15:00,2011-03-23 11:15:00,-1,0,0.41,1.41753,1.4198,1.411855,0.0022699999999999942,1.4198,sl,-93.06999999999977,-1.0,9358.344999999958,False
historical,2011-04-05 08:15:00,2011-04-05 15:00:00,-1,0,0.61,1.41931,1.42083,1.4155100000000003,0.0015199999999999658,1.4155100000000003,tp,231.79999999998802,2.499999999999927,9590.144999999946,True
historical,2011-08-23 08:30:00,2011-08-23 09:45:00,1,1,1.54,1.43922,1.43673,1.4454449999999996,0.002489999999999881,1.4454449999999996,tp,958.6499999999543,2.5,10548.7949999999,True
historical,2011-12-08 08:15:00,2011-12-08 10:00:00,1,2,0.76,1.34174,1.34001,1.3460649999999998,0.0017300000000000093,1.34001,sl,-131.4800000000007,-1.0,10417.314999999899,False
historical,2011-12-19 08:45:00,2011-12-19 09:00:00,-1,0,0.53,1.30068,1.30264,1.2957800000000002,0.0019599999999999618,1.30264,sl,-103.87999999999798,-1.0,10313.434999999901,False
historical,2012-03-07 08:00:00,2012-03-07 11:15:00,-1,0,0.66,1.31391,1.31547,1.31001,0.0015600000000000058,1.31547,sl,-102.9600000000004,-1.0,10210.4749999999,False
historical,2012-03-08 09:00:00,2012-03-08 10:30:00,1,0,0.33,1.31784,1.31631,1.3216649999999994,0.0015299999999998093,1.3216649999999994,tp,126.22499999998428,2.5,10336.699999999884,True
historical,2012-03-08 10:15:00,2012-03-08 13:15:00,1,1,0.85,1.31878,1.31637,1.324805,0.0024100000000000232,1.324805,tp,512.1249999999955,2.499999999999954,10848.82499999988,True
historical,2012-03-29 08:15:00,2012-03-29 11:00:00,1,2,0.66,1.33279,1.33074,1.3379149999999997,0.0020499999999998852,1.33074,sl,-135.29999999999242,-1.0,10713.524999999889,False
historical,2012-04-03 08:15:00,2012-04-03 13:15:00,1,0,0.54,1.33464,1.33269,1.3395150000000005,0.0019500000000001183,1.33269,sl,-105.30000000000639,-1.0,10608.224999999882,False
historical,2012-04-03 11:15:00,2012-04-03 13:00:00,1,0,0.59,1.33471,1.33292,1.339185,0.0017899999999999583,1.33292,sl,-105.60999999999754,-1.0,10502.614999999885,False
