year,utc_hour,median_spread_pips,n_ticks
2010,0,1.1,214499
2010,1,1.2,202326
2010,2,1.2,290855
2010,3,1.0,334094
2010,4,1.1,272801
2010,5,1.1,266459
2010,6,1.1,328757
2010,7,0.9,421450
2010,8,0.9,465745
2010,9,0.9,468352
2010,10,0.8,447193
2010,11,0.8,366575
2010,12,0.8,370709
2010,13,0.8,482489
2010,14,0.9,494930
2010,15,0.9,487101
2010,16,0.9,443606
2010,17,1.0,341058
2010,18,1.0,284977
2010,19,1.0,287824
2010,20,1.0,333011
2010,21,1.2,272198
2010,22,1.3,184683
2010,23,1.1,197075
2011,0,1.0,900872
2011,1,1.0,902007
2011,2,1.0,707794
2011,3,1.0,661055
2011,4,1.0,637285
2011,5,1.0,773506
2011,6,0.9,1118522
2011,7,0.8,1512486
2011,8,0.8,1530597
2011,9,0.8,1463594
2011,10,0.8,1377310
2011,11,0.8,1302989
2011,12,0.8,1493185
2011,13,0.8,1696790
2011,14,0.8,1809560
2011,15,0.8,1620896
2011,16,0.8,1298310
2011,17,0.8,1053549
2011,18,0.9,988899
2011,19,0.9,922393
2011,20,1.0,613416
2011,21,1.4,363244
2011,22,1.4,468900
2011,23,1.1,576643
2012,0,0.9,724725
2012,1,0.9,707294
2012,2,0.9,614459
2012,3,0.9,540799
2012,4,0.9,525372
2012,5,0.8,633879
2012,6,0.8,997627
2012,7,0.8,1426162
2012,8,0.8,1513081
2012,9,0.8,1397791
2012,10,0.8,1278256
2012,11,0.8,1269134
2012,12,0.8,1490022
2012,13,0.8,1610579
2012,14,0.8,1705442
2012,15,0.8,1487990
2012,16,0.8,1077465
2012,17,0.8,875022
2012,18,0.8,842829
2012,19,0.8,795278
2012,20,0.8,608125
2012,21,1.3,376739
2012,22,1.2,432046
2012,23,1.0,470835
2013,0,0.4,544235
2013,1,0.4,515435
2013,2,0.4,446334
2013,3,0.4,405591
2013,4,0.4,391066
2013,5,0.4,473073
2013,6,0.3,724550
2013,7,0.3,1058340
2013,8,0.3,1188875
2013,9,0.3,1088149
2013,10,0.3,986401
2013,11,0.3,956920
2013,12,0.3,1255703
2013,13,0.3,1409111
2013,14,0.3,1500149
2013,15,0.3,1263805
2013,16,0.3,916855
2013,17,0.3,688813
2013,18,0.3,659610
2013,19,0.3,586313
2013,20,0.4,465742
2013,21,0.8,349010
2013,22,0.7,342750
2013,23,0.5,359408
2014,0,0.3,529604
2014,1,0.3,494889
2014,2,0.3,416336
2014,3,0.3,376349
2014,4,0.3,366259
2014,5,0.3,434860
2014,6,0.3,675954
2014,7,0.2,916121
2014,8,0.2,1048106
2014,9,0.2,984585
2014,10,0.2,867042
2014,11,0.2,835180
2014,12,0.2,1114020
2014,13,0.2,1299094
2014,14,0.2,1294174
2014,15,0.2,1154529
2014,16,0.2,857487
2014,17,0.2,661296
2014,18,0.3,612068
2014,19,0.3,546421
2014,20,0.3,451296
2014,21,0.5,299886
2014,22,0.5,316621
2014,23,0.4,353063
2015,0,0.3,673974
2015,1,0.3,660649
2015,2,0.3,570155
2015,3,0.3,490756
2015,4,0.3,474869
2015,5,0.3,569344
2015,6,0.3,1003892
2015,7,0.3,1448195
2015,8,0.3,1519369
2015,9,0.3,1382203
2015,10,0.3,1248530
2015,11,0.2,1202596
2015,12,0.2,1606196
2015,13,0.2,1777965
2015,14,0.2,1864135
2015,15,0.2,1652871
2015,16,0.3,1237338
2015,17,0.3,992124
2015,18,0.3,937110
2015,19,0.3,825583
2015,20,0.4,610361
2015,21,0.8,498283
2015,22,0.7,500452
2015,23,0.4,485052
2016,0,0.3,1417489
2016,1,0.3,1537958
2016,2,0.3,1373736
2016,3,0.3,1228043
2016,4,0.3,1204571
2016,5,0.3,1293900
2016,6,0.2,1896958
2016,7,0.2,2617721
2016,8,0.2,2616357
2016,9,0.2,2406537
2016,10,0.2,2246245
2016,11,0.2,2286930
2016,12,0.2,2823943
2016,13,0.2,3106607
2016,14,0.2,3283243
2016,15,0.2,2881589
2016,16,0.2,2205461
2016,17,0.2,1787036
2016,18,0.2,1705967
2016,19,0.2,1488541
2016,20,0.3,1030249
2016,21,0.7,573774
2016,22,0.6,875222
2016,23,0.5,937684
2017,0,0.3,693370
2017,1,0.3,703483
2017,2,0.3,592279
2017,3,0.3,512412
2017,4,0.3,461693
2017,5,0.3,559866
2017,6,0.3,932684
2017,7,0.3,1210180
2017,8,0.3,1209617
2017,9,0.3,1094135
2017,10,0.3,989092
2017,11,0.2,1046696
2017,12,0.3,1334354
2017,13,0.2,1438126
2017,14,0.2,1529531
2017,15,0.2,1408010
2017,16,0.2,1106012
2017,17,0.3,931991
2017,18,0.3,914986
2017,19,0.3,854261
2017,20,0.3,633942
2017,21,0.7,552933
2017,22,0.6,507780
2017,23,0.4,451968
2018,0,0.4,797650
2018,1,0.3,880116
2018,2,0.3,742738
2018,3,0.3,651900
2018,4,0.3,590011
2018,5,0.3,745628
2018,6,0.3,1202354
2018,7,0.3,1502038
2018,8,0.3,1479231
2018,9,0.3,1350257
2018,10,0.3,1276296
2018,11,0.3,1280630
2018,12,0.3,1504414
2018,13,0.3,1669570
2018,14,0.3,1722811
2018,15,0.3,1626503
2018,16,0.3,1359727
2018,17,0.3,1159074
2018,18,0.3,1101592
2018,19,0.3,1044013
2018,20,0.4,750310
2018,21,0.8,569027
2018,22,0.7,495736
2018,23,0.4,518840
