mode,bot,year,trades,net,pf,max_dd_abs
historical,baseline,2010,11,-96.15,0.8406,342.4
historical,baseline,2011,6,135.55,1.3911,292.64
historical,baseline,2012,55,-193.02,0.9383,941.56
historical,baseline,2013,64,-1436.47,0.6063,1893.08
historical,baseline,2014,60,-1372.28,0.546,3196.77
historical,baseline,2015,51,1062.75,1.5546,3099.92
historical,baseline,2016,53,-964.83,0.5842,3035.84
historical,baseline,2017,66,-299.77,0.8806,3530.98
historical,baseline,2018,62,635.91,1.2703,3303.21
historical,pyramid_safe,2010,11,-453.83,0.7243,890.71
historical,pyramid_safe,2011,6,767.26,2.813,641.66
historical,pyramid_safe,2012,55,-642.69,0.8854,2055.98
historical,pyramid_safe,2013,64,-807.31,0.8709,2207.34
historical,pyramid_safe,2014,60,-917.39,0.8083,2983.33
historical,pyramid_safe,2015,51,738.55,1.1548,2861.68
historical,pyramid_safe,2016,53,-858.22,0.7911,2772.82
historical,pyramid_safe,2017,66,-1406.59,0.7464,4127.63
historical,pyramid_safe,2018,62,1967.52,1.4524,3899.74
realistic,baseline,2010,11,-146.38,0.7687,388.13
realistic,baseline,2011,5,-123.54,0.6542,348.04
realistic,baseline,2012,53,-314.63,0.8963,1032.26
realistic,baseline,2013,66,-1862.89,0.4884,2712.2
realistic,baseline,2014,60,-1432.56,0.4947,4057.35
realistic,baseline,2015,52,246.99,1.1344,4034.09
realistic,baseline,2016,55,-884.1,0.5614,4643.65
realistic,baseline,2017,66,-390.24,0.8049,5161.95
realistic,baseline,2018,62,320.41,1.1771,5026.93
realistic,pyramid_safe,2010,11,-570.36,0.6699,939.73
realistic,pyramid_safe,2011,5,-268.24,0.4535,838.6
realistic,pyramid_safe,2012,53,-421.79,0.9143,2498.26
realistic,pyramid_safe,2013,66,-1872.64,0.6702,3819.06
realistic,pyramid_safe,2014,60,-1023.77,0.7333,4663.57
realistic,pyramid_safe,2015,52,-992.6,0.7179,5686.1
realistic,pyramid_safe,2016,55,-150.9,0.9345,5769.6
realistic,pyramid_safe,2017,66,-1068.03,0.6855,6667.29
realistic,pyramid_safe,2018,62,875.53,1.3487,6567.35
