status,dir,orig_entry_time,orig_exit_time,orig_dir,t_stop_ns,stop_confirmed,entry_ts_ns,entry_ref_px,entry_fill_px,sl,tp,risk_pips,exit_type,exit_ts_ns,exit_px,net_pips,r,be_moved
TRADE,-1,2010-02-16 11:30:00,2010-02-16 13:30:00,1,1266320664067000000,True,1266320670414000000,1.36376,1.36376,1.36642,1.3571100000000005,26.6,STOP,1266327785615000000,1.36644,-26.8,-1.00752,False
TRADE,1,2010-03-10 08:00:00,2010-03-10 12:30:00,-1,1268217902223000000,False,1268217908704000000,1.35799,1.35799,1.35752,1.359165,4.7,STOP,1268218406525000000,1.35809,1.0,0.21277,True
TRADE,1,2010-03-16 08:00:00,2010-03-16 11:00:00,-1,1268730904217000000,False,1268730910620000000,1.36865,1.36865,1.36764,1.3711749999999998,10.1,STOP,1268731237443000000,1.36763,-10.2,-1.0099,False
TRADE,-1,2010-09-06 15:00:00,2010-09-07 01:00:00,1,1283811304142000000,False,1283811310482000000,1.28738,1.28738,1.28777,1.2864049999999998,3.9,TARGET,1283813972990000000,1.2864049999999998,9.75,2.5,True
TRADE,1,2010-12-22 09:00:00,2010-12-22 09:00:00,-1,1293001215130000000,True,1293001220731000000,1.31465,1.31465,1.31238,1.320325,22.7,STOP,1293009563427000000,1.31233,-23.2,-1.02203,False
TRADE,-1,2010-12-27 15:00:00,2010-12-27 19:00:00,1,1293470100601000000,False,1293470108478000000,1.31451,1.31451,1.31466,1.3141350000000003,1.5,STOP,1293470108952000000,1.31466,-1.5,-1.0,False
TRADE,-1,2011-03-08 08:30:00,2011-03-08 08:30:00,1,1299566701278000000,False,1299566706529000000,1.39757,1.39757,1.39851,1.3952200000000001,9.4,TARGET,1299570169376000000,1.3952200000000001,23.5,2.5,True
TRADE,1,2011-03-23 10:15:00,2011-03-23 11:15:00,-1,1300872600031000000,False,1300872605621000000,1.41818,1.41818,1.41777,1.419205,4.1,STOP,1300872619855000000,1.41772,-4.6,-1.12195,False
TRADE,-1,2011-12-08 08:15:00,2011-12-08 10:00:00,1,1323332101187000000,False,1323332106679000000,1.34194,1.34194,1.34291,1.3395149999999996,9.7,TARGET,1323336864682000000,1.3395149999999996,24.25,2.5,True
TRADE,1,2011-12-19 08:45:00,2011-12-19 09:00:00,-1,1324278900604000000,False,1324278906862000000,1.30213,1.30213,1.30027,1.3067799999999998,18.6,STOP,1324325673265000000,1.30026,-18.7,-1.00538,False
TRADE,1,2012-03-07 08:00:00,2012-03-07 11:15:00,-1,1331112600037000000,False,1331112608443000000,1.31439,1.31439,1.31319,1.3173899999999996,12.0,STOP,1331118016792000000,1.31444,0.5,0.04167,True
INVALID_LEVELS,,2012-03-29 08:15:00,2012-03-29 11:00:00,1,1333008900667000000,,,,,,,,,,,,,
SKIP_DAILY,,2012-04-03 08:15:00,2012-04-03 13:15:00,1,1333449000085000000,,,,,,,,,,,,,
SKIP_DAILY,,2012-04-03 11:15:00,2012-04-03 13:00:00,1,1333448100062000000,,,,,,,,,,,,,
INVALID_LEVELS,,2012-04-09 15:15:00,2012-04-09 16:30:00,-1,1333979100709000000,,,,,,,,,,,,,
TRADE,-1,2012-04-12 10:45:00,2012-04-12 11:00:00,1,1334218500182000000,False,1334218505671000000,1.31237,1.31237,1.31382,1.308745,14.5,STOP,1334226616946000000,1.31385,-14.8,-1.02069,False
TRADE,1,2012-04-18 14:45:00,2012-04-18 16:30:00,-1,1334756700007000000,False,1334756705197000000,1.30889,1.30889,1.30817,1.3106900000000001,7.2,STOP,1334757785320000000,1.30894,0.5,0.06944,True
TRADE,-1,2012-04-19 11:30:00,2012-04-19 12:15:00,1,1334827800267000000,False,1334827805394000000,1.31386,1.31386,1.3151,1.3107600000000001,12.4,TARGET,1334834677191000000,1.3107600000000001,31.0,2.5,True
SKIP_DAILY,,2012-04-26 16:15:00,2012-04-26 23:00:00,1,1335471301576000000,,,,,,,,,,,,,
TRADE,1,2012-05-10 10:15:00,2012-05-10 15:00:00,-1,1336652100235000000,False,1336652105354000000,1.29622,1.29622,1.2947,1.30002,15.2,STOP,1336662418827000000,1.29462,-16.0,-1.05263,False
TRADE,-1,2012-05-22 09:15:00,2012-05-22 10:30:00,1,1337672700233000000,False,1337672705275000000,1.27965,1.27965,1.28083,1.2767,11.8,TARGET,1337677430031000000,1.2767,29.5,2.5,True
