status,dir,orig_entry_time,orig_exit_time,orig_dir,t_stop_ns,stop_confirmed,entry_ts_ns,entry_ref_px,entry_fill_px,sl,tp,risk_pips,exit_type,exit_ts_ns,exit_px,net_pips,r,be_moved
TRADE,-1,2010-09-06 15:00:00,2010-09-07 01:00:00,1,1283811304142000000,False,1283811310482000000,1.28738,1.28738,1.28777,1.2864049999999998,3.9,TARGET,1283813972990000000,1.2864049999999998,9.75,2.5,True
TRADE,-1,2011-03-08 08:30:00,2011-03-08 08:30:00,1,1299566701278000000,False,1299566706529000000,1.39757,1.39757,1.39851,1.3952200000000001,9.4,TARGET,1299570169376000000,1.3952200000000001,23.5,2.5,True
TRADE,1,2011-03-23 10:15:00,2011-03-23 11:15:00,-1,1300872600031000000,False,1300872605621000000,1.41818,1.41818,1.41777,1.419205,4.1,STOP,1300872619855000000,1.41772,-4.6,-1.12195,False
TRADE,-1,2011-12-08 08:15:00,2011-12-08 10:00:00,1,1323332101187000000,False,1323332106679000000,1.34194,1.34194,1.34291,1.3395149999999996,9.7,TARGET,1323336864682000000,1.3395149999999996,24.25,2.5,True
TRADE,1,2012-03-07 08:00:00,2012-03-07 11:15:00,-1,1331112600037000000,False,1331112608443000000,1.31439,1.31439,1.31319,1.3173899999999996,12.0,STOP,1331118016792000000,1.31444,0.5,0.04167,True
INVALID_LEVELS,,2012-03-29 08:15:00,2012-03-29 11:00:00,1,1333008900667000000,,,,,,,,,,,,,
SKIP_DAILY,,2012-04-03 11:15:00,2012-04-03 13:00:00,1,1333448100062000000,,,,,,,,,,,,,
INVALID_LEVELS,,2012-04-09 15:15:00,2012-04-09 16:30:00,-1,1333979100709000000,,,,,,,,,,,,,
TRADE,-1,2012-04-12 10:45:00,2012-04-12 11:00:00,1,1334218500182000000,False,1334218505671000000,1.31237,1.31237,1.31382,1.308745,14.5,STOP,1334226616946000000,1.31385,-14.8,-1.02069,False
SKIP_DAILY,,2012-04-26 16:15:00,2012-04-26 23:00:00,1,1335471301576000000,,,,,,,,,,,,,
TRADE,-1,2012-07-16 09:30:00,2012-07-16 10:45:00,1,1342425600114000000,False,1342425605801000000,1.22264,1.22264,1.22306,1.2215899999999997,4.2,STOP,1342425917883000000,1.22306,-4.2,-1.0,False
