event_id,family,release_date,reference_period,release_timestamp_utc,timestamp_grade,timestamp_provenance,fomc_kind,actual_initial_payems_thousands,previous_published_payems_thousands,revision1_payems_thousands,revision1_available_at,actual_initial_cpiaucsl_index,previous_published_cpiaucsl_index,actual_initial_cpilfesl_index,previous_published_cpilfesl_index,target_before,target_after,rate_change_bp,rate_decision_note,value_source,core_value_source,value_available_time_utc,value_time_precision,archive_url,statement_url,label
MACRO-NFP-200912,NFP,2010-01-08,2009-12,2010-01-08T13:30:00Z,EXACT_SCHEDULE_PAGE,"bls_schedule/2010/home.htm entry ('08:30 AM Eastern Time', weekday Friday)",,130910,130996,129547,2010-02-05,,,,,,,,,ALFRED PAYEMS vintage 2010-01-08 (realtime_start=release date),,2010-01-08T13:30:00Z,DATE_ONLY,https://www.bls.gov/news.release/archives/empsit_01082010.htm,,December 2009 Employment Situation
MACRO-CPI-200912,CPI,2010-01-15,2009-12,2010-01-15T13:30:00Z,EXACT_SCHEDULE_PAGE,"bls_schedule/2010/home.htm entry ('08:30 AM Eastern Time', weekday Friday)",,,,,,217.541,217.250,220.774,220.527,,,,,ALFRED CPIAUCSL vintage 2010-01-15 (realtime_start=release date),,2010-01-15T13:30:00Z,DATE_ONLY,https://www.bls.gov/news.release/archives/cpi_01152010.htm,,December 2009 Consumer Price Index
MACRO-FOMC-20100127,FOMC,2010-01-27,2010-01-27,2010-01-27T17:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,official page shows release DATE only (verified also in era Wayback captures); timestamp uses NON-official convention 12:30 ET and is flagged not exact,scheduled,,,,,,,,,DATA_UNAVAILABLE,0-0.25%,,,,,2010-01-27T17:30:00Z,CONVENTION_NON_OFFICIAL,,https://www.federalreserve.gov/newsevents/pressreleases/monetary20100127a.htm,
MACRO-NFP-201001,NFP,2010-02-05,2010-01,2010-02-05T13:30:00Z,EXACT_SCHEDULE_PAGE,"bls_schedule/2010/home.htm entry ('08:30 AM Eastern Time', weekday Friday)",,129527,130910,129562,2010-03-05,,,,,,,,,ALFRED PAYEMS vintage 2010-02-05 (realtime_start=release date),,2010-02-05T13:30:00Z,DATE_ONLY,https://www.bls.gov/news.release/archives/empsit_02052010.htm,,January 2010 Employment Situation
MACRO-CPI-201001,CPI,2010-02-19,2010-01,2010-02-19T13:30:00Z,EXACT_SCHEDULE_PAGE,"bls_schedule/2010/home.htm entry ('08:30 AM Eastern Time', weekday Friday)",,,,,,217.587,217.541,220.463,220.774,,,,,ALFRED CPIAUCSL vintage 2010-02-19 (realtime_start=release date),,2010-02-19T13:30:00Z,DATE_ONLY,https://www.bls.gov/news.release/archives/cpi_02192010.htm,,January 2010 Consumer Price Index
MACRO-NFP-201002,NFP,2010-03-05,2010-02,2010-03-05T13:30:00Z,EXACT_SCHEDULE_PAGE,"bls_schedule/2010/home.htm entry ('08:30 AM Eastern Time', weekday Friday)",,129526,129527,129588,2010-04-02,,,,,,,,,ALFRED PAYEMS vintage 2010-03-05 (realtime_start=release date),,2010-03-05T13:30:00Z,DATE_ONLY,https://www.bls.gov/news.release/archives/empsit_03052010.htm,,February 2010 Employment Situation
MACRO-FOMC-20100316,FOMC,2010-03-16,2010-03-16,2010-03-16T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,official page shows release DATE only (verified also in era Wayback captures); timestamp uses NON-official convention 12:30 ET and is flagged not exact,scheduled,,,,,,,,,0-0.25%,0-0.25%,0,,,,2010-03-16T16:30:00Z,CONVENTION_NON_OFFICIAL,,https://www.federalreserve.gov/newsevents/pressreleases/monetary20100316a.htm,
MACRO-CPI-201002,CPI,2010-03-18,2010-02,2010-03-18T12:30:00Z,EXACT_SCHEDULE_PAGE,"bls_schedule/2010/home.htm entry ('08:30 AM Eastern Time', weekday Thursday)",,,,,,217.591,217.587,220.579,220.463,,,,,ALFRED CPIAUCSL vintage 2010-03-18 (realtime_start=release date),,2010-03-18T12:30:00Z,DATE_ONLY,https://www.bls.gov/news.release/archives/cpi_03182010.htm,,February 2010 Consumer Price Index
MACRO-NFP-201003,NFP,2010-04-02,2010-03,2010-04-02T12:30:00Z,EXACT_SCHEDULE_PAGE,"bls_schedule/2010/home.htm entry ('08:30 AM Eastern Time', weekday Friday)",,129750,129526,129871,2010-05-07,,,,,,,,,ALFRED PAYEMS vintage 2010-04-02 (realtime_start=release date),,2010-04-02T12:30:00Z,DATE_ONLY,https://www.bls.gov/news.release/archives/empsit_04022010.htm,,March 2010 Employment Situation
MACRO-CPI-201003,CPI,2010-04-14,2010-03,2010-04-14T12:30:00Z,EXACT_SCHEDULE_PAGE,"bls_schedule/2010/home.htm entry ('08:30 AM Eastern Time', weekday Wednesday)",,,,,,217.729,217.591,220.664,220.579,,,,,ALFRED CPIAUCSL vintage 2010-04-14 (realtime_start=release date),,2010-04-14T12:30:00Z,DATE_ONLY,https://www.bls.gov/news.release/archives/cpi_04142010.htm,,March 2010 Consumer Price Index
