event_id,family,release_timestamp_utc,timestamp_grade,tick_alignment_status,pre_tick_lag_ms,post_tick_lag_ms,pre_tick_ts,post_tick_ts
MACRO-NFP-200912,NFP,2010-01-08T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,494,1980,2010-01-08T13:29:59.506000+00:00,2010-01-08T13:30:01.981000+00:00
MACRO-CPI-200912,CPI,2010-01-15T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,1371,1331,2010-01-15T13:29:58.629000+00:00,2010-01-15T13:30:01.331000+00:00
MACRO-FOMC-20100127,FOMC,2010-01-27T17:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,2386,2596,2010-01-27T17:29:57.614000+00:00,2010-01-27T17:30:02.596000+00:00
MACRO-NFP-201001,NFP,2010-02-05T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,1220,2092,2010-02-05T13:29:58.780000+00:00,2010-02-05T13:30:02.092000+00:00
MACRO-CPI-201001,CPI,2010-02-19T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,3189,1904,2010-02-19T13:29:56.811000+00:00,2010-02-19T13:30:01.904000+00:00
MACRO-NFP-201002,NFP,2010-03-05T13:30:00Z,EXACT_SCHEDULE_PAGE,NO_TICK_WITHIN_5S,3083,7291,2010-03-05T13:29:56.917000+00:00,2010-03-05T13:30:07.291000+00:00
MACRO-FOMC-20100316,FOMC,2010-03-16T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,3264,1133,2010-03-16T16:29:56.736000+00:00,2010-03-16T16:30:01.133000+00:00
MACRO-CPI-201002,CPI,2010-03-18T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,2630,4898,2010-03-18T12:29:57.370000+00:00,2010-03-18T12:30:04.898000+00:00
MACRO-NFP-201003,NFP,2010-04-02T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,3926,2858,2010-04-02T12:29:56.074000+00:00,2010-04-02T12:30:02.858000+00:00
MACRO-CPI-201003,CPI,2010-04-14T12:30:00Z,EXACT_SCHEDULE_PAGE,NO_TICK_WITHIN_5S,1592,5958,2010-04-14T12:29:58.408000+00:00,2010-04-14T12:30:05.958000+00:00
MACRO-FOMC-20100428,FOMC,2010-04-28T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,2575,894,2010-04-28T16:29:57.425000+00:00,2010-04-28T16:30:00.894000+00:00
MACRO-NFP-201004,NFP,2010-05-07T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,3287,1950,2010-05-07T12:29:56.713000+00:00,2010-05-07T12:30:01.950000+00:00
MACRO-FOMC-20100509,FOMC,2010-05-10T01:15:00Z,EXACT_STATEMENT_PAGE,ALIGNED,5477,4296,2010-05-10T01:14:54.523000+00:00,2010-05-10T01:15:04.296000+00:00
MACRO-CPI-201004,CPI,2010-05-19T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,4290,2275,2010-05-19T12:29:55.710000+00:00,2010-05-19T12:30:02.275000+00:00
MACRO-NFP-201005,NFP,2010-06-04T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,1355,4391,2010-06-04T12:29:58.644000+00:00,2010-06-04T12:30:04.391000+00:00
MACRO-CPI-201005,CPI,2010-06-17T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,3342,915,2010-06-17T12:29:56.658000+00:00,2010-06-17T12:30:00.915000+00:00
MACRO-FOMC-20100623,FOMC,2010-06-23T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,4589,2355,2010-06-23T16:29:55.411000+00:00,2010-06-23T16:30:02.355000+00:00
MACRO-NFP-201006,NFP,2010-07-02T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,2700,589,2010-07-02T12:29:57.300000+00:00,2010-07-02T12:30:00.589000+00:00
MACRO-CPI-201006,CPI,2010-07-16T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,1813,3131,2010-07-16T12:29:58.187000+00:00,2010-07-16T12:30:03.131000+00:00
MACRO-NFP-201007,NFP,2010-08-06T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,1221,873,2010-08-06T12:29:58.779000+00:00,2010-08-06T12:30:00.873000+00:00
MACRO-FOMC-20100810,FOMC,2010-08-10T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,3684,3304,2010-08-10T16:29:56.316000+00:00,2010-08-10T16:30:03.304000+00:00
MACRO-CPI-201007,CPI,2010-08-13T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,2718,1333,2010-08-13T12:29:57.282000+00:00,2010-08-13T12:30:01.333000+00:00
MACRO-NFP-201008,NFP,2010-09-03T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,1811,315,2010-09-03T12:29:58.189000+00:00,2010-09-03T12:30:00.315000+00:00
MACRO-CPI-201008,CPI,2010-09-17T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,1074,792,2010-09-17T12:29:58.926000+00:00,2010-09-17T12:30:00.792000+00:00
MACRO-FOMC-20100921,FOMC,2010-09-21T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,2043,1294,2010-09-21T16:29:57.957000+00:00,2010-09-21T16:30:01.294000+00:00
MACRO-NFP-201009,NFP,2010-10-08T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,1449,559,2010-10-08T12:29:58.551000+00:00,2010-10-08T12:30:00.559000+00:00
MACRO-CPI-201009,CPI,2010-10-15T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,2084,1690,2010-10-15T12:29:57.916000+00:00,2010-10-15T12:30:01.690000+00:00
MACRO-FOMC-20101103,FOMC,2010-11-03T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,1420,2507,2010-11-03T16:29:58.580000+00:00,2010-11-03T16:30:02.507000+00:00
MACRO-NFP-201010,NFP,2010-11-05T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,2223,1022,2010-11-05T12:29:57.777000+00:00,2010-11-05T12:30:01.022000+00:00
MACRO-CPI-201010,CPI,2010-11-17T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,24,312,2010-11-17T13:29:59.976000+00:00,2010-11-17T13:30:00.312000+00:00
MACRO-NFP-201011,NFP,2010-12-03T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,778,580,2010-12-03T13:29:59.222000+00:00,2010-12-03T13:30:00.580000+00:00
MACRO-FOMC-20101214,FOMC,2010-12-14T17:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,916,1684,2010-12-14T17:29:59.084000+00:00,2010-12-14T17:30:01.684000+00:00
MACRO-CPI-201011,CPI,2010-12-15T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,396,387,2010-12-15T13:29:59.604000+00:00,2010-12-15T13:30:00.387000+00:00
MACRO-NFP-201012,NFP,2011-01-07T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,684,580,2011-01-07T13:29:59.316000+00:00,2011-01-07T13:30:00.580000+00:00
MACRO-CPI-201012,CPI,2011-01-14T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,1732,114,2011-01-14T13:29:58.268000+00:00,2011-01-14T13:30:00.114000+00:00
MACRO-FOMC-20110126,FOMC,2011-01-26T17:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,552,1490,2011-01-26T17:29:59.448000+00:00,2011-01-26T17:30:01.490000+00:00
MACRO-NFP-201101,NFP,2011-02-04T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,4975,437,2011-02-04T13:29:55.025000+00:00,2011-02-04T13:30:00.437000+00:00
MACRO-CPI-201101,CPI,2011-02-17T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,139,255,2011-02-17T13:29:59.861000+00:00,2011-02-17T13:30:00.255000+00:00
MACRO-NFP-201102,NFP,2011-03-04T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,91,239,2011-03-04T13:29:59.909000+00:00,2011-03-04T13:30:00.239000+00:00
MACRO-FOMC-20110315,FOMC,2011-03-15T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,1787,436,2011-03-15T16:29:58.213000+00:00,2011-03-15T16:30:00.436000+00:00
MACRO-CPI-201102,CPI,2011-03-17T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,480,769,2011-03-17T12:29:59.520000+00:00,2011-03-17T12:30:00.769000+00:00
MACRO-NFP-201103,NFP,2011-04-01T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,336,249,2011-04-01T12:29:59.664000+00:00,2011-04-01T12:30:00.249000+00:00
MACRO-CPI-201103,CPI,2011-04-15T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,12,321,2011-04-15T12:29:59.988000+00:00,2011-04-15T12:30:00.321000+00:00
MACRO-FOMC-20110427,FOMC,2011-04-27T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,769,1791,2011-04-27T16:29:59.231000+00:00,2011-04-27T16:30:01.791000+00:00
MACRO-NFP-201104,NFP,2011-05-06T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,644,14,2011-05-06T12:29:59.356000+00:00,2011-05-06T12:30:00.014000+00:00
MACRO-CPI-201104,CPI,2011-05-13T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,454,98,2011-05-13T12:29:59.546000+00:00,2011-05-13T12:30:00.098000+00:00
MACRO-NFP-201105,NFP,2011-06-03T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,23,87,2011-06-03T12:29:59.977000+00:00,2011-06-03T12:30:00.087000+00:00
MACRO-CPI-201105,CPI,2011-06-15T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,438,446,2011-06-15T12:29:59.562000+00:00,2011-06-15T12:30:00.446000+00:00
MACRO-FOMC-20110622,FOMC,2011-06-22T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,506,155,2011-06-22T16:29:59.494000+00:00,2011-06-22T16:30:00.155000+00:00
MACRO-NFP-201106,NFP,2011-07-08T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,468,116,2011-07-08T12:29:59.532000+00:00,2011-07-08T12:30:00.116000+00:00
MACRO-CPI-201106,CPI,2011-07-15T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,71,271,2011-07-15T12:29:59.929000+00:00,2011-07-15T12:30:00.271000+00:00
MACRO-NFP-201107,NFP,2011-08-05T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,42,299,2011-08-05T12:29:59.958000+00:00,2011-08-05T12:30:00.299000+00:00
MACRO-FOMC-20110809,FOMC,2011-08-09T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,237,933,2011-08-09T16:29:59.763000+00:00,2011-08-09T16:30:00.933000+00:00
MACRO-CPI-201107,CPI,2011-08-18T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,890,674,2011-08-18T12:29:59.110000+00:00,2011-08-18T12:30:00.674000+00:00
MACRO-NFP-201108,NFP,2011-09-02T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,188,436,2011-09-02T12:29:59.812000+00:00,2011-09-02T12:30:00.436000+00:00
MACRO-CPI-201108,CPI,2011-09-15T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,668,684,2011-09-15T12:29:59.332000+00:00,2011-09-15T12:30:00.684000+00:00
MACRO-FOMC-20110921,FOMC,2011-09-21T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,115,133,2011-09-21T16:29:59.885000+00:00,2011-09-21T16:30:00.133000+00:00
MACRO-NFP-201109,NFP,2011-10-07T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,201,42,2011-10-07T12:29:59.799000+00:00,2011-10-07T12:30:00.042000+00:00
MACRO-CPI-201109,CPI,2011-10-19T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,471,65,2011-10-19T12:29:59.529000+00:00,2011-10-19T12:30:00.065000+00:00
MACRO-FOMC-20111102,FOMC,2011-11-02T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,218,397,2011-11-02T16:29:59.782000+00:00,2011-11-02T16:30:00.397000+00:00
MACRO-NFP-201110,NFP,2011-11-04T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,236,8,2011-11-04T12:29:59.764000+00:00,2011-11-04T12:30:00.008000+00:00
MACRO-CPI-201110,CPI,2011-11-16T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,576,524,2011-11-16T13:29:59.424000+00:00,2011-11-16T13:30:00.524000+00:00
MACRO-NFP-201111,NFP,2011-12-02T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,2118,577,2011-12-02T13:29:57.882000+00:00,2011-12-02T13:30:00.577000+00:00
MACRO-FOMC-20111213,FOMC,2011-12-13T17:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,366,405,2011-12-13T17:29:59.634000+00:00,2011-12-13T17:30:00.405000+00:00
MACRO-CPI-201111,CPI,2011-12-16T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,19,59,2011-12-16T13:29:59.981000+00:00,2011-12-16T13:30:00.059000+00:00
MACRO-NFP-201112,NFP,2012-01-06T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,244,241,2012-01-06T13:29:59.756000+00:00,2012-01-06T13:30:00.241000+00:00
MACRO-CPI-201112,CPI,2012-01-19T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,60,22,2012-01-19T13:29:59.940000+00:00,2012-01-19T13:30:00.022000+00:00
MACRO-FOMC-20120125,FOMC,2012-01-25T17:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,982,0,2012-01-25T17:29:59.018000+00:00,2012-01-25T17:30:00+00:00
MACRO-NFP-201201,NFP,2012-02-03T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,382,326,2012-02-03T13:29:59.618000+00:00,2012-02-03T13:30:00.326000+00:00
MACRO-CPI-201201,CPI,2012-02-17T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,696,215,2012-02-17T13:29:59.304000+00:00,2012-02-17T13:30:00.215000+00:00
MACRO-NFP-201202,NFP,2012-03-09T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,274,223,2012-03-09T13:29:59.726000+00:00,2012-03-09T13:30:00.223000+00:00
MACRO-FOMC-20120313,FOMC,2012-03-13T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,401,343,2012-03-13T16:29:59.599000+00:00,2012-03-13T16:30:00.343000+00:00
MACRO-CPI-201202,CPI,2012-03-16T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,294,227,2012-03-16T12:29:59.706000+00:00,2012-03-16T12:30:00.227000+00:00
MACRO-NFP-201203,NFP,2012-04-06T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,245,266,2012-04-06T12:29:59.755000+00:00,2012-04-06T12:30:00.266000+00:00
MACRO-CPI-201203,CPI,2012-04-13T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,346,789,2012-04-13T12:29:59.654000+00:00,2012-04-13T12:30:00.789000+00:00
MACRO-FOMC-20120425,FOMC,2012-04-25T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,258,166,2012-04-25T16:29:59.742000+00:00,2012-04-25T16:30:00.166000+00:00
MACRO-NFP-201204,NFP,2012-05-04T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,177,337,2012-05-04T12:29:59.823000+00:00,2012-05-04T12:30:00.337000+00:00
MACRO-CPI-201204,CPI,2012-05-15T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,111,243,2012-05-15T12:29:59.889000+00:00,2012-05-15T12:30:00.243000+00:00
MACRO-NFP-201205,NFP,2012-06-01T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,12,609,2012-06-01T12:29:59.988000+00:00,2012-06-01T12:30:00.609000+00:00
MACRO-CPI-201205,CPI,2012-06-14T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,207,14,2012-06-14T12:29:59.793000+00:00,2012-06-14T12:30:00.014000+00:00
MACRO-FOMC-20120620,FOMC,2012-06-20T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,523,71,2012-06-20T16:29:59.477000+00:00,2012-06-20T16:30:00.071000+00:00
MACRO-NFP-201206,NFP,2012-07-06T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,601,66,2012-07-06T12:29:59.399000+00:00,2012-07-06T12:30:00.066000+00:00
MACRO-CPI-201206,CPI,2012-07-17T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,236,216,2012-07-17T12:29:59.764000+00:00,2012-07-17T12:30:00.216000+00:00
MACRO-FOMC-20120801,FOMC,2012-08-01T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,475,2543,2012-08-01T16:29:59.525000+00:00,2012-08-01T16:30:02.543000+00:00
MACRO-NFP-201207,NFP,2012-08-03T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,157,289,2012-08-03T12:29:59.843000+00:00,2012-08-03T12:30:00.289000+00:00
MACRO-CPI-201207,CPI,2012-08-15T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,811,122,2012-08-15T12:29:59.189000+00:00,2012-08-15T12:30:00.122000+00:00
MACRO-NFP-201208,NFP,2012-09-07T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,419,123,2012-09-07T12:29:59.581000+00:00,2012-09-07T12:30:00.123000+00:00
MACRO-FOMC-20120913,FOMC,2012-09-13T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,511,932,2012-09-13T16:29:59.489000+00:00,2012-09-13T16:30:00.932000+00:00
MACRO-CPI-201208,CPI,2012-09-14T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,68,285,2012-09-14T12:29:59.932000+00:00,2012-09-14T12:30:00.285000+00:00
MACRO-NFP-201209,NFP,2012-10-05T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,205,35,2012-10-05T12:29:59.795000+00:00,2012-10-05T12:30:00.035000+00:00
MACRO-CPI-201209,CPI,2012-10-16T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,50,311,2012-10-16T12:29:59.950000+00:00,2012-10-16T12:30:00.311000+00:00
MACRO-FOMC-20121024,FOMC,2012-10-24T16:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,NO_TICK_WITHIN_5S,3995,7366,2012-10-24T16:29:56.005000+00:00,2012-10-24T16:30:07.366000+00:00
MACRO-NFP-201210,NFP,2012-11-02T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,18,302,2012-11-02T12:29:59.982000+00:00,2012-11-02T12:30:00.302000+00:00
MACRO-CPI-201210,CPI,2012-11-15T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,355,308,2012-11-15T13:29:59.645000+00:00,2012-11-15T13:30:00.308000+00:00
MACRO-NFP-201211,NFP,2012-12-07T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,111,199,2012-12-07T13:29:59.889000+00:00,2012-12-07T13:30:00.199000+00:00
MACRO-FOMC-20121212,FOMC,2012-12-12T17:30:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,42,28,2012-12-12T17:29:59.958000+00:00,2012-12-12T17:30:00.028000+00:00
MACRO-CPI-201211,CPI,2012-12-14T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,272,152,2012-12-14T13:29:59.728000+00:00,2012-12-14T13:30:00.152000+00:00
MACRO-NFP-201212,NFP,2013-01-04T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,406,381,2013-01-04T13:29:59.594000+00:00,2013-01-04T13:30:00.381000+00:00
MACRO-CPI-201212,CPI,2013-01-16T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,173,618,2013-01-16T13:29:59.827000+00:00,2013-01-16T13:30:00.618000+00:00
MACRO-FOMC-20130130,FOMC,2013-01-30T19:00:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,203,336,2013-01-30T18:59:59.797000+00:00,2013-01-30T19:00:00.336000+00:00
MACRO-NFP-201301,NFP,2013-02-01T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,34,26,2013-02-01T13:29:59.966000+00:00,2013-02-01T13:30:00.026000+00:00
MACRO-CPI-201301,CPI,2013-02-21T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,41,470,2013-02-21T13:29:59.959000+00:00,2013-02-21T13:30:00.470000+00:00
MACRO-NFP-201302,NFP,2013-03-08T13:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,254,677,2013-03-08T13:29:59.746000+00:00,2013-03-08T13:30:00.677000+00:00
MACRO-CPI-201302,CPI,2013-03-15T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,766,445,2013-03-15T12:29:59.234000+00:00,2013-03-15T12:30:00.445000+00:00
MACRO-FOMC-20130320,FOMC,2013-03-20T18:00:00Z,OFFICIAL_SAME_RELEASE_PACKAGE_PAGE,ALIGNED,44,28,2013-03-20T17:59:59.956000+00:00,2013-03-20T18:00:00.028000+00:00
MACRO-NFP-201303,NFP,2013-04-05T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,469,270,2013-04-05T12:29:59.531000+00:00,2013-04-05T12:30:00.270000+00:00
MACRO-CPI-201303,CPI,2013-04-16T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,19,41,2013-04-16T12:29:59.981000+00:00,2013-04-16T12:30:00.041000+00:00
MACRO-FOMC-20130501,FOMC,2013-05-01T18:00:00Z,DATE_ONLY_OFFICIAL_TIME_UNAVAILABLE,ALIGNED,1020,840,2013-05-01T17:59:58.979000+00:00,2013-05-01T18:00:00.840000+00:00
MACRO-NFP-201304,NFP,2013-05-03T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,231,209,2013-05-03T12:29:59.769000+00:00,2013-05-03T12:30:00.209000+00:00
MACRO-CPI-201304,CPI,2013-05-16T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,33,28,2013-05-16T12:29:59.967000+00:00,2013-05-16T12:30:00.028000+00:00
MACRO-NFP-201305,NFP,2013-06-07T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,70,50,2013-06-07T12:29:59.930000+00:00,2013-06-07T12:30:00.050000+00:00
MACRO-CPI-201305,CPI,2013-06-18T12:30:00Z,EXACT_SCHEDULE_PAGE,ALIGNED,138,785,2013-06-18T12:29:59.862000+00:00,2013-06-18T12:30:00.785000+00:00
