month,n_ticks,first_tick_utc,last_tick_utc,days_covered
2010-01,597068,2010-01-01T00:00:03.964000+00:00,2010-01-31T23:59:57.477000+00:00,26
2010-02,568499,2010-02-01T00:00:14.432000+00:00,2010-02-28T23:59:57.768000+00:00,24
2010-03,654814,2010-03-01T00:00:02.839000+00:00,2010-03-31T23:59:43.879000+00:00,27
2010-04,623088,2010-04-01T00:00:02.822000+00:00,2010-04-30T20:59:54.746000+00:00,26
2010-05,598358,2010-05-02T21:00:03.496000+00:00,2010-05-31T23:59:57.483000+00:00,26
2010-06,625711,2010-06-01T00:00:14.175000+00:00,2010-06-30T23:59:46.300000+00:00,26
2010-07,622678,2010-07-01T00:00:02.297000+00:00,2010-07-30T20:59:58.086000+00:00,26
2010-08,627417,2010-08-01T21:00:04.488000+00:00,2010-08-31T23:59:58.997000+00:00,27
2010-09,625188,2010-09-01T00:00:00.489000+00:00,2010-09-30T23:59:58.331000+00:00,26
2010-10,609506,2010-10-01T00:00:06.406000+00:00,2010-10-31T23:59:57.450000+00:00,26
2010-11,718872,2010-11-01T00:00:00.798000+00:00,2010-11-30T23:59:55.225000+00:00,26
2010-12,1387568,2010-12-01T00:00:01.589000+00:00,2010-12-31T21:59:52.426000+00:00,27
2011-01,1456663,2011-01-02T22:00:26.739000+00:00,2011-01-31T23:59:59.394000+00:00,26
2011-02,1499974,2011-02-01T00:00:00.407000+00:00,2011-02-28T23:59:59.561000+00:00,24
2011-03,1858170,2011-03-01T00:00:00.659000+00:00,2011-03-31T23:59:58.918000+00:00,27
2011-04,1626617,2011-04-01T00:00:00.963000+00:00,2011-04-29T20:59:59.231000+00:00,25
2011-05,2292193,2011-05-01T21:00:00.403000+00:00,2011-05-31T23:59:52.943000+00:00,27
2011-06,2230114,2011-06-01T00:00:00.548000+00:00,2011-06-30T23:59:58.582000+00:00,26
2011-07,2189748,2011-07-01T00:00:01.012000+00:00,2011-07-31T23:59:57.880000+00:00,26
2011-08,2700830,2011-08-01T00:00:00.537000+00:00,2011-08-31T23:59:58.095000+00:00,27
2011-09,2591082,2011-09-01T00:00:03.494000+00:00,2011-09-30T20:59:50.926000+00:00,26
2011-10,2590813,2011-10-02T21:00:20.152000+00:00,2011-10-31T23:59:58.855000+00:00,26
2011-11,2618117,2011-11-01T00:00:00.814000+00:00,2011-11-30T23:59:58.627000+00:00,26
2011-12,2139481,2011-12-01T00:00:00.955000+00:00,2011-12-30T21:59:59.891000+00:00,26
