experiment_id,family_id,mechanism,feature_causality_pass,parameters,N,mean_pips,PF,expectancy_R,stress_pips,remove_best_pips,status,reason
M3_E001,F01,H4 z(SMA50) fade |z|>=2.0 flatfilt=False,SCREEN_ONLY,f01a h=24 pooled_gross_pips=8.20 posYR=6/8,261,8.1971,,,,,SCREEN_PASS,"best horizon 24 of (6, 12, 18, 24)"
M3_E002,F01,H4 z(SMA50) fade |z|>=2.0 flatfilt=True,SCREEN_ONLY,f01b h=6 pooled_gross_pips=9.35 posYR=6/8,130,9.3512,,,,,SCREEN,"best horizon 6 of (6, 12, 18, 24)"
M3_E003,F01,H4 z(SMA50) fade |z|>=2.5 flatfilt=False,SCREEN_ONLY,f01c h=24 pooled_gross_pips=14.08 posYR=6/8,152,14.076,,,,,SCREEN,"best horizon 24 of (6, 12, 18, 24)"
M3_E004,F02,H4 close breaks Donchian30,SCREEN_ONLY,f02a h=6 pooled_gross_pips=-0.21 posYR=3/8,831,-0.2097,,,,,SCREEN,"best horizon 6 of (6, 12, 18, 24)"
M3_E005,F02,H4 close breaks Donchian60,SCREEN_ONLY,f02b h=18 pooled_gross_pips=2.00 posYR=5/8,359,2.0013,,,,,SCREEN,"best horizon 18 of (6, 12, 18, 24)"
M3_E006,F03,London break of 00-07h Asia range trendfilt=False minrng=0,SCREEN_ONLY,f03a h=64 pooled_gross_pips=0.25 posYR=5/8,1799,0.2466,,,,,SCREEN,"best horizon 64 of (8, 16, 32, 64)"
M3_E007,F03,London break of 00-07h Asia range trendfilt=True minrng=0,SCREEN_ONLY,f03b h=64 pooled_gross_pips=0.44 posYR=4/8,1004,0.4354,,,,,SCREEN,"best horizon 64 of (8, 16, 32, 64)"
M3_E008,F03,London break of 00-07h Asia range trendfilt=False minrng=15,SCREEN_ONLY,f03c h=64 pooled_gross_pips=-0.34 posYR=5/8,1687,-0.34,,,,,SCREEN,"best horizon 64 of (8, 16, 32, 64)"
M3_E009,F04,Prev-day H/L break (M15 trigger 07-17h),SCREEN_ONLY,f04a h=8 pooled_gross_pips=-0.02 posYR=5/8,1679,-0.0185,,,,,SCREEN,"best horizon 8 of (8, 16, 32, 64)"
M3_E010,F04,Prev-day H/L fade (M15 trigger 07-17h),SCREEN_ONLY,f04b h=16 pooled_gross_pips=3.08 posYR=7/8,1153,3.0783,,,,,SCREEN_PASS,"best horizon 16 of (8, 16, 32, 64)"
M3_E011,F05,Failed break of H4 Donchian30 within 3 M15 bars,SCREEN_ONLY,f05a h=64 pooled_gross_pips=2.02 posYR=6/8,1136,2.0247,,,,,SCREEN,"best horizon 64 of (8, 16, 32, 64)"
M3_E012,F05,Failed break of H4 Donchian30 within 6 M15 bars,SCREEN_ONLY,f05b h=64 pooled_gross_pips=1.91 posYR=6/8,1142,1.912,,,,,SCREEN,"best horizon 64 of (8, 16, 32, 64)"
M3_E013,F06,H4 EMA20>50 trend + H1 EMA20 pullback + M15 EMA20 cross trigger,SCREEN_ONLY,f06a h=64 pooled_gross_pips=-0.84 posYR=4/8,1364,-0.8435,,,,,SCREEN,"best horizon 64 of (8, 16, 32, 64)"
M3_E014,F07,M15 ATR14/96<=0.75 squeeze + break in H4 SMA50 direction,SCREEN_ONLY,f07a h=32 pooled_gross_pips=-0.35 posYR=4/8,1132,-0.3516,,,,,SCREEN,"best horizon 32 of (8, 16, 32, 64)"
M3_E015,F08,London 07:00 continuation of Asia move (|move|>=10p),SCREEN_ONLY,f08a h=64 pooled_gross_pips=3.90 posYR=7/8,1257,3.9016,,,,,SCREEN_PASS,"best horizon 64 of (8, 16, 32, 64)"
M3_E016,F08,London 07:00 reversal of Asia move (|move|>=10p),SCREEN_ONLY,f08b h=8 pooled_gross_pips=0.32 posYR=4/8,1257,0.3167,,,,,SCREEN,"best horizon 8 of (8, 16, 32, 64)"
M3_E017,F09,H4 6-bar momentum accelerating + M15 body>1.5ATR thrust,SCREEN_ONLY,f09a h=8 pooled_gross_pips=-0.64 posYR=4/8,2452,-0.6353,,,,,SCREEN,"best horizon 8 of (8, 16, 32, 64)"
M3_E018,F10,"Prev-week H/L break (M15 trigger, Mon-Thu)",SCREEN_ONLY,f10a h=8 pooled_gross_pips=2.38 posYR=7/8,345,2.383,,,,,SCREEN,"best horizon 8 of (8, 16, 32, 64)"
M3_E019,F10,"Prev-week H/L fade (M15 trigger, Mon-Thu)",SCREEN_ONLY,f10b h=32 pooled_gross_pips=3.38 posYR=6/8,290,3.3795,,,,,SCREEN_PASS,"best horizon 32 of (8, 16, 32, 64)"
M3_E020,F01,H4 z-band fade SMA50 tick replay,PASS,z2.0 L50 SL=2sig TP=midband T=5760 stress=False,403,2.736,1.069,-0.0064,9.0143,-1.233,DEEPEN,"{""yearlyR"": {""2010"": 0.42, ""2011"": -0.26, ""2012"": 3.59, ""2013"": -4.45, ""2014"": 3.53, ""2015"": -1.04, ""2016"": -3.63, ""2017"": -0.73}, ""veto"": 5.05}"
M3_E021,F01,H4 z-band fade SMA50 tick replay,PASS,z2.0 L50 ADX<20 SL=2sig TP=midband T=1440 stress=False,142,1.979,1.086,0.0044,0.9326,-0.399,DEEPEN,"{""yearlyR"": {""2010"": -2.34, ""2011"": -0.82, ""2012"": 1.03, ""2013"": 0.02, ""2014"": -1.33, ""2015"": 3.82, ""2016"": -0.93, ""2017"": 1.18}, ""veto"": 3.09}"
M3_E022,F01,H4 z-band fade SMA50 tick replay,PASS,z2.0 L50 SL=4sig TP=none T=5760 (drift capture) stress=False,314,2.97,1.067,-0.0011,2.4917,-2.001,DEEPEN,"{""yearlyR"": {""2010"": 1.4, ""2011"": -1.4, ""2012"": -1.43, ""2013"": -3.49, ""2014"": 4.73, ""2015"": -0.39, ""2016"": 2.34, ""2017"": -2.09}, ""veto"": 4.19}"
M3_E023,F04,Prev-day H/L fade (M15 trigger 07-17h) tick replay,PASS,SL20/TP30/T240,1183,0.388,1.04,0.0194,-1.2693,0.084,DEEPEN,"yearlyR={2010: -2.33, 2011: 21.67, 2012: -5.59, 2013: -11.17, 2014: 10.52, 2015: 1.28, 2016: 9.63, 2017: -1.1} ddR=31.01"
M3_E024,F10,"Prev-week H/L fade (M15 trigger, Mon-Thu) tick replay",PASS,SL25/TP40/T480,290,1.095,1.093,0.0438,0.62,0.688,DEEPEN,"yearlyR={2010: 4.54, 2011: -8.02, 2012: -9.02, 2013: -0.28, 2014: 3.83, 2015: 2.12, 2016: 3.79, 2017: 15.76} ddR=22.23"
M3_E025,F11,"Sunday gap fade (|gap|>=10p, Sun 22-24h)",SCREEN_ONLY,f11a_fade h=8 pooled_gross_pips=0.65 posYR=5/8,224,0.6504,,,,,SCREEN,"best horizon 8 of (8, 16, 32)"
M3_E026,F11,"Sunday gap fade (|gap|>=20p, Sun 22-24h)",SCREEN_ONLY,f11b_fade h=16 pooled_gross_pips=5.57 posYR=6/8,115,5.5722,,,,,SCREEN_PASS,"best horizon 16 of (8, 16, 32)"
M3_E027,F11,"Sunday gap cont (|gap|>=10p, Sun 22-24h)",SCREEN_ONLY,f11c_cont h=16 pooled_gross_pips=-0.41 posYR=4/8,224,-0.4085,,,,,SCREEN,"best horizon 16 of (8, 16, 32)"
M3_E028,F12,10-day range break + retest (near=0.25 ATR15),SCREEN_ONLY,f12a_retest h=64 pooled_gross_pips=0.32 posYR=3/8,497,0.3224,,,,,SCREEN,"best horizon 64 of (8, 16, 32, 64)"
M3_E029,F12,20-day range break + retest (near=0.25 ATR15),SCREEN_ONLY,f12b_retest h=8 pooled_gross_pips=-0.79 posYR=4/8,393,-0.7941,,,,,SCREEN,"best horizon 8 of (8, 16, 32, 64)"
M3_E030,F12,10-day range break + break (near=0.25 ATR15),SCREEN_ONLY,f12c_break h=32 pooled_gross_pips=2.29 posYR=6/8,702,2.2858,,,,,SCREEN,"best horizon 32 of (8, 16, 32, 64)"
M3_E031,F01,"H4 z-band fade SMA50 tick replay (stress-common correction, E020 used year-colliding common_sample)",PASS,z2.0 L50 SL=2sig TP=midband T=5760 stress-common recomputed,403,2.7361,1.0686,,1.7319,,EVIDENCE_CORRECTION,E020 stress value invalid (multi-year j collision); corrected value reported here
