TRADE_ID,DATE,ACTUAL_FUTURES_CONTRACT,SIDE,DECISION_TIMESTAMP,ORDER_ACTIVATION_TIMESTAMP,MODELED_ENTRY,INITIAL_STOP,TRAIL_TYPE,MODELED_FINAL_EXIT_TIMESTAMP,MODELED_FINAL_EXIT,MODELED_GROSS_POINTS,MODELED_NET_POINTS,MODELED_EXIT_REASON,WINDOW_START_UTC,WINDOW_END_UTC,ROLL_CROSS
H02-0000,2020-01-29,NQH0,SHORT,2020-01-29 15:05:00+00:00,2020-01-29 15:05:00+00:00,9079.25,9158.75,CHANDELIER_1.0_ATR,2020-01-29 20:55:00+00:00,9109.75,-30.5,-32.0,EOD,2020-01-29 14:55:00+00:00,2020-01-29 21:05:00+00:00,False
H02-0001,2020-01-31,NQH0,SHORT,2020-01-31 15:05:00+00:00,2020-01-31 15:05:00+00:00,9102.75,9184.0,CHANDELIER_1.0_ATR,2020-01-31 20:55:00+00:00,8995.25,107.5,106.0,EOD,2020-01-31 14:55:00+00:00,2020-01-31 21:05:00+00:00,False
H02-0002,2020-02-03,NQH0,LONG,2020-02-03 15:05:00+00:00,2020-02-03 15:05:00+00:00,9144.0,9035.75,CHANDELIER_1.0_ATR,2020-02-03 20:55:00+00:00,9131.5,-12.5,-14.0,EOD,2020-02-03 14:55:00+00:00,2020-02-03 21:05:00+00:00,False
H02-0003,2020-02-05,NQH0,SHORT,2020-02-05 15:05:00+00:00,2020-02-05 15:05:00+00:00,9391.25,9457.75,CHANDELIER_1.0_ATR,2020-02-05 20:55:00+00:00,9375.75,15.5,14.0,EOD,2020-02-05 14:55:00+00:00,2020-02-05 21:05:00+00:00,False
H02-0004,2020-02-10,NQH0,LONG,2020-02-10 15:05:00+00:00,2020-02-10 15:05:00+00:00,9444.75,9378.75,CHANDELIER_1.0_ATR,2020-02-10 20:55:00+00:00,9525.0,80.25,78.75,EOD,2020-02-10 14:55:00+00:00,2020-02-10 21:05:00+00:00,False
H02-0005,2020-02-21,NQH0,SHORT,2020-02-21 15:05:00+00:00,2020-02-21 15:05:00+00:00,9505.5,9604.75,CHANDELIER_1.0_ATR,2020-02-21 20:55:00+00:00,9452.0,53.5,52.0,EOD,2020-02-21 14:55:00+00:00,2020-02-21 21:05:00+00:00,False
H02-0006,2020-03-03,NQH0,SHORT,2020-03-03 15:05:00+00:00,2020-03-03 15:05:00+00:00,8977.0,9002.5,CHANDELIER_1.0_ATR,2020-03-03 20:55:00+00:00,8595.5,381.5,380.0,EOD,2020-03-03 14:55:00+00:00,2020-03-03 21:05:00+00:00,False
H02-0007,2020-03-13,NQH0,SHORT,2020-03-13 14:05:00+00:00,2020-03-13 14:05:00+00:00,7553.25,7736.0,CHANDELIER_1.0_ATR,2020-03-13 19:50:00+00:00,7736.0,-182.75,-184.25,STOP,2020-03-13 13:55:00+00:00,2020-03-13 20:00:00+00:00,False
H02-0008,2020-03-17,NQH0,SHORT,2020-03-17 14:05:00+00:00,2020-03-17 14:05:00+00:00,7003.0,7252.5,CHANDELIER_1.0_ATR,2020-03-17 15:05:00+00:00,7252.5,-249.5,-251.0,STOP,2020-03-17 13:55:00+00:00,2020-03-17 15:15:00+00:00,False
H02-0009,2020-03-18,NQM0,LONG,2020-03-18 14:05:00+00:00,2020-03-18 14:05:00+00:00,7292.5,6961.5,CHANDELIER_1.0_ATR,2020-03-18 17:15:00+00:00,6961.5,-331.0,-332.5,STOP,2020-03-18 13:55:00+00:00,2020-03-18 17:25:00+00:00,False
H02-0010,2020-05-27,NQM0,SHORT,2020-05-27 14:05:00+00:00,2020-05-27 14:05:00+00:00,9274.75,9385.25,CHANDELIER_1.0_ATR,2020-05-27 18:00:00+00:00,9366.0,-91.25,-92.75,TRAIL,2020-05-27 13:55:00+00:00,2020-05-27 18:10:00+00:00,False
H02-0011,2020-06-05,NQM0,LONG,2020-06-05 14:05:00+00:00,2020-06-05 14:05:00+00:00,9762.25,9653.25,CHANDELIER_1.0_ATR,2020-06-05 19:55:00+00:00,9816.0,53.75,52.25,EOD,2020-06-05 13:55:00+00:00,2020-06-05 20:05:00+00:00,False
H02-0012,2020-06-15,NQM0,LONG,2020-06-15 14:05:00+00:00,2020-06-15 14:05:00+00:00,9602.75,9483.5,CHANDELIER_1.0_ATR,2020-06-15 19:55:00+00:00,9777.25,174.5,173.0,EOD,2020-06-15 13:55:00+00:00,2020-06-15 20:05:00+00:00,False
H02-0013,2020-07-10,NQU0,SHORT,2020-07-10 14:05:00+00:00,2020-07-10 14:05:00+00:00,10637.5,10749.5,CHANDELIER_1.0_ATR,2020-07-10 17:05:00+00:00,10749.5,-112.0,-113.5,STOP,2020-07-10 13:55:00+00:00,2020-07-10 17:15:00+00:00,False
H02-0014,2020-08-12,NQU0,LONG,2020-08-12 14:05:00+00:00,2020-08-12 14:05:00+00:00,11058.5,10957.5,CHANDELIER_1.0_ATR,2020-08-12 19:55:00+00:00,11146.0,87.5,86.0,EOD,2020-08-12 13:55:00+00:00,2020-08-12 20:05:00+00:00,False
H02-0015,2020-08-20,NQU0,LONG,2020-08-20 14:05:00+00:00,2020-08-20 14:05:00+00:00,11360.75,11267.0,CHANDELIER_1.0_ATR,2020-08-20 19:55:00+00:00,11474.0,113.25,111.75,EOD,2020-08-20 13:55:00+00:00,2020-08-20 20:05:00+00:00,False
