DATE,CONTRACT,START,END
2020-01-29,NQH0,2020-01-29 14:55:00+00:00,2020-01-29 21:05:00+00:00
2020-01-31,NQH0,2020-01-31 14:55:00+00:00,2020-01-31 21:05:00+00:00
2020-02-03,NQH0,2020-02-03 14:55:00+00:00,2020-02-03 21:05:00+00:00
2020-02-05,NQH0,2020-02-05 14:55:00+00:00,2020-02-05 21:05:00+00:00
2020-02-10,NQH0,2020-02-10 14:55:00+00:00,2020-02-10 21:05:00+00:00
2020-02-21,NQH0,2020-02-21 14:55:00+00:00,2020-02-21 21:05:00+00:00
2020-03-03,NQH0,2020-03-03 14:55:00+00:00,2020-03-03 21:05:00+00:00
2020-03-13,NQH0,2020-03-13 13:55:00+00:00,2020-03-13 20:00:00+00:00
2020-03-17,NQH0,2020-03-17 13:55:00+00:00,2020-03-17 15:15:00+00:00
2020-03-18,NQM0,2020-03-18 13:55:00+00:00,2020-03-18 17:25:00+00:00
2020-05-27,NQM0,2020-05-27 13:55:00+00:00,2020-05-27 18:10:00+00:00
2020-06-05,NQM0,2020-06-05 13:55:00+00:00,2020-06-05 20:05:00+00:00
2020-06-15,NQM0,2020-06-15 13:55:00+00:00,2020-06-15 20:05:00+00:00
2020-07-10,NQU0,2020-07-10 13:55:00+00:00,2020-07-10 17:15:00+00:00
2020-08-12,NQU0,2020-08-12 13:55:00+00:00,2020-08-12 20:05:00+00:00
2020-08-20,NQU0,2020-08-20 13:55:00+00:00,2020-08-20 20:05:00+00:00
2020-09-02,NQU0,2020-09-02 13:55:00+00:00,2020-09-02 17:20:00+00:00
2020-09-08,NQU0,2020-09-08 13:55:00+00:00,2020-09-08 18:50:00+00:00
2020-09-24,NQZ0,2020-09-24 13:55:00+00:00,2020-09-24 20:05:00+00:00
2020-10-15,NQZ0,2020-10-15 13:55:00+00:00,2020-10-15 14:50:00+00:00
2020-10-26,NQZ0,2020-10-26 13:55:00+00:00,2020-10-26 14:55:00+00:00
2020-10-28,NQZ0,2020-10-28 13:55:00+00:00,2020-10-28 20:05:00+00:00
2020-11-06,NQZ0,2020-11-06 14:55:00+00:00,2020-11-06 16:45:00+00:00
2020-12-10,NQZ0,2020-12-10 14:55:00+00:00,2020-12-10 21:05:00+00:00
2020-12-14,NQZ0,2020-12-14 14:55:00+00:00,2020-12-14 21:05:00+00:00
2020-12-18,NQH1,2020-12-18 14:55:00+00:00,2020-12-18 21:05:00+00:00
2021-01-04,NQH1,2021-01-04 14:55:00+00:00,2021-01-04 18:55:00+00:00
2021-01-05,NQH1,2021-01-05 14:55:00+00:00,2021-01-05 21:05:00+00:00
2021-01-07,NQH1,2021-01-07 14:55:00+00:00,2021-01-07 21:05:00+00:00
2021-03-03,NQH1,2021-03-03 14:55:00+00:00,2021-03-03 21:05:00+00:00
2021-03-05,NQH1,2021-03-05 14:55:00+00:00,2021-03-05 18:25:00+00:00
2021-03-29,NQM1,2021-03-29 13:55:00+00:00,2021-03-29 17:10:00+00:00
2021-04-27,NQM1,2021-04-27 13:55:00+00:00,2021-04-27 20:05:00+00:00
2021-04-29,NQM1,2021-04-29 13:55:00+00:00,2021-04-29 20:05:00+00:00
2021-05-04,NQM1,2021-05-04 13:55:00+00:00,2021-05-04 20:05:00+00:00
2021-05-10,NQM1,2021-05-10 13:55:00+00:00,2021-05-10 20:05:00+00:00
2021-05-11,NQM1,2021-05-11 13:55:00+00:00,2021-05-11 20:05:00+00:00
2021-05-20,NQM1,2021-05-20 13:55:00+00:00,2021-05-20 20:05:00+00:00
2021-06-04,NQM1,2021-06-04 13:55:00+00:00,2021-06-04 20:05:00+00:00
2021-06-10,NQM1,2021-06-10 13:55:00+00:00,2021-06-10 20:05:00+00:00
2021-06-17,NQU1,2021-06-17 13:55:00+00:00,2021-06-17 20:05:00+00:00
2021-07-13,NQU1,2021-07-13 13:55:00+00:00,2021-07-13 18:10:00+00:00
2021-07-29,NQU1,2021-07-29 13:55:00+00:00,2021-07-29 20:05:00+00:00
2021-07-30,NQU1,2021-07-30 13:55:00+00:00,2021-07-30 20:05:00+00:00
2021-08-03,NQU1,2021-08-03 13:55:00+00:00,2021-08-03 16:05:00+00:00
2021-08-20,NQU1,2021-08-20 13:55:00+00:00,2021-08-20 20:05:00+00:00
2021-08-23,NQU1,2021-08-23 13:55:00+00:00,2021-08-23 20:05:00+00:00
2021-08-30,NQU1,2021-08-30 13:55:00+00:00,2021-08-30 20:05:00+00:00
2021-08-31,NQU1,2021-08-31 13:55:00+00:00,2021-08-31 20:05:00+00:00
2021-09-03,NQU1,2021-09-03 13:55:00+00:00,2021-09-03 20:05:00+00:00
