TRADE_ID,DATE,ACTUAL_FUTURES_CONTRACT,SIDE,DECISION_TIMESTAMP,ORDER_ACTIVATION_TIMESTAMP,MODELED_ENTRY,INITIAL_STOP,TRAIL_TYPE,MODELED_FINAL_EXIT_TIMESTAMP,MODELED_FINAL_EXIT,MODELED_GROSS_POINTS,MODELED_NET_POINTS,MODELED_EXIT_REASON,WINDOW_START_UTC,WINDOW_END_UTC,ROLL_CROSS
O01-0000,2020-02-04,NQH0,LONG,2020-02-04 14:40:00+00:00,2020-02-04 14:40:00+00:00,9228.75,9227.0,CHANDELIER_1.0_ATR,2020-02-04 20:55:00+00:00,9340.75,112.0,110.5,EOD,2020-02-04 14:30:00+00:00,2020-02-04 21:05:00+00:00,False
O01-0001,2020-02-05,NQH0,LONG,2020-02-05 14:40:00+00:00,2020-02-05 14:40:00+00:00,9398.0,9397.5,CHANDELIER_1.0_ATR,2020-02-05 14:45:00+00:00,9379.25,-18.75,-20.25,STOP,2020-02-05 14:30:00+00:00,2020-02-05 14:55:00+00:00,False
O01-0002,2020-02-13,NQH0,SHORT,2020-02-13 14:40:00+00:00,2020-02-13 14:40:00+00:00,9567.5,9578.75,CHANDELIER_1.0_ATR,2020-02-13 14:45:00+00:00,9578.75,-11.25,-12.75,STOP,2020-02-13 14:30:00+00:00,2020-02-13 14:55:00+00:00,False
O01-0003,2020-02-24,NQH0,SHORT,2020-02-24 14:40:00+00:00,2020-02-24 14:40:00+00:00,9164.25,9174.0,CHANDELIER_1.0_ATR,2020-02-24 14:45:00+00:00,9177.5,-13.25,-14.75,STOP,2020-02-24 14:30:00+00:00,2020-02-24 14:55:00+00:00,False
O01-0004,2020-03-04,NQH0,LONG,2020-03-04 14:40:00+00:00,2020-03-04 14:40:00+00:00,8700.5,8687.0,CHANDELIER_1.0_ATR,2020-03-04 14:50:00+00:00,8687.0,-13.5,-15.0,STOP,2020-03-04 14:30:00+00:00,2020-03-04 15:00:00+00:00,False
O01-0005,2020-03-05,NQH0,SHORT,2020-03-05 14:40:00+00:00,2020-03-05 14:40:00+00:00,8769.25,8781.75,CHANDELIER_1.0_ATR,2020-03-05 15:15:00+00:00,8781.75,-12.5,-14.0,STOP,2020-03-05 14:30:00+00:00,2020-03-05 15:25:00+00:00,False
O01-0006,2020-03-09,NQH0,SHORT,2020-03-09 13:40:00+00:00,2020-03-09 13:45:00+00:00,7828.75,7973.5,CHANDELIER_1.0_ATR,2020-03-09 13:50:00+00:00,7973.5,-144.75,-146.25,STOP,2020-03-09 13:30:00+00:00,2020-03-09 14:00:00+00:00,False
O01-0007,2020-03-10,NQH0,LONG,2020-03-10 13:40:00+00:00,2020-03-10 13:40:00+00:00,8169.75,8156.25,CHANDELIER_1.0_ATR,2020-03-10 13:45:00+00:00,8156.25,-13.5,-15.0,STOP,2020-03-10 13:30:00+00:00,2020-03-10 13:55:00+00:00,False
O01-0008,2020-03-12,NQH0,SHORT,2020-03-12 13:40:00+00:00,2020-03-12 13:50:00+00:00,7429.5,7520.0,CHANDELIER_1.0_ATR,2020-03-12 13:55:00+00:00,7520.0,-90.5,-92.0,STOP,2020-03-12 13:30:00+00:00,2020-03-12 14:05:00+00:00,False
O01-0009,2020-03-13,NQH0,LONG,2020-03-13 13:40:00+00:00,2020-03-13 13:40:00+00:00,7570.5,7569.0,CHANDELIER_1.0_ATR,2020-03-13 13:45:00+00:00,7566.0,-4.5,-6.0,STOP,2020-03-13 13:30:00+00:00,2020-03-13 13:55:00+00:00,False
O01-0010,2020-03-18,NQM0,SHORT,2020-03-18 13:40:00+00:00,2020-03-18 13:40:00+00:00,7107.0,7183.75,CHANDELIER_1.0_ATR,2020-03-18 13:50:00+00:00,7183.75,-76.75,-78.25,STOP,2020-03-18 13:30:00+00:00,2020-03-18 14:00:00+00:00,False
O01-0011,2020-03-24,NQM0,LONG,2020-03-24 13:40:00+00:00,2020-03-24 13:40:00+00:00,7371.25,7333.75,CHANDELIER_1.0_ATR,2020-03-24 13:45:00+00:00,7333.75,-37.5,-39.0,STOP,2020-03-24 13:30:00+00:00,2020-03-24 13:55:00+00:00,False
O01-0012,2020-04-06,NQM0,LONG,2020-04-06 13:40:00+00:00,2020-04-06 13:40:00+00:00,7764.75,7750.0,CHANDELIER_1.0_ATR,2020-04-06 19:55:00+00:00,8053.5,288.75,287.25,EOD,2020-04-06 13:30:00+00:00,2020-04-06 20:05:00+00:00,False
O01-0013,2020-06-11,NQM0,SHORT,2020-06-11 13:40:00+00:00,2020-06-11 13:40:00+00:00,9890.0,9954.5,CHANDELIER_1.0_ATR,2020-06-11 14:10:00+00:00,9954.5,-64.5,-66.0,STOP,2020-06-11 13:30:00+00:00,2020-06-11 14:20:00+00:00,False
O01-0014,2020-06-12,NQM0,LONG,2020-06-12 13:40:00+00:00,2020-06-12 13:40:00+00:00,9807.0,9776.0,CHANDELIER_1.0_ATR,2020-06-12 14:10:00+00:00,9776.0,-31.0,-32.5,STOP,2020-06-12 13:30:00+00:00,2020-06-12 14:20:00+00:00,False
O01-0015,2020-06-15,NQM0,SHORT,2020-06-15 13:40:00+00:00,2020-06-15 13:40:00+00:00,9554.25,9570.5,CHANDELIER_1.0_ATR,2020-06-15 13:55:00+00:00,9570.5,-16.25,-17.75,STOP,2020-06-15 13:30:00+00:00,2020-06-15 14:05:00+00:00,False
O01-0016,2020-07-06,NQU0,LONG,2020-07-06 13:40:00+00:00,2020-07-06 13:40:00+00:00,10479.75,10470.0,CHANDELIER_1.0_ATR,2020-07-06 19:55:00+00:00,10591.5,111.75,110.25,EOD,2020-07-06 13:30:00+00:00,2020-07-06 20:05:00+00:00,False
O01-0017,2020-07-16,NQU0,SHORT,2020-07-16 13:40:00+00:00,2020-07-16 13:40:00+00:00,10592.25,10599.0,CHANDELIER_1.0_ATR,2020-07-16 17:10:00+00:00,10599.0,-6.75,-8.25,STOP,2020-07-16 13:30:00+00:00,2020-07-16 17:20:00+00:00,False
O01-0018,2020-07-24,NQU0,SHORT,2020-07-24 13:40:00+00:00,2020-07-24 13:40:00+00:00,10336.25,10432.25,CHANDELIER_1.0_ATR,2020-07-24 14:05:00+00:00,10432.25,-96.0,-97.5,STOP,2020-07-24 13:30:00+00:00,2020-07-24 14:15:00+00:00,False
O01-0019,2020-07-30,NQU0,SHORT,2020-07-30 13:40:00+00:00,2020-07-30 13:40:00+00:00,10598.5,10617.5,CHANDELIER_1.0_ATR,2020-07-30 13:45:00+00:00,10617.5,-19.0,-20.5,STOP,2020-07-30 13:30:00+00:00,2020-07-30 13:55:00+00:00,False
O01-0020,2020-08-24,NQU0,LONG,2020-08-24 13:40:00+00:00,2020-08-24 13:40:00+00:00,11714.25,11681.75,CHANDELIER_1.0_ATR,2020-08-24 13:50:00+00:00,11681.75,-32.5,-34.0,STOP,2020-08-24 13:30:00+00:00,2020-08-24 14:00:00+00:00,False
O01-0021,2020-09-02,NQU0,LONG,2020-09-02 13:40:00+00:00,2020-09-02 13:40:00+00:00,12372.25,12368.25,CHANDELIER_1.0_ATR,2020-09-02 13:45:00+00:00,12368.25,-4.0,-5.5,STOP,2020-09-02 13:30:00+00:00,2020-09-02 13:55:00+00:00,False
