TRADE_ID,DATE,SIDE,REFERENCE_ENTRY,PAPER_ENTRY,ENTRY_DELTA,REFERENCE_EXIT,PAPER_EXIT,EXIT_DELTA,REFERENCE_REASON,PAPER_REASON,PNL_REFERENCE,PNL_PAPER,PNL_DELTA,DELTA_CLASS
O01-0000,2020-02-04,LONG,9228.75,9229.25,0.5,9340.75,9340.75,0.0,EOD,EOD,110.0,110.5,0.5,EOD
O01-0001,2020-02-05,LONG,9398.0,9398.0,0.0,9379.25,9397.25,18.0,STOP,STOP,-20.0,-1.75,18.25,STOP
O01-0002,2020-02-13,SHORT,9567.5,9567.25,-0.25,9578.75,9578.75,0.0,STOP,STOP,-12.5,-12.5,0.0,STOP
O01-0003,2020-02-24,SHORT,9164.25,9164.0,-0.25,9177.5,9174.5,-3.0,STOP,STOP,-14.5,-11.5,3.0,STOP
O01-0004,2020-03-04,LONG,8700.5,8701.75,1.25,8687.0,8686.75,-0.25,STOP,STOP,-16.0,-16.0,0.0,STOP
O01-0005,2020-03-05,SHORT,8769.25,8769.0,-0.25,8781.75,8781.75,0.0,STOP,STOP,-13.75,-13.75,0.0,STOP
O01-0006,2020-03-09,SHORT,,,,,,,,,-132.5,,,MISSING_QUOTE
O01-0007,2020-03-10,LONG,8169.75,8170.25,0.5,8156.25,8154.75,-1.5,STOP,STOP,-15.75,-16.5,-0.75,STOP
O01-0008,2020-03-12,SHORT,,,,,,,,,-75.0,,,MISSING_QUOTE
O01-0009,2020-03-13,LONG,7570.5,7570.5,0.0,7566.0,7568.5,2.5,STOP,STOP,-7.0,-3.0,4.0,STOP
O01-0010,2020-03-18,SHORT,7107.0,7106.5,-0.5,7183.75,7188.0,4.25,STOP,STOP,-82.5,-82.5,0.0,STOP
O01-0011,2020-03-24,LONG,7371.25,7372.0,0.75,7333.75,7333.75,0.0,STOP,STOP,-40.75,-39.25,1.5,STOP
O01-0012,2020-04-06,LONG,7764.75,7765.25,0.5,8053.5,8053.25,-0.25,EOD,EOD,286.25,287.0,0.75,EOD
O01-0013,2020-06-11,SHORT,9890.0,9890.25,0.25,9954.5,9955.0,0.5,STOP,STOP,-65.75,-65.75,0.0,STOP
O01-0014,2020-06-12,LONG,9807.0,9807.0,0.0,9776.0,9775.25,-0.75,STOP,STOP,-32.75,-32.75,0.0,STOP
O01-0015,2020-06-15,SHORT,9554.25,9553.5,-0.75,9570.5,9572.5,2.0,STOP,STOP,-20.0,-20.0,0.0,STOP
O01-0016,2020-07-06,LONG,10479.75,10480.0,0.25,10591.5,10591.75,0.25,EOD,EOD,110.25,110.75,0.5,EOD
O01-0017,2020-07-16,SHORT,10592.25,10592.0,-0.25,10599.0,10599.0,0.0,STOP,STOP,-8.0,-8.0,0.0,STOP
O01-0018,2020-07-24,SHORT,10336.25,10336.0,-0.25,10432.25,10433.75,1.5,STOP,STOP,-98.75,-98.75,0.0,STOP
O01-0019,2020-07-30,SHORT,10598.5,10597.75,-0.75,10617.5,10620.0,2.5,STOP,STOP,-23.25,-23.25,0.0,STOP
O01-0020,2020-08-24,LONG,11714.25,11714.0,-0.25,11681.75,11680.0,-1.75,STOP,STOP,-35.0,-35.0,0.0,STOP
O01-0021,2020-09-02,LONG,12372.25,12372.25,0.0,12368.25,12368.25,0.0,STOP,STOP,-5.0,-5.0,0.0,STOP
O01-0022,2020-09-07,SHORT,11476.25,11474.75,-1.5,11482.75,11482.75,0.0,STOP,STOP,-12.0,-9.0,3.0,STOP
O01-0023,2020-09-09,LONG,11221.5,11222.0,0.5,11207.5,11207.5,0.0,STOP,STOP,-18.5,-15.5,3.0,STOP
O01-0024,2020-09-21,SHORT,10733.75,10733.0,-0.75,10812.0,10813.75,1.75,STOP,STOP,-81.75,-81.75,0.0,STOP
O01-0025,2020-10-02,SHORT,11414.25,11414.0,-0.25,11420.5,11422.75,2.25,STOP,STOP,-9.75,-9.75,0.0,STOP
O01-0026,2020-10-15,SHORT,11820.0,11819.5,-0.5,11852.75,11842.0,-10.75,STOP,STOP,-34.75,-23.5,11.25,STOP
O01-0027,2020-10-26,SHORT,11644.5,11644.5,0.0,11649.0,11649.0,0.0,STOP,STOP,-5.75,-5.5,0.25,STOP
O01-0028,2020-11-05,LONG,12044.25,12044.75,0.5,12066.5,12066.5,0.0,EOD,EOD,20.0,20.75,0.75,EOD
O01-0029,2020-12-15,LONG,12559.0,12559.0,0.0,12534.0,12534.0,0.0,STOP,STOP,-26.0,-26.0,0.0,STOP
O01-0030,2020-12-28,LONG,12808.25,12808.25,0.0,12788.75,12787.0,-1.75,STOP,STOP,-22.25,-22.25,0.0,STOP
O01-0031,2021-01-06,SHORT,12616.25,12615.75,-0.5,12626.0,12628.75,2.75,STOP,STOP,-14.0,-14.0,0.0,STOP
O01-0032,2021-01-25,LONG,13544.5,13544.75,0.25,13496.0,13496.0,0.0,STOP,STOP,-49.75,-49.75,0.0,STOP
O01-0033,2021-02-01,LONG,13081.25,13081.75,0.5,13047.25,13045.25,-2.0,STOP,STOP,-37.5,-37.5,0.0,STOP
O01-0034,2021-02-02,LONG,13390.0,13390.0,0.0,13448.5,13448.75,0.25,EOD,EOD,56.75,57.75,1.0,EOD
O01-0035,2021-02-22,SHORT,13404.0,13404.0,0.0,13424.75,13425.0,0.25,STOP,STOP,-22.0,-22.0,0.0,STOP
O01-0036,2021-03-01,LONG,13051.75,13052.25,0.5,13274.25,13274.5,0.25,EOD,EOD,220.75,221.25,0.5,EOD
O01-0037,2021-03-09,LONG,12633.5,12633.5,0.0,12787.0,12588.75,-198.25,EOD,STOP,152.25,-45.75,-198.0,STOP
O01-0038,2021-03-11,LONG,12982.75,12983.25,0.5,12939.5,12941.5,2.0,STOP,STOP,-44.75,-42.75,2.0,STOP
O01-0039,2021-03-12,SHORT,12805.5,12805.25,-0.25,12873.75,12876.0,2.25,STOP,STOP,-71.75,-71.75,0.0,STOP
O01-0040,2021-03-18,SHORT,12998.25,12997.75,-0.5,12782.0,12781.75,-0.25,EOD,EOD,214.5,215.0,0.5,EOD
O01-0041,2021-04-01,LONG,13289.75,13289.75,0.0,13314.25,13314.5,0.25,EOD,EOD,23.5,23.75,0.25,EOD
O01-0042,2021-04-29,LONG,14017.0,14017.25,0.25,14011.0,14009.0,-2.0,STOP,STOP,-9.25,-9.25,0.0,STOP
O01-0043,2021-05-14,LONG,13238.75,13239.25,0.5,13214.0,13213.0,-1.0,STOP,STOP,-27.5,-27.25,0.25,STOP
O01-0044,2021-05-19,SHORT,13006.75,13006.25,-0.5,13059.25,13052.0,-7.25,STOP,STOP,-54.25,-46.75,7.5,STOP
O01-0045,2021-07-07,LONG,14834.5,14835.25,0.75,14817.5,14814.5,-3.0,STOP,STOP,-21.75,-21.75,0.0,STOP
O01-0046,2021-09-10,LONG,15661.5,15662.0,0.5,15637.25,15637.0,-0.25,STOP,STOP,-26.0,-26.0,0.0,STOP
O01-0047,2021-09-13,LONG,15486.0,15486.25,0.25,15457.5,15483.75,26.25,STOP,STOP,-30.25,-3.5,26.75,STOP
O01-0048,2021-09-24,SHORT,15222.75,15222.25,-0.5,15242.75,15244.25,1.5,STOP,STOP,-23.0,-23.0,0.0,STOP
O01-0049,2021-09-28,SHORT,14969.75,14969.0,-0.75,14764.25,14763.5,-0.75,EOD,EOD,203.75,204.5,0.75,EOD
O01-0050,2021-10-06,SHORT,14609.5,14609.75,0.25,14630.5,14616.5,-14.0,STOP,STOP,-22.25,-7.75,14.5,STOP
O01-0051,2021-10-07,LONG,14916.75,14917.25,0.5,14886.5,14886.75,0.25,EOD,EOD,-32.0,-31.5,0.5,EOD
O01-0052,2021-10-14,LONG,14912.5,14912.25,-0.25,15037.0,15037.0,0.0,EOD,EOD,123.25,123.75,0.5,EOD
O01-0053,2021-11-18,LONG,16382.5,16383.0,0.5,16353.25,16352.0,-1.25,STOP,STOP,-32.0,-32.0,0.0,STOP
O01-0054,2021-11-26,SHORT,16261.75,16261.25,-0.5,16043.5,,,EOD,,216.75,,,EOD
O01-0055,2021-11-29,LONG,,,,,,,,,-52.25,,,MISSING_QUOTE
O01-0056,2021-12-01,LONG,16287.25,16288.5,1.25,16270.5,16268.0,-2.5,STOP,STOP,-21.5,-21.5,0.0,STOP
O01-0057,2021-12-07,LONG,16141.5,16142.0,0.5,16321.5,16321.25,-0.25,EOD,EOD,177.5,178.25,0.75,EOD
O01-0058,2021-12-20,SHORT,15630.25,15630.0,-0.25,15635.0,15636.25,1.25,STOP,STOP,-6.5,-7.25,-0.75,STOP
O01-0059,2022-01-18,SHORT,15294.0,15294.0,0.0,15372.75,15372.75,0.0,STOP,STOP,-83.75,-79.75,4.0,STOP
O01-0060,2022-01-26,LONG,14398.5,14398.5,0.0,14369.0,14382.0,13.0,STOP,STOP,-31.25,-17.5,13.75,STOP
O01-0061,2022-02-15,LONG,14496.25,14497.25,1.0,14446.5,14446.0,-0.5,STOP,STOP,-52.25,-52.25,0.0,STOP
