TRADE_ID,DATE,SIDE,R0,L1_BASE_NET,L1_BASE_GROSS,ENTRY_SPREAD,EXIT_SPREAD,BBO_ENTRY,BBO_EXIT,FLAG,AMBIGUITY,ENTRY_DELTA,EXIT_DELTA,L1_CONSERVATIVE_NET,L1_CONSERVATIVE_GROSS,L1_STRESS_NET,L1_STRESS_GROSS
O01-0000,2020-02-04,LONG,1.75,110.0,111.0,0.25,0.5,9229.25,9340.25,OK,,0.5,0.5,109.5,110.5,107.5,110.0
O01-0001,2020-02-05,LONG,0.5,-20.0,-19.0,0.25,0.5,9398.0,9379.0,OK,,0.0,0.25,-20.5,-19.5,-22.5,-20.0
O01-0002,2020-02-13,SHORT,11.25,-12.5,-11.5,0.25,0.25,9567.25,9578.75,OK,,0.25,0.0,-13.0,-12.0,-15.0,-12.5
O01-0003,2020-02-24,SHORT,9.75,-14.5,-13.5,0.5,0.5,9164.0,9177.5,OK,,0.25,0.0,-15.0,-14.0,-17.0,-14.5
O01-0004,2020-03-04,LONG,13.5,-16.0,-15.0,0.5,0.75,8701.75,8686.75,OK,,1.25,0.25,-16.5,-15.5,-18.5,-16.0
O01-0005,2020-03-05,SHORT,12.5,-13.75,-12.75,0.5,0.5,8769.0,8781.75,OK,,0.25,0.0,-14.25,-13.25,-16.25,-13.75
O01-0006,2020-03-09,SHORT,144.75,-132.5,-131.5,-51.5,9.25,7852.5,7984.0,AMBIGUOUS:NO_QUOTE_60S_ENTRY,NO_QUOTE_60S_ENTRY,23.75,10.5,-133.0,-132.0,-135.0,-132.5
O01-0007,2020-03-10,LONG,13.5,-15.75,-14.75,0.5,0.5,8170.25,8155.5,OK,,0.5,0.75,-16.25,-15.25,-18.25,-15.75
O01-0008,2020-03-12,SHORT,90.5,-75.0,-74.0,-45.0,1.75,7450.0,7524.0,OK,,20.5,4.0,-75.5,-74.5,-77.5,-75.0
O01-0009,2020-03-13,LONG,1.5,-7.0,-6.0,1.25,1.5,7570.5,7564.5,OK,,0.0,1.5,-7.5,-6.5,-9.5,-7.0
O01-0010,2020-03-18,SHORT,76.75,-82.5,-81.5,2.25,1.0,7106.5,7188.0,OK,,0.5,4.25,-83.0,-82.0,-85.0,-82.5
O01-0011,2020-03-24,LONG,37.5,-40.75,-39.75,0.75,1.0,7372.0,7332.25,OK,,0.75,1.5,-41.25,-40.25,-43.25,-40.75
O01-0012,2020-04-06,LONG,14.75,286.25,287.25,1.0,0.75,7765.25,8052.5,OK,,0.5,1.0,285.75,286.75,283.75,286.25
O01-0013,2020-06-11,SHORT,64.5,-65.75,-64.75,0.5,0.25,9890.25,9955.0,OK,,0.25,0.5,-66.25,-65.25,-68.25,-65.75
O01-0014,2020-06-12,LONG,31.0,-32.75,-31.75,0.75,0.75,9807.0,9775.25,OK,,0.0,0.75,-33.25,-32.25,-35.25,-32.75
O01-0015,2020-06-15,SHORT,16.25,-20.0,-19.0,1.0,1.5,9553.5,9572.5,OK,,0.75,2.0,-20.5,-19.5,-22.5,-20.0
O01-0016,2020-07-06,LONG,9.75,110.25,111.25,0.5,0.5,10480.0,10591.25,OK,,0.25,0.25,109.75,110.75,107.75,110.25
O01-0017,2020-07-16,SHORT,6.75,-8.0,-7.0,0.5,0.5,10592.0,10599.0,OK,,0.25,0.0,-8.5,-7.5,-10.5,-8.0
O01-0018,2020-07-24,SHORT,96.0,-98.75,-97.75,0.5,0.5,10336.0,10433.75,OK,,0.25,1.5,-99.25,-98.25,-101.25,-98.75
O01-0019,2020-07-30,SHORT,19.0,-23.25,-22.25,0.75,0.5,10597.75,10620.0,OK,,0.75,2.5,-23.75,-22.75,-25.75,-23.25
O01-0020,2020-08-24,LONG,32.5,-35.0,-34.0,0.5,0.75,11714.0,11680.0,OK,,0.25,1.75,-35.5,-34.5,-37.5,-35.0
O01-0021,2020-09-02,LONG,4.0,-5.0,-4.0,0.5,0.5,12372.25,12368.25,OK,,0.0,0.0,-5.5,-4.5,-7.5,-5.0
O01-0022,2020-09-07,SHORT,6.5,-12.0,-11.0,1.5,0.75,11474.75,11485.75,OK,,1.5,3.0,-12.5,-11.5,-14.5,-12.0
