exp,family,mechanism,entry,exit,N,TPW,NET,NET_USD,PF,WR,EXP_R,RM_BEST1,MAXDD_USD,BY_FOLD,BY_YEAR,STRESS_NET,STRESS_PF,GATE
A01,A_OPENING_DRIVE,opening auction repricing + flow persistence,first-15m impulse >=0.5 ATR at 09:40 close,hard stop @ first-15m extreme + chandelier 1.0 ATR + EOD,29,0.09,3.103,15.52,1.047,0.517,0.119,-17.589,-5460.0,"{""DISCOVERY"": -27.519, ""REPLICATION"": 67.719, ""VALIDATION"": -11.75}","{""2020"": -33.071, ""2021"": -21.042, ""2022"": -124.917, ""2023"": 56.15, ""2024"": -116.0, ""2025"": 93.964}",1.603,1.024,FAIL:N=29<40;PF=1.047;rm_best<=0;pos_years=2
A02,A_OPENING_DRIVE,"same, strong impulse cell",first-15m impulse >=1.0 ATR,same as A01,1,0.0,-115.5,-577.5,0.0,0.0,-0.61,,-577.5,"{""DISCOVERY"": -115.5}","{""2021"": -115.5}",-117.0,0.0,FAIL:N=1<40;net<=0;PF=0.0;rm_best<=0;pos_years=0
B01,B_ORB,initial-balance break expansion,first 5m close beyond OR15 (<=11:30),hard stop @ breakout bar extreme + EMA8 + EOD,1507,4.87,-1.553,-7.76,0.92,0.338,-0.002,-4.403,-14530.0,"{""DISCOVERY"": -2.436, ""REPLICATION"": -0.031, ""VALIDATION"": -2.215}","{""2020"": -3.445, ""2021"": -1.494, ""2022"": -3.695, ""2023"": -0.73, ""2024"": 1.082, ""2025"": -1.158}",-3.053,0.85,FAIL:net<=0;PF=0.92;rm_best<=0;pos_years=1
B02,B_ORB,"same, 30m initial balance",first 5m close beyond OR30 (<=11:30),same as B01 with OR30,1376,4.44,-3.514,-17.57,0.819,0.324,-0.056,-6.324,-27421.2,"{""DISCOVERY"": -4.55, ""REPLICATION"": -3.012, ""VALIDATION"": -3.039}","{""2020"": -4.486, ""2021"": -4.614, ""2022"": -5.871, ""2023"": -0.183, ""2024"": -0.398, ""2025"": -5.728}",-5.014,0.755,FAIL:net<=0;PF=0.819;rm_best<=0;pos_years=0
B03,B_ORB,failed breakout unwind (trapped traders),close back inside OR15 after a break,hard stop beyond post-break extreme + target opposite OR side + time 12,1104,3.57,-0.496,-2.48,0.977,0.438,-0.036,-2.244,-15232.5,"{""DISCOVERY"": 1.055, ""REPLICATION"": -3.596, ""VALIDATION"": 0.978}","{""2020"": 1.839, ""2021"": 0.258, ""2022"": 2.064, ""2023"": -0.09, ""2024"": -3.709, ""2025"": -3.482}",-1.996,0.91,FAIL:net<=0;PF=0.977;rm_best<=0;pos_years=3
C01,C_OVERNIGHT_LEVELS,overnight positioning confirmed at RTH,first 5m close beyond ONH/ONL,hard stop @ bar extreme + EMA8 + EOD,1227,3.96,-1.978,-9.89,0.91,0.33,-0.036,-4.602,-13177.5,"{""DISCOVERY"": -4.921, ""REPLICATION"": -1.724, ""VALIDATION"": 0.359}","{""2020"": -11.308, ""2021"": 0.392, ""2022"": 0.977, ""2023"": -0.263, ""2024"": 4.867, ""2025"": -8.412}",-3.478,0.849,FAIL:net<=0;PF=0.91;rm_best<=0;pos_years=3
C02,C_OVERNIGHT_LEVELS,sweep of ON extreme trapped traders,"wick beyond ONH/ONL, close back inside (<=12:00)",hard stop @ sweep extreme + target VWAP + time 12,1120,3.62,-2.513,-12.56,0.818,0.425,-0.182,-3.766,-18015.3,"{""DISCOVERY"": -0.003, ""REPLICATION"": -6.254, ""VALIDATION"": -1.386}","{""2020"": 1.229, ""2021"": -1.202, ""2022"": -1.165, ""2023"": -1.609, ""2024"": -5.838, ""2025"": -6.662}",-4.013,0.726,FAIL:net<=0;PF=0.818;rm_best<=0;pos_years=1
D01,C_PRIOR_DAY,prior-day level break continues,first 5m close beyond PDH/PDL,hard stop @ bar extreme + EMA8 + EOD,1146,3.7,-1.495,-7.47,0.929,0.35,-0.017,-3.876,-9562.5,"{""DISCOVERY"": -2.566, ""REPLICATION"": -1.645, ""VALIDATION"": -0.277}","{""2020"": -7.84, ""2021"": 2.332, ""2022"": -1.5, ""2023"": 0.999, ""2024"": 1.278, ""2025"": -4.478}",-2.995,0.864,FAIL:net<=0;PF=0.929;rm_best<=0;pos_years=3
D02,C_PRIOR_DAY,prior-day level reject fades,break then close back inside prior range,hard stop beyond post-break extreme + target VWAP + time 12,780,2.52,-0.885,-4.42,0.927,0.478,-0.032,-1.893,-5402.1,"{""DISCOVERY"": 0.038, ""REPLICATION"": -2.198, ""VALIDATION"": -0.496}","{""2020"": -0.89, ""2021"": 0.897, ""2022"": 0.025, ""2023"": -1.073, ""2024"": -1.686, ""2025"": -2.73}",-2.385,0.815,FAIL:net<=0;PF=0.927;rm_best<=0;pos_years=2
E01,E_GAP,overnight repricing persists,"|gap|>=0.25 ATR at 09:35, with the gap",hard stop @ first-10m extreme + chandelier 1.0 + EOD,781,2.52,4.252,21.26,1.157,0.224,-0.079,0.353,-10733.8,"{""DISCOVERY"": 5.729, ""REPLICATION"": 3.972, ""VALIDATION"": 2.929}","{""2020"": 4.209, ""2021"": 7.306, ""2022"": 13.048, ""2023"": -7.19, ""2024"": 16.576, ""2025"": -8.438}",2.752,1.098,FAIL:year_concentration>60%
