TRADE_ID,DATE,ACTUAL_FUTURES_CONTRACT,SIDE,PREMARKET_HIGH,PREMARKET_LOW,BREAKOUT_TIMESTAMP,RETEST_TIMESTAMP,ORDER_ACTIVATION_TIMESTAMP,MODELED_ENTRY,INITIAL_STOP,TRIM_LEVEL,TRIM_TRIGGERED,EMA8_MANAGEMENT_STATE,MODELED_FINAL_EXIT_TIMESTAMP,MODELED_FINAL_EXIT,MODELED_GROSS_POINTS,MODELED_NET_POINTS,MODELED_EXIT_REASON,WINDOW_START_UTC,WINDOW_END_UTC,ROLL_CROSS
P000-0000,2020-01-03,NQH0,LONG,8807.5,8735.25,2020-01-03 14:30:00+00:00,2020-01-03 15:00:00+00:00,2020-01-03 15:05:00+00:00,8825.25,8807.5,8840.75,True,ARMED,2020-01-03 18:00:00+00:00,8851.0,20.625,19.125,EMA8,2020-01-03 14:20:00+00:00,2020-01-03 18:10:00+00:00,False
P000-0001,2020-01-14,NQH0,SHORT,9096.75,9061.0,2020-01-14 14:45:00+00:00,2020-01-14 14:50:00+00:00,2020-01-14 14:55:00+00:00,9045.5,9061.0,9040.75,True,ARMED,2020-01-14 15:00:00+00:00,9055.75,2.375,0.875,BE_STOP,2020-01-14 14:35:00+00:00,2020-01-14 15:10:00+00:00,False
P000-0002,2020-01-16,NQH0,LONG,9104.25,9087.0,2020-01-16 14:30:00+00:00,2020-01-16 14:35:00+00:00,2020-01-16 14:40:00+00:00,9108.5,9104.25,9109.75,True,ARMED,2020-01-16 14:45:00+00:00,9105.75,0.625,-0.875,BE_STOP,2020-01-16 14:20:00+00:00,2020-01-16 14:55:00+00:00,False
P000-0003,2020-01-21,NQH0,LONG,9155.0,9120.5,2020-01-21 14:30:00+00:00,2020-01-21 18:40:00+00:00,2020-01-21 18:45:00+00:00,9165.5,9155.0,9199.75,False,NOT_ARMED,2020-01-21 20:55:00+00:00,9179.75,14.25,12.75,EOD,2020-01-21 14:20:00+00:00,2020-01-21 21:05:00+00:00,False
P000-0004,2020-01-29,NQH0,SHORT,9157.0,9121.5,2020-01-29 14:45:00+00:00,2020-01-29 14:50:00+00:00,2020-01-29 14:55:00+00:00,9117.75,9121.5,9116.25,True,ARMED,2020-01-29 15:30:00+00:00,9098.25,10.5,9.0,EMA8,2020-01-29 14:35:00+00:00,2020-01-29 15:40:00+00:00,False
P000-0005,2020-01-30,NQH0,LONG,9075.25,9018.25,2020-01-30 14:30:00+00:00,2020-01-30 15:20:00+00:00,2020-01-30 15:25:00+00:00,9083.0,9075.25,9114.75,False,NOT_ARMED,2020-01-30 15:30:00+00:00,9071.0,-12.0,-13.5,LEVEL_STOP,2020-01-30 14:20:00+00:00,2020-01-30 15:40:00+00:00,False
P000-0006,2020-02-18,NQH0,LONG,9593.75,9535.0,2020-02-18 14:30:00+00:00,2020-02-18 14:35:00+00:00,2020-02-18 14:40:00+00:00,9613.0,9593.75,9613.0,True,ARMED,2020-02-18 14:45:00+00:00,9610.25,-5.125,-6.625,BE_STOP,2020-02-18 14:20:00+00:00,2020-02-18 14:55:00+00:00,False
P000-0007,2020-02-20,NQH0,SHORT,9729.75,9691.0,2020-02-20 16:00:00+00:00,2020-02-20 16:05:00+00:00,2020-02-20 16:10:00+00:00,9686.0,9691.0,9686.0,True,ARMED,2020-02-20 17:50:00+00:00,9564.75,60.625,59.125,EMA8,2020-02-20 15:50:00+00:00,2020-02-20 18:00:00+00:00,False
P000-0008,2020-02-24,NQH0,SHORT,9229.25,9096.75,2020-02-24 17:00:00+00:00,2020-02-24 17:25:00+00:00,2020-02-24 17:30:00+00:00,9078.75,9096.75,9041.25,False,NOT_ARMED,2020-02-24 17:35:00+00:00,9113.25,-34.5,-36.0,LEVEL_STOP,2020-02-24 16:50:00+00:00,2020-02-24 17:45:00+00:00,False
P000-0009,2020-02-25,NQH0,SHORT,9181.25,9070.25,2020-02-25 15:20:00+00:00,2020-02-25 15:25:00+00:00,2020-02-25 15:30:00+00:00,9038.75,9070.25,9038.75,True,ARMED,2020-02-25 15:35:00+00:00,9047.75,-2.875,-4.375,BE_STOP,2020-02-25 15:10:00+00:00,2020-02-25 15:45:00+00:00,False
P000-0010,2020-02-26,NQH0,LONG,8930.0,8709.5,2020-02-26 14:35:00+00:00,2020-02-26 15:05:00+00:00,2020-02-26 15:10:00+00:00,8952.25,8930.0,9015.5,True,ARMED,2020-02-26 16:00:00+00:00,8999.0,55.0,53.5,EMA8,2020-02-26 14:25:00+00:00,2020-02-26 16:10:00+00:00,False
P000-0011,2020-03-04,NQH0,SHORT,8809.0,8721.0,2020-03-04 14:35:00+00:00,2020-03-04 14:40:00+00:00,2020-03-04 14:45:00+00:00,8699.5,8721.0,8682.25,True,ARMED,2020-03-04 15:00:00+00:00,8700.25,8.625,7.125,BE_STOP,2020-03-04 14:25:00+00:00,2020-03-04 15:10:00+00:00,False
P000-0012,2020-03-10,NQH0,SHORT,8346.0,8152.25,2020-03-10 14:45:00+00:00,2020-03-10 17:20:00+00:00,2020-03-10 17:25:00+00:00,8128.5,8152.25,7931.25,False,NOT_ARMED,2020-03-10 18:40:00+00:00,8175.5,-47.0,-48.5,LEVEL_STOP,2020-03-10 14:35:00+00:00,2020-03-10 18:50:00+00:00,False
P000-0013,2020-03-26,NQM0,LONG,7542.5,7310.25,2020-03-26 13:30:00+00:00,2020-03-26 13:50:00+00:00,2020-03-26 13:55:00+00:00,7605.5,7542.5,7638.25,True,ARMED,2020-03-26 14:45:00+00:00,7640.25,33.75,32.25,EMA8,2020-03-26 13:20:00+00:00,2020-03-26 14:55:00+00:00,False
P000-0014,2020-03-31,NQM0,LONG,7957.0,7764.25,2020-03-31 14:15:00+00:00,2020-03-31 14:20:00+00:00,2020-03-31 14:25:00+00:00,7973.75,7957.0,7973.75,True,ARMED,2020-03-31 14:35:00+00:00,7982.75,-3.5,-5.0,BE_STOP,2020-03-31 14:05:00+00:00,2020-03-31 14:45:00+00:00,False
P000-0015,2020-04-01,NQM0,LONG,7621.0,7524.25,2020-04-01 14:30:00+00:00,2020-04-01 14:55:00+00:00,2020-04-01 15:00:00+00:00,7645.0,7621.0,7701.5,False,NOT_ARMED,2020-04-01 15:35:00+00:00,7609.75,-35.25,-36.75,LEVEL_STOP,2020-04-01 14:20:00+00:00,2020-04-01 15:45:00+00:00,False
P000-0016,2020-04-07,NQM0,SHORT,8303.25,8191.25,2020-04-07 14:05:00+00:00,2020-04-07 14:10:00+00:00,2020-04-07 14:15:00+00:00,8139.75,8191.25,7956.5,False,NOT_ARMED,2020-04-07 15:35:00+00:00,8191.5,-51.75,-53.25,LEVEL_STOP,2020-04-07 13:55:00+00:00,2020-04-07 15:45:00+00:00,False
P000-0017,2020-04-08,NQM0,LONG,8139.0,7981.0,2020-04-08 15:10:00+00:00,2020-04-08 15:15:00+00:00,2020-04-08 15:20:00+00:00,8150.75,8139.0,8154.25,True,ARMED,2020-04-08 15:50:00+00:00,8163.5,8.125,6.625,EMA8,2020-04-08 15:00:00+00:00,2020-04-08 16:00:00+00:00,False
P000-0018,2020-04-14,NQM0,LONG,8502.75,8415.25,2020-04-14 13:30:00+00:00,2020-04-14 13:35:00+00:00,2020-04-14 13:40:00+00:00,8519.0,8502.75,8519.0,True,ARMED,2020-04-14 14:50:00+00:00,8583.25,32.125,30.625,EMA8,2020-04-14 13:20:00+00:00,2020-04-14 15:00:00+00:00,False
P000-0019,2020-04-20,NQM0,LONG,8782.25,8696.25,2020-04-20 14:25:00+00:00,2020-04-20 14:40:00+00:00,2020-04-20 14:45:00+00:00,8808.5,8782.25,8829.75,True,ARMED,2020-04-20 15:15:00+00:00,8809.25,11.0,9.5,EMA8,2020-04-20 14:15:00+00:00,2020-04-20 15:25:00+00:00,False
P000-0020,2020-04-29,NQM0,LONG,8907.0,8773.25,2020-04-29 14:15:00+00:00,2020-04-29 14:20:00+00:00,2020-04-29 14:25:00+00:00,8923.75,8907.0,8923.75,True,ARMED,2020-04-29 14:35:00+00:00,8923.0,0.0,-1.5,BE_STOP,2020-04-29 14:05:00+00:00,2020-04-29 14:45:00+00:00,False
P000-0021,2020-05-08,NQM0,SHORT,9219.5,9156.5,2020-05-08 13:30:00+00:00,2020-05-08 13:50:00+00:00,2020-05-08 13:55:00+00:00,9134.5,9156.5,9116.0,False,NOT_ARMED,2020-05-08 14:00:00+00:00,9158.5,-24.0,-25.5,LEVEL_STOP,2020-05-08 13:20:00+00:00,2020-05-08 14:10:00+00:00,False
P000-0022,2020-05-18,NQM0,LONG,9295.0,9195.0,2020-05-18 14:30:00+00:00,2020-05-18 14:35:00+00:00,2020-05-18 14:40:00+00:00,9313.0,9295.0,9313.0,True,ARMED,2020-05-18 15:35:00+00:00,9318.0,2.5,1.0,EMA8,2020-05-18 14:20:00+00:00,2020-05-18 15:45:00+00:00,False
P000-0023,2020-05-27,NQM0,SHORT,9508.0,9358.5,2020-05-27 13:30:00+00:00,2020-05-27 13:35:00+00:00,2020-05-27 13:40:00+00:00,9329.0,9358.5,9329.0,True,ARMED,2020-05-27 13:45:00+00:00,9295.25,-6.125,-7.625,BE_STOP,2020-05-27 13:20:00+00:00,2020-05-27 13:55:00+00:00,False
