TRADE_ID,DATE,ACTUAL_FUTURES_CONTRACT,SIDE,PREMARKET_HIGH,PREMARKET_LOW,BREAKOUT_TIMESTAMP,RETEST_TIMESTAMP,ORDER_ACTIVATION_TIMESTAMP,MODELED_ENTRY,INITIAL_STOP,TRIM_LEVEL,TRIM_TRIGGERED,EMA8_MANAGEMENT_STATE,MODELED_FINAL_EXIT_TIMESTAMP,MODELED_FINAL_EXIT,MODELED_GROSS_POINTS,MODELED_NET_POINTS,MODELED_EXIT_REASON,WINDOW_START_UTC,WINDOW_END_UTC,ROLL_CROSS,AMBIGUITY,AMB
P000-0058,2020-12-14,NQZ0,LONG,12452.5,12404.75,2020-12-14 14:35:00+00:00,2020-12-14 20:50:00+00:00,2020-12-14 20:55:00+00:00,12485.0,12452.5,12545.0,False,NOT_ARMED,2020-12-14 20:55:00+00:00,12453.0,-32.0,-33.5,EOD,2020-12-14 14:25:00+00:00,2020-12-14 21:05:00+00:00,False,ENTRY_NEVER_MARKETABLE,ENTRY_NEVER_MARKETABLE
P000-0067,2021-02-03,NQH1,SHORT,13555.5,13513.25,2021-02-03 14:30:00+00:00,2021-02-03 14:35:00+00:00,2021-02-03 14:40:00+00:00,13463.0,13513.25,13463.0,True,ARMED,2021-02-03 14:45:00+00:00,13490.25,-11.5,-13.0,BE_STOP,2021-02-03 14:20:00+00:00,2021-02-03 14:55:00+00:00,False,ENTRY_NEVER_MARKETABLE;TRIM_QUEUE_UNCERTAIN,ENTRY_NEVER_MARKETABLE;TRIM_QUEUE_UNCERTAIN
P000-0100,2021-08-31,NQU1,SHORT,15665.0,15563.0,2021-08-31 13:30:00+00:00,2021-08-31 13:40:00+00:00,2021-08-31 13:45:00+00:00,15539.0,15563.0,15531.25,True,ARMED,2021-08-31 14:05:00+00:00,15542.0,3.875,2.375,BE_STOP,2021-08-31 13:20:00+00:00,2021-08-31 14:15:00+00:00,False,TRIM_QUEUE_UNCERTAIN,TRIM_QUEUE_UNCERTAIN
P000-0107,2021-10-01,NQZ1,SHORT,14743.25,14579.5,2021-10-01 14:15:00+00:00,2021-10-01 14:20:00+00:00,2021-10-01 14:25:00+00:00,14542.25,14579.5,14542.25,True,ARMED,2021-10-01 14:40:00+00:00,14546.5,0.0,-1.5,BE_STOP,2021-10-01 14:05:00+00:00,2021-10-01 14:50:00+00:00,False,TRIM_QUEUE_UNCERTAIN,TRIM_QUEUE_UNCERTAIN
P000-0135,2022-03-23,NQM2,SHORT,14660.0,14520.0,2022-03-23 13:30:00+00:00,2022-03-23 13:35:00+00:00,2022-03-23 13:40:00+00:00,14472.0,14520.0,14472.0,True,ARMED,2022-03-23 13:45:00+00:00,14469.75,-19.0,-20.5,BE_STOP,2022-03-23 13:20:00+00:00,2022-03-23 13:55:00+00:00,False,TRIM_QUEUE_UNCERTAIN,TRIM_QUEUE_UNCERTAIN
P000-0141,2022-05-18,NQM2,SHORT,12524.0,12357.75,2022-05-18 13:35:00+00:00,2022-05-18 13:40:00+00:00,2022-05-18 13:45:00+00:00,12307.5,12357.75,12307.5,True,ARMED,2022-05-18 13:55:00+00:00,12299.5,-13.5,-15.0,BE_STOP,2022-05-18 13:25:00+00:00,2022-05-18 14:05:00+00:00,False,TRIM_QUEUE_UNCERTAIN,TRIM_QUEUE_UNCERTAIN
P000-0155,2022-07-08,NQU2,LONG,12124.75,11952.5,2022-07-08 14:30:00+00:00,2022-07-08 14:35:00+00:00,2022-07-08 14:40:00+00:00,12157.25,12124.75,12157.25,True,ARMED,2022-07-08 14:45:00+00:00,12136.5,-2.0,-3.5,BE_STOP,2022-07-08 14:20:00+00:00,2022-07-08 14:55:00+00:00,False,TRIM_QUEUE_UNCERTAIN,TRIM_QUEUE_UNCERTAIN
P000-0177,2022-10-04,NQZ2,LONG,11553.75,11466.75,2022-10-04 13:30:00+00:00,2022-10-04 13:35:00+00:00,2022-10-04 13:40:00+00:00,11574.0,11553.75,11574.0,True,ARMED,2022-10-04 13:45:00+00:00,11589.75,-6.875,-8.375,BE_STOP,2022-10-04 13:20:00+00:00,2022-10-04 13:55:00+00:00,False,TRIM_QUEUE_UNCERTAIN,TRIM_QUEUE_UNCERTAIN
P000-0222,2023-06-15,NQU3,LONG,15192.5,15066.0,2023-06-15 13:50:00+00:00,2023-06-15 13:55:00+00:00,2023-06-15 14:00:00+00:00,15216.25,15192.5,15222.75,True,ARMED,2023-06-15 14:35:00+00:00,15220.75,5.5,4.0,EMA8,2023-06-15 13:40:00+00:00,2023-06-15 14:45:00+00:00,False,TRIM_QUEUE_UNCERTAIN,TRIM_QUEUE_UNCERTAIN
P000-0267,2024-01-05,NQH4,LONG,16451.25,16334.25,2024-01-05 14:30:00+00:00,2024-01-05 14:40:00+00:00,2024-01-05 14:45:00+00:00,16475.25,16451.25,16494.25,True,ARMED,2024-01-05 14:55:00+00:00,16471.5,9.5,8.0,BE_STOP,2024-01-05 14:20:00+00:00,2024-01-05 15:05:00+00:00,False,TRIM_QUEUE_UNCERTAIN,TRIM_QUEUE_UNCERTAIN
P000-0326,2024-09-20,NQZ4,SHORT,20075.0,19981.0,2024-09-20 14:45:00+00:00,2024-09-20 14:50:00+00:00,2024-09-20 14:55:00+00:00,19933.75,19981.0,19933.75,True,ARMED,2024-09-20 15:00:00+00:00,19926.75,-4.125,-5.625,BE_STOP,2024-09-20 14:35:00+00:00,2024-09-20 15:10:00+00:00,False,TRIM_QUEUE_UNCERTAIN,TRIM_QUEUE_UNCERTAIN
