DATE,CONTRACT,START_UTC,END_UTC
2020-01-03,NQH0,2020-01-03 14:20:00+00:00,2020-01-03 18:10:00+00:00
2020-01-14,NQH0,2020-01-14 14:35:00+00:00,2020-01-14 15:10:00+00:00
2020-01-16,NQH0,2020-01-16 14:20:00+00:00,2020-01-16 14:55:00+00:00
2020-01-21,NQH0,2020-01-21 14:20:00+00:00,2020-01-21 21:05:00+00:00
2020-01-29,NQH0,2020-01-29 14:35:00+00:00,2020-01-29 15:40:00+00:00
2020-01-30,NQH0,2020-01-30 14:20:00+00:00,2020-01-30 15:40:00+00:00
2020-02-18,NQH0,2020-02-18 14:20:00+00:00,2020-02-18 14:55:00+00:00
2020-02-20,NQH0,2020-02-20 15:50:00+00:00,2020-02-20 18:00:00+00:00
2020-02-24,NQH0,2020-02-24 16:50:00+00:00,2020-02-24 17:45:00+00:00
2020-02-25,NQH0,2020-02-25 15:10:00+00:00,2020-02-25 15:45:00+00:00
2020-02-26,NQH0,2020-02-26 14:25:00+00:00,2020-02-26 16:10:00+00:00
2020-03-04,NQH0,2020-03-04 14:25:00+00:00,2020-03-04 15:10:00+00:00
2020-03-10,NQH0,2020-03-10 14:35:00+00:00,2020-03-10 18:50:00+00:00
2020-03-26,NQM0,2020-03-26 13:20:00+00:00,2020-03-26 14:55:00+00:00
2020-03-31,NQM0,2020-03-31 14:05:00+00:00,2020-03-31 14:45:00+00:00
2020-04-01,NQM0,2020-04-01 14:20:00+00:00,2020-04-01 15:45:00+00:00
2020-04-07,NQM0,2020-04-07 13:55:00+00:00,2020-04-07 15:45:00+00:00
2020-04-08,NQM0,2020-04-08 15:00:00+00:00,2020-04-08 16:00:00+00:00
2020-04-14,NQM0,2020-04-14 13:20:00+00:00,2020-04-14 15:00:00+00:00
2020-04-20,NQM0,2020-04-20 14:15:00+00:00,2020-04-20 15:25:00+00:00
2020-04-29,NQM0,2020-04-29 14:05:00+00:00,2020-04-29 14:45:00+00:00
2020-05-08,NQM0,2020-05-08 13:20:00+00:00,2020-05-08 14:10:00+00:00
2020-05-18,NQM0,2020-05-18 14:20:00+00:00,2020-05-18 15:45:00+00:00
2020-05-27,NQM0,2020-05-27 13:20:00+00:00,2020-05-27 13:55:00+00:00
2020-06-09,NQM0,2020-06-09 13:25:00+00:00,2020-06-09 14:05:00+00:00
2020-06-12,NQM0,2020-06-12 13:20:00+00:00,2020-06-12 14:00:00+00:00
2020-06-19,NQU0,2020-06-19 15:50:00+00:00,2020-06-19 16:50:00+00:00
2020-06-30,NQU0,2020-06-30 13:25:00+00:00,2020-06-30 16:40:00+00:00
2020-07-02,NQU0,2020-07-02 13:20:00+00:00,2020-07-02 14:00:00+00:00
2020-07-03,NQU0,2020-07-03 14:15:00+00:00,2020-07-03 14:50:00+00:00
2020-07-13,NQU0,2020-07-13 13:25:00+00:00,2020-07-13 15:55:00+00:00
2020-07-20,NQU0,2020-07-20 13:40:00+00:00,2020-07-20 16:35:00+00:00
2020-07-21,NQU0,2020-07-21 13:20:00+00:00,2020-07-21 13:55:00+00:00
2020-08-03,NQU0,2020-08-03 13:20:00+00:00,2020-08-03 14:00:00+00:00
2020-08-05,NQU0,2020-08-05 13:20:00+00:00,2020-08-05 13:55:00+00:00
2020-08-19,NQU0,2020-08-19 13:30:00+00:00,2020-08-19 14:05:00+00:00
2020-08-20,NQU0,2020-08-20 13:30:00+00:00,2020-08-20 14:30:00+00:00
2020-09-08,NQU0,2020-09-08 18:30:00+00:00,2020-09-08 19:20:00+00:00
2020-09-14,NQU0,2020-09-14 13:30:00+00:00,2020-09-14 17:00:00+00:00
2020-09-15,NQU0,2020-09-15 13:25:00+00:00,2020-09-15 14:20:00+00:00
2020-09-22,NQZ0,2020-09-22 14:45:00+00:00,2020-09-22 15:20:00+00:00
2020-09-24,NQZ0,2020-09-24 13:35:00+00:00,2020-09-24 14:30:00+00:00
2020-09-25,NQZ0,2020-09-25 14:15:00+00:00,2020-09-25 14:55:00+00:00
2020-09-29,NQZ0,2020-09-29 14:20:00+00:00,2020-09-29 15:25:00+00:00
2020-10-05,NQZ0,2020-10-05 13:40:00+00:00,2020-10-05 15:05:00+00:00
2020-10-09,NQZ0,2020-10-09 13:30:00+00:00,2020-10-09 14:05:00+00:00
2020-10-21,NQZ0,2020-10-21 13:20:00+00:00,2020-10-21 14:30:00+00:00
2020-10-23,NQZ0,2020-10-23 13:20:00+00:00,2020-10-23 16:05:00+00:00
2020-10-30,NQZ0,2020-10-30 14:10:00+00:00,2020-10-30 14:50:00+00:00
2020-11-06,NQZ0,2020-11-06 17:50:00+00:00,2020-11-06 18:50:00+00:00
2020-11-11,NQZ0,2020-11-11 14:30:00+00:00,2020-11-11 15:45:00+00:00
2020-11-13,NQZ0,2020-11-13 14:45:00+00:00,2020-11-13 15:35:00+00:00
2020-11-16,NQZ0,2020-11-16 15:50:00+00:00,2020-11-16 16:25:00+00:00
2020-11-19,NQZ0,2020-11-19 14:30:00+00:00,2020-11-19 15:20:00+00:00
2020-11-23,NQZ0,2020-11-23 14:25:00+00:00,2020-11-23 15:05:00+00:00
2020-11-26,NQZ0,2020-11-26 17:05:00+00:00,2020-11-26 17:40:00+00:00
2020-11-27,NQZ0,2020-11-27 14:45:00+00:00,2020-11-27 16:20:00+00:00
2020-12-02,NQZ0,2020-12-02 14:20:00+00:00,2020-12-02 15:00:00+00:00
2020-12-14,NQZ0,2020-12-14 14:25:00+00:00,2020-12-14 21:05:00+00:00
2020-12-23,NQH1,2020-12-23 14:20:00+00:00,2020-12-23 15:05:00+00:00
2020-12-28,NQH1,2020-12-28 14:55:00+00:00,2020-12-28 15:30:00+00:00
2020-12-29,NQH1,2020-12-29 14:20:00+00:00,2020-12-29 14:55:00+00:00
2020-12-30,NQH1,2020-12-30 14:25:00+00:00,2020-12-30 15:00:00+00:00
