TRADE_ID,DATE,SIDE,R0,L1_BASE_NET,L1_BASE_GROSS,ENTRY_BID,ENTRY_ASK,ENTRY_SPREAD,EXIT_SPREAD,BBO_ENTRY_EXEC,BBO_EXIT_EXEC,FLAG,AMBIGUITY,ENTRY_DELTA,EXIT_DELTA,L1_CONSERVATIVE_NET,L1_CONSERVATIVE_GROSS,L1_STRESS_NET,L1_STRESS_GROSS
P000-0000,2020-01-03,LONG,17.75,19.375,20.375,8825.25,8825.5,0.25,0.25,8825.5,8851.0,OK,,0.25,0.0,19.0,20.0,17.125,19.625
P000-0001,2020-01-14,SHORT,15.5,-3.75,-2.75,9045.5,9046.0,0.5,0.25,9045.5,9055.75,OK,,0.0,0.0,-4.125,-3.125,-6.0,-3.5
P000-0002,2020-01-16,LONG,4.25,-2.125,-1.125,9108.5,9108.75,0.25,0.5,9108.75,9105.5,OK,,0.25,0.25,-2.5,-1.5,-4.375,-1.875
P000-0003,2020-01-21,LONG,10.5,13.0,14.0,9165.0,9165.5,0.5,0.25,9165.5,9179.5,OK,,0.0,0.25,12.5,13.5,10.5,13.0
P000-0004,2020-01-29,SHORT,3.75,7.625,8.625,9116.0,9116.25,0.25,0.25,9116.0,9098.5,OK,,1.75,0.25,7.25,8.25,5.375,7.875
P000-0005,2020-01-30,LONG,7.75,-13.0,-12.0,9082.5,9083.0,0.5,0.25,9083.0,9071.0,OK,,0.0,0.0,-13.5,-12.5,-15.5,-13.0
P000-0006,2020-02-18,LONG,19.25,-4.0,-3.0,9614.0,9614.5,0.5,0.25,9614.5,9610.0,OK,,1.5,0.25,-4.375,-3.375,-6.25,-3.75
P000-0007,2020-02-20,SHORT,5.0,57.125,58.125,9683.75,9684.0,0.25,0.5,9683.75,9565.25,OK,,2.25,0.5,56.75,57.75,54.875,57.375
P000-0008,2020-02-24,SHORT,18.0,-35.75,-34.75,9078.75,9079.25,0.5,0.25,9078.75,9113.5,OK,,0.0,0.25,-36.25,-35.25,-38.25,-35.75
P000-0009,2020-02-25,SHORT,31.5,-6.625,-5.625,9037.75,9038.25,0.5,0.5,9037.75,9048.0,OK,,1.0,0.25,-7.0,-6.0,-8.875,-6.375
P000-0010,2020-02-26,LONG,22.25,53.625,54.625,8952.5,8952.75,0.25,0.25,8952.75,8999.25,OK,,0.5,0.25,53.25,54.25,51.375,53.875
P000-0011,2020-03-04,SHORT,21.5,6.125,7.125,8698.5,8699.0,0.5,0.5,8698.5,8700.5,OK,,1.0,0.25,5.75,6.75,3.875,6.375
P000-0012,2020-03-10,SHORT,23.75,-51.5,-50.5,8125.0,8126.0,1.0,1.25,8125.0,8175.5,OK,,3.5,0.0,-52.0,-51.0,-54.0,-51.5
P000-0013,2020-03-26,LONG,63.0,30.375,31.375,7606.75,7607.75,1.0,0.75,7607.75,7640.0,OK,,2.25,0.25,30.0,31.0,28.125,30.625
P000-0014,2020-03-31,LONG,16.75,2.875,3.875,7973.75,7974.25,0.5,0.5,7974.25,7982.5,OK,,0.5,0.25,2.5,3.5,0.625,3.125
P000-0015,2020-04-01,LONG,24.0,-37.25,-36.25,7645.25,7645.5,0.25,0.5,7645.5,7609.25,OK,,0.5,0.5,-37.75,-36.75,-39.75,-37.25
P000-0016,2020-04-07,SHORT,51.5,-53.5,-52.5,8139.0,8139.5,0.5,0.75,8139.0,8191.5,OK,,0.75,0.0,-54.0,-53.0,-56.0,-53.5
P000-0017,2020-04-08,LONG,11.75,6.625,7.625,8150.5,8151.0,0.5,0.5,8151.0,8163.0,OK,,0.25,0.5,6.25,7.25,4.375,6.875
P000-0018,2020-04-14,LONG,16.25,29.25,30.25,8520.5,8520.75,0.25,0.5,8520.75,8583.0,OK,,1.75,0.25,28.875,29.875,27.0,29.5
P000-0019,2020-04-20,LONG,26.25,9.875,10.875,8808.25,8808.5,0.25,0.5,8808.5,8809.0,OK,,0.0,0.25,9.5,10.5,7.625,10.125
P000-0020,2020-04-29,LONG,16.75,-2.125,-1.125,8924.0,8924.25,0.25,0.5,8924.25,8922.5,OK,,0.5,0.5,-2.5,-1.5,-4.375,-1.875
P000-0021,2020-05-08,SHORT,22.0,-25.75,-24.75,9134.0,9134.5,0.5,0.25,9134.0,9158.75,OK,,0.5,0.25,-26.25,-25.25,-28.25,-25.75
P000-0022,2020-05-18,LONG,18.0,0.75,1.75,9313.0,9313.5,0.5,0.5,9313.5,9317.5,OK,,0.5,0.5,0.375,1.375,-1.5,1.0
P000-0023,2020-05-27,SHORT,29.5,14.375,15.375,9327.5,9328.0,0.5,0.5,9327.5,9295.25,OK,,1.5,0.0,14.0,15.0,12.125,14.625
P000-0024,2020-06-09,LONG,32.0,0.125,1.125,9900.0,9900.25,0.25,0.5,9900.25,9895.5,OK,,0.0,0.0,-0.25,0.75,-2.125,0.375
P000-0025,2020-06-12,LONG,17.75,-3.125,-2.125,9817.25,9817.75,0.5,0.25,9817.75,9814.0,OK,,0.5,0.25,-3.5,-2.5,-5.375,-2.875
P000-0026,2020-06-19,SHORT,16.0,28.25,29.25,10025.25,10025.5,0.25,0.25,10025.25,9988.75,OK,,0.0,0.75,27.875,28.875,26.0,28.5
P000-0027,2020-06-30,LONG,18.75,40.625,41.625,10011.5,10011.75,0.25,0.5,10011.75,10078.5,OK,,0.0,0.0,40.25,41.25,38.375,40.875
P000-0028,2020-07-02,LONG,29.75,-5.25,-4.25,10411.0,10411.5,0.5,0.5,10411.5,10403.75,OK,,0.75,0.5,-5.625,-4.625,-7.5,-5.0
P000-0029,2020-07-03,SHORT,27.5,-4.625,-3.625,10313.75,10314.25,0.5,0.5,10313.75,10321.0,OK,,0.0,0.25,-5.0,-4.0,-6.875,-4.375
P000-0030,2020-07-13,LONG,23.75,34.375,35.375,10975.5,10975.75,0.25,0.5,10975.75,11025.25,OK,,0.25,0.25,34.0,35.0,32.125,34.625
P000-0031,2020-07-20,LONG,16.75,53.75,54.75,10695.25,10695.5,0.25,0.5,10695.5,10805.5,OK,,0.5,0.25,53.375,54.375,51.5,54.0
P000-0032,2020-07-21,SHORT,64.75,-7.625,-6.625,10921.5,10921.75,0.25,0.5,10921.5,10934.25,OK,,0.5,0.25,-8.0,-7.0,-9.875,-7.375
P000-0033,2020-08-03,LONG,17.75,-1.375,-0.375,11022.5,11023.0,0.5,0.5,11023.0,11021.25,OK,,0.5,0.0,-1.75,-0.75,-3.625,-1.125
P000-0034,2020-08-05,SHORT,14.25,-27.25,-26.25,11067.0,11067.5,0.5,0.5,11067.0,11093.25,OK,,0.0,0.0,-27.75,-26.75,-29.75,-27.25
P000-0035,2020-08-19,SHORT,29.5,-6.625,-5.625,11343.25,11343.75,0.5,0.5,11343.25,11353.25,OK,,1.25,0.25,-7.0,-6.0,-8.875,-6.375
P000-0036,2020-08-20,LONG,18.5,-3.375,-2.375,11356.5,11357.0,0.5,0.25,11357.0,11354.0,OK,,1.75,0.25,-3.75,-2.75,-5.625,-3.125
P000-0037,2020-09-08,SHORT,63.0,-17.5,-16.5,11085.0,11086.25,1.25,1.0,11085.0,11122.0,OK,,0.5,0.75,-17.875,-16.875,-19.75,-17.25
P000-0038,2020-09-14,LONG,19.0,-25.25,-24.25,11295.75,11296.5,0.75,0.75,11296.5,11272.25,OK,,0.0,0.5,-25.75,-24.75,-27.75,-25.25
P000-0039,2020-09-15,LONG,26.5,-9.375,-8.375,11462.5,11463.25,0.75,0.75,11463.25,11446.5,OK,,0.0,0.0,-9.75,-8.75,-11.625,-9.125
P000-0040,2020-09-22,SHORT,24.75,-39.75,-38.75,10925.5,10926.0,0.5,0.5,10925.5,10964.25,OK,,2.25,0.25,-40.25,-39.25,-42.25,-39.75
P000-0041,2020-09-24,LONG,27.25,9.25,10.25,10851.75,10852.25,0.5,0.5,10852.25,10852.0,OK,,0.0,0.25,8.875,9.875,7.0,9.5
P000-0042,2020-09-25,LONG,31.75,-8.75,-7.75,10968.5,10969.75,1.25,0.75,10969.75,10958.5,OK,,4.25,0.5,-9.125,-8.125,-11.0,-8.5
P000-0043,2020-09-29,SHORT,11.25,-14.25,-13.25,11321.75,11322.25,0.5,0.5,11321.75,11335.0,OK,,0.75,0.25,-14.75,-13.75,-16.75,-14.25
P000-0044,2020-10-05,LONG,7.0,17.5,18.5,11372.75,11373.25,0.5,0.5,11373.25,11411.5,OK,,4.5,0.5,17.125,18.125,15.25,17.75
P000-0045,2020-10-09,LONG,16.5,-2.25,-1.25,11633.75,11634.0,0.25,0.5,11634.0,11632.25,OK,,0.75,0.5,-2.625,-1.625,-4.5,-2.0
P000-0046,2020-10-21,LONG,27.25,21.125,22.125,11720.25,11720.75,0.5,0.25,11720.75,11743.75,OK,,1.0,0.25,20.75,21.75,18.875,21.375
P000-0047,2020-10-23,SHORT,23.5,29.875,30.875,11606.75,11607.25,0.5,0.5,11606.75,11584.0,OK,,3.0,0.25,29.5,30.5,27.625,30.125
P000-0048,2020-10-30,SHORT,38.5,12.75,13.75,11049.5,11050.25,0.75,0.5,11049.5,11032.0,OK,,2.0,0.0,12.375,13.375,10.5,13.0
P000-0049,2020-11-06,LONG,11.0,-2.125,-1.125,12084.0,12084.5,0.5,0.5,12084.5,12082.5,OK,,0.25,0.25,-2.5,-1.5,-4.375,-1.875
P000-0050,2020-11-11,LONG,26.5,4.25,5.25,11811.75,11812.25,0.5,0.5,11812.25,11806.75,OK,,0.75,0.25,3.875,4.875,2.0,4.5
P000-0051,2020-11-13,SHORT,24.25,3.75,4.75,11860.25,11860.75,0.5,0.5,11860.25,11869.75,OK,,0.25,0.25,3.375,4.375,1.5,4.0
P000-0052,2020-11-16,LONG,5.0,-20.5,-19.5,12023.0,12023.75,0.75,0.5,12023.75,12004.25,OK,,0.0,0.25,-21.0,-20.0,-23.0,-20.5
P000-0053,2020-11-19,LONG,12.5,-1.875,-0.875,11900.75,11901.25,0.5,0.5,11901.25,11897.75,OK,,1.75,0.25,-2.25,-1.25,-4.125,-1.625
P000-0054,2020-11-23,LONG,9.0,-17.375,-16.375,11992.75,11993.75,1.0,0.25,11993.75,11973.0,OK,,16.75,0.25,-17.75,-16.75,-19.625,-17.125
P000-0055,2020-11-26,SHORT,18.5,-5.25,-4.25,12152.25,12152.5,0.25,0.5,12152.25,12159.0,OK,,1.75,0.0,-5.625,-4.625,-7.5,-5.0
P000-0056,2020-11-27,LONG,14.75,14.5,15.5,12258.75,12259.25,0.5,0.5,12259.25,12290.25,OK,,0.0,0.25,14.125,15.125,12.25,14.75
P000-0057,2020-12-02,SHORT,25.75,-6.5,-5.5,12344.25,12344.75,0.5,0.5,12344.25,12354.5,OK,,0.75,0.5,-6.875,-5.875,-8.75,-6.25
P000-0058,2020-12-14,LONG,32.5,-33.25,-32.25,,,,0.5,12485.0,12452.75,AMBIGUOUS:ENTRY_NEVER_MARKETABLE,ENTRY_NEVER_MARKETABLE,0.0,0.25,-33.75,-32.75,-35.75,-33.25
P000-0059,2020-12-23,SHORT,30.0,-9.5,-8.5,12674.75,12675.0,0.25,0.75,12674.75,12690.0,OK,,1.75,0.5,-9.875,-8.875,-11.75,-9.25
P000-0060,2020-12-28,SHORT,7.75,-9.0,-8.0,12757.25,12757.5,0.25,0.5,12757.25,12774.5,OK,,0.0,0.25,-9.375,-8.375,-11.25,-8.75
P000-0061,2020-12-29,LONG,23.5,-9.5,-8.5,12917.0,12917.5,0.5,0.5,12917.5,12901.25,OK,,0.75,0.25,-9.875,-8.875,-11.75,-9.25
P000-0062,2020-12-30,SHORT,13.0,-2.125,-1.125,12859.25,12859.5,0.25,0.5,12859.25,12860.5,OK,,1.0,0.25,-2.5,-1.5,-4.375,-1.875
P000-0063,2021-01-11,SHORT,49.0,-58.0,-57.0,12902.0,12903.25,1.25,0.5,12902.0,12959.0,OK,,1.5,0.25,-58.5,-57.5,-60.5,-58.0
P000-0064,2021-01-21,SHORT,13.0,-19.0,-18.0,13291.5,13292.0,0.5,0.5,13291.5,13327.0,OK,,0.5,0.5,-19.375,-18.375,-21.25,-18.75
P000-0065,2021-01-22,LONG,7.0,4.75,5.75,13359.75,13360.75,1.0,0.5,13360.75,13370.5,OK,,4.0,0.25,4.375,5.375,2.5,5.0
P000-0066,2021-02-02,LONG,38.75,-15.75,-14.75,13417.75,13418.25,0.5,0.5,13418.25,13383.75,OK,,1.0,0.0,-16.125,-15.125,-18.0,-15.5
P000-0067,2021-02-03,SHORT,50.25,-28.5,-27.5,,,,0.5,13463.0,13490.5,AMBIGUOUS:ENTRY_NEVER_MARKETABLE;TRIM_QUEUE_UNCERTAIN,ENTRY_NEVER_MARKETABLE;TRIM_QUEUE_UNCERTAIN,0.0,0.25,-29.0,-28.0,-31.0,-28.5
P000-0068,2021-02-15,LONG,4.25,1.75,2.75,13857.0,13857.5,0.5,0.5,13857.5,13858.0,OK,,0.0,0.25,1.375,2.375,-0.5,2.0
P000-0069,2021-02-18,SHORT,26.25,5.5,6.5,13498.25,13498.75,0.5,0.5,13498.25,13483.5,OK,,1.75,0.0,5.125,6.125,3.25,5.75
P000-0070,2021-03-03,SHORT,39.5,14.5,15.5,12921.5,12922.25,0.75,0.75,12921.5,12887.25,OK,,3.25,0.75,14.125,15.125,12.25,14.75
P000-0071,2021-03-05,SHORT,16.75,2.375,3.375,12352.25,12353.0,0.75,0.75,12352.25,12352.5,OK,,0.25,0.25,2.0,3.0,0.125,2.625
P000-0072,2021-03-15,LONG,23.0,34.0,35.0,13020.0,13020.75,0.75,0.75,13020.75,13077.0,OK,,0.5,0.25,33.625,34.625,31.75,34.25
P000-0073,2021-03-24,SHORT,29.25,17.125,18.125,13007.5,13008.0,0.5,0.5,13007.5,12971.0,OK,,0.25,0.25,16.75,17.75,14.875,17.375
P000-0074,2021-04-01,LONG,14.0,38.25,39.25,13274.5,13275.0,0.5,0.25,13275.0,13314.25,OK,,0.0,0.0,37.75,38.75,35.75,38.25
P000-0075,2021-04-05,LONG,11.5,14.625,15.625,13444.5,13445.0,0.5,0.5,13445.0,13476.5,OK,,0.25,0.5,14.25,15.25,12.375,14.875
P000-0076,2021-04-09,LONG,8.25,49.375,50.375,13763.5,13764.0,0.5,0.25,13764.0,13829.25,OK,,1.0,0.0,49.0,50.0,47.125,49.625
P000-0077,2021-04-13,LONG,15.0,-18.75,-17.75,13910.75,13911.25,0.5,0.25,13911.25,13893.5,OK,,0.25,0.25,-19.25,-18.25,-21.25,-18.75
P000-0078,2021-04-19,SHORT,23.25,39.5,40.5,13922.5,13923.0,0.5,0.5,13922.5,13903.0,OK,,0.25,0.25,39.125,40.125,37.25,39.75
P000-0079,2021-04-20,SHORT,21.25,-29.0,-28.0,13792.75,13793.25,0.5,0.5,13792.75,13820.75,OK,,0.0,0.25,-29.5,-28.5,-31.5,-29.0
P000-0080,2021-04-22,SHORT,18.5,-11.625,-10.625,13861.75,13862.25,0.5,0.5,13861.75,13882.25,OK,,0.75,0.5,-12.0,-11.0,-13.875,-11.375
P000-0081,2021-04-23,LONG,24.25,57.375,58.375,13813.75,13814.0,0.25,0.5,13814.0,13922.75,OK,,0.75,0.25,57.0,58.0,55.125,57.625
P000-0082,2021-05-03,LONG,14.0,-32.5,-31.5,13929.75,13930.25,0.5,0.5,13930.25,13898.75,OK,,0.0,0.25,-33.0,-32.0,-35.0,-32.5
P000-0083,2021-05-04,SHORT,25.75,92.75,93.75,13619.5,13620.0,0.5,0.5,13619.5,13428.25,OK,,5.0,0.5,92.375,93.375,90.5,93.0
P000-0084,2021-05-25,SHORT,24.75,-5.0,-4.0,13650.75,13651.5,0.75,0.25,13650.75,13658.5,OK,,0.25,0.25,-5.375,-4.375,-7.25,-4.75
P000-0085,2021-05-26,SHORT,15.75,-8.625,-7.625,13660.25,13660.75,0.5,0.5,13660.25,13673.75,OK,,1.75,0.25,-9.0,-8.0,-10.875,-8.375
