DATE,CONTRACT,SIDE,SIGNAL_TS,ACTIVATION_TS,ENTRY_TS,ENTRY_BID,ENTRY_ASK,ENTRY_SPREAD,ENTRY,STOP,ATR,Z,EXPLAIN,EXIT_TS,EXIT_BID,EXIT_ASK,EXIT_SPREAD,EXIT_REASON,EXIT,PNL_BASE_PTS,PNL_CONSERVATIVE_PTS,PNL_STRESS_PTS,ENTRY_BASE,ENTRY_CONSERVATIVE,ENTRY_STRESS,EXIT_BASE,EXIT_CONSERVATIVE,EXIT_STRESS
2020-02-04,NQH0,LONG,2020-02-04 14:35:00+00:00,2020-02-04 14:40:00+00:00,2020-02-04 14:40:00+00:00,9229.0,9229.25,0.25,"{'BASE': 9229.25, 'CONSERVATIVE': 9229.5, 'STRESS': 9229.75}",9227.0,113.64285714285714,1.9329562013048838,"O01 LONG entry 9229.25, stop 9227.00, chandelier 9246.11, exit 9340.75 (EOD); paper PnL BASE +110.50 pts",2020-02-04 21:00:00+00:00,9340.75,9340.75,0.0,EOD,"{'BASE': 9340.75, 'CONSERVATIVE': 9340.5, 'STRESS': 9340.25}",110.5,110.0,109.5,9229.25,9229.5,9229.75,9340.75,9340.5,9340.25
2020-02-05,NQH0,LONG,2020-02-05 14:35:00+00:00,2020-02-05 14:40:00+00:00,2020-02-05 14:40:00+00:00,9397.75,9398.0,0.25,"{'BASE': 9398.0, 'CONSERVATIVE': 9398.25, 'STRESS': 9398.5}",9397.5,123.55357142857143,1.4861693192898167,"O01 LONG entry 9398.00, stop 9397.50, chandelier n/a, exit 9397.25 (STOP); paper PnL BASE -1.75 pts",2020-02-05 14:40:01+00:00,9397.25,9397.75,0.5,STOP,"{'BASE': 9397.25, 'CONSERVATIVE': 9397.0, 'STRESS': 9396.75}",-1.75,-2.25,-2.75,9398.0,9398.25,9398.5,9397.25,9397.0,9396.75
2020-02-13,NQH0,SHORT,2020-02-13 14:35:00+00:00,2020-02-13 14:40:00+00:00,2020-02-13 14:40:00+00:00,9567.25,9567.5,0.25,"{'BASE': 9567.25, 'CONSERVATIVE': 9567.0, 'STRESS': 9566.75}",9578.75,144.66071428571428,-1.198390780858311,"O01 SHORT entry 9567.25, stop 9578.75, chandelier 9708.91, exit 9578.75 (STOP); paper PnL BASE -12.50 pts",2020-02-13 14:45:34+00:00,9578.5,9578.75,0.25,STOP,"{'BASE': 9578.75, 'CONSERVATIVE': 9579.0, 'STRESS': 9579.25}",-12.5,-13.0,-13.5,9567.25,9567.0,9566.75,9578.75,9579.0,9579.25
2020-02-24,NQH0,SHORT,2020-02-24 14:35:00+00:00,2020-02-24 14:40:00+00:00,2020-02-24 14:40:00+00:00,9164.0,9164.5,0.5,"{'BASE': 9164.0, 'CONSERVATIVE': 9163.75, 'STRESS': 9163.5}",9174.0,122.60714285714286,-4.531452370613547,"O01 SHORT entry 9164.00, stop 9174.00, chandelier n/a, exit 9174.50 (STOP); paper PnL BASE -11.50 pts",2020-02-24 14:44:53+00:00,9174.25,9174.5,0.25,STOP,"{'BASE': 9174.5, 'CONSERVATIVE': 9174.75, 'STRESS': 9175.0}",-11.5,-12.0,-12.5,9164.0,9163.75,9163.5,9174.5,9174.75,9175.0
2020-03-04,NQH0,LONG,2020-03-04 14:35:00+00:00,2020-03-04 14:40:00+00:00,2020-03-04 14:40:00+00:00,8701.25,8701.75,0.5,"{'BASE': 8701.75, 'CONSERVATIVE': 8702.0, 'STRESS': 8702.25}",8687.0,257.14285714285717,1.5136741432984697,"O01 LONG entry 8701.75, stop 8687.00, chandelier 8471.86, exit 8686.75 (STOP); paper PnL BASE -16.00 pts",2020-03-04 14:53:52+00:00,8686.75,8687.5,0.75,STOP,"{'BASE': 8686.75, 'CONSERVATIVE': 8686.5, 'STRESS': 8686.25}",-16.0,-16.5,-17.0,8701.75,8702.0,8702.25,8686.75,8686.5,8686.25
2020-03-05,NQH0,SHORT,2020-03-05 14:35:00+00:00,2020-03-05 14:40:00+00:00,2020-03-05 14:40:00+00:00,8769.0,8769.5,0.5,"{'BASE': 8769.0, 'CONSERVATIVE': 8768.75, 'STRESS': 8768.5}",8781.75,274.92857142857144,-1.6266727524105495,"O01 SHORT entry 8769.00, stop 8781.75, chandelier 8981.18, exit 8781.75 (STOP); paper PnL BASE -13.75 pts",2020-03-05 15:18:19+00:00,8781.25,8781.75,0.5,STOP,"{'BASE': 8781.75, 'CONSERVATIVE': 8782.0, 'STRESS': 8782.25}",-13.75,-14.25,-14.75,8769.0,8768.75,8768.5,8781.75,8782.0,8782.25
2020-03-10,NQH0,LONG,2020-03-10 13:35:00+00:00,2020-03-10 13:40:00+00:00,2020-03-10 13:40:00+00:00,8169.75,8170.25,0.5,"{'BASE': 8170.25, 'CONSERVATIVE': 8170.5, 'STRESS': 8170.75}",8156.25,361.4107142857143,2.259028376589816,"O01 LONG entry 8170.25, stop 8156.25, chandelier n/a, exit 8154.75 (STOP); paper PnL BASE -16.50 pts",2020-03-10 13:40:20+00:00,8154.75,8155.25,0.5,STOP,"{'BASE': 8154.75, 'CONSERVATIVE': 8154.5, 'STRESS': 8154.25}",-16.5,-17.0,-17.5,8170.25,8170.5,8170.75,8154.75,8154.5,8154.25
2020-03-13,NQH0,LONG,2020-03-13 13:35:00+00:00,2020-03-13 13:40:00+00:00,2020-03-13 13:40:00+00:00,7569.25,7570.5,1.25,"{'BASE': 7570.5, 'CONSERVATIVE': 7570.75, 'STRESS': 7571.0}",7569.0,440.875,2.697917815828706,"O01 LONG entry 7570.50, stop 7569.00, chandelier n/a, exit 7568.50 (STOP); paper PnL BASE -3.00 pts",2020-03-13 13:40:01+00:00,7568.5,7571.0,2.5,STOP,"{'BASE': 7568.5, 'CONSERVATIVE': 7568.25, 'STRESS': 7568.0}",-3.0,-3.5,-4.0,7570.5,7570.75,7571.0,7568.5,7568.25,7568.0
2020-03-18,NQM0,SHORT,2020-03-18 13:35:00+00:00,2020-03-18 13:40:00+00:00,2020-03-18 13:40:00+00:00,7106.5,7108.75,2.25,"{'BASE': 7106.5, 'CONSERVATIVE': 7106.25, 'STRESS': 7106.0}",7183.75,534.8571428571429,-1.5705917313492062,"O01 SHORT entry 7106.50, stop 7183.75, chandelier 7619.36, exit 7188.00 (STOP); paper PnL BASE -82.50 pts",2020-03-18 13:53:30+00:00,7187.0,7188.0,1.0,STOP,"{'BASE': 7188.0, 'CONSERVATIVE': 7188.25, 'STRESS': 7188.5}",-82.5,-83.0,-83.5,7106.5,7106.25,7106.0,7188.0,7188.25,7188.5
2020-03-24,NQM0,LONG,2020-03-24 13:35:00+00:00,2020-03-24 13:40:00+00:00,2020-03-24 13:40:00+00:00,7371.25,7372.0,0.75,"{'BASE': 7372.0, 'CONSERVATIVE': 7372.25, 'STRESS': 7372.5}",7333.75,555.9464285714286,1.7675508177253154,"O01 LONG entry 7372.00, stop 7333.75, chandelier n/a, exit 7333.75 (STOP); paper PnL BASE -39.25 pts",2020-03-24 13:42:53+00:00,7333.75,7335.0,1.25,STOP,"{'BASE': 7333.75, 'CONSERVATIVE': 7333.5, 'STRESS': 7333.25}",-39.25,-39.75,-40.25,7372.0,7372.25,7372.5,7333.75,7333.5,7333.25
