SCREEN,HORIZON,N,MEAN,MEDIAN,WIN_RATE,N_LONG,N_SHORT,BOOT_P
P001_ASIA_BREAKOUT_EURUSD,h30m,2284,0.2841068301225741,-0.4999999999988347,0.478984238178634,1149,1135,0.335
P003_FALSE_BREAKOUT_EURUSD,h30m,1558,0.4077663671373376,0.5000000000010552,0.527599486521181,761,797,0.198
P005_LONDON_FIRST_HOUR_EURUSD,h60m,1513,-0.9706543291474186,-1.2999999999996348,0.4639788499669531,744,769,0.037
P007_ROUND_NUMBERS_EURUSD,h15m,9789,-0.26991521095105614,-0.2999999999997449,0.482378179589335,4875,4914,0.016
P008_VOL_SHOCK_EURUSD,h5m,2959,-0.11811422777967343,-0.40000000000040004,0.4653599188915174,1484,1475,0.598
P021_RUNS_EURUSD,h5m,18189,-0.1829072516356032,-0.2999999999997449,0.45439551377206006,8843,9346,0.0
P014_ASIA_FADE_EURUSD,h60m,1498,0.6493324432576675,1.000000000001,0.520694259012016,701,797,0.164
P001_ASIA_BREAKOUT_GBPUSD,h30m,2293,-0.07152202354992668,-0.8999999999992347,0.4683820322721326,1123,1170,0.879
P003_FALSE_BREAKOUT_GBPUSD,h30m,1590,0.7049685534591225,0.9999999999998899,0.5371069182389937,813,777,0.038
P005_LONDON_FIRST_HOUR_GBPUSD,h60m,1560,-0.6314743589743625,-0.9999999999998899,0.4685897435897436,777,783,0.225
P007_ROUND_NUMBERS_GBPUSD,h15m,11423,-0.3657620590037494,-0.5000000000010552,0.4715924012956316,5694,5729,0.0
P008_VOL_SHOCK_GBPUSD,h5m,3639,-0.5826875515251454,-0.9000000000014552,0.4402308326463314,1828,1811,0.0
P021_RUNS_GBPUSD,h5m,18126,-0.3129813527529487,-0.40000000000040004,0.44885799404170806,8948,9178,0.0
P014_ASIA_FADE_GBPUSD,h60m,1511,1.7836532097948286,1.5999999999993797,0.5334215751158173,726,785,0.001
P001_ASIA_BREAKOUT_USDJPY,h30m,2075,0.16154216867467291,-0.6000000000000227,0.4602409638554217,1013,1062,0.557
P003_FALSE_BREAKOUT_USDJPY,h30m,1348,-0.3763353115726977,0.0,0.4940652818991098,713,635,0.108
P005_LONDON_FIRST_HOUR_USDJPY,h60m,1157,0.1485738980120887,-0.6000000000000227,0.4788245462402766,617,540,0.779
P007_ROUND_NUMBERS_USDJPY,h15m,6366,-0.01685516808048007,0.0,0.4979579013509268,3184,3182,0.823
P008_VOL_SHOCK_USDJPY,h5m,1955,-0.30976982097186906,-0.49999999999954525,0.46035805626598464,918,1037,0.153
P021_RUNS_USDJPY,h5m,17573,-0.15629659136174692,-0.30000000000001137,0.4435213111022592,8990,8583,0.0
P014_ASIA_FADE_USDJPY,h60m,1490,-0.5145637583892981,-0.0499999999995282,0.4919463087248322,769,721,0.199
P016_VWAP_REVERSION_USA500IDXUSD,h30m,8633,-0.098191127070547,0.0,0.49333951117803776,4063,4570,0.019
P018_GAP_FILL_USA500IDXUSD,h60m,14052,-0.03698989467691598,-0.0030000000000427463,0.4905351551380586,6598,7454,0.234
P028_ANTI_MA_CROSS_EURUSD,h60m,13996,-0.022606458988278955,-0.40000000000040004,0.4745641611889111,6998,6998,0.891
P029_ANTI_DONCHIAN_EURUSD,h120m,10054,-0.7724189377362201,-1.5999999999993797,0.45892182216033417,4867,5187,0.007
P028_ANTI_MA_CROSS_GBPUSD,h60m,14456,-0.5465688987271705,-0.7999999999985796,0.46679579413392364,7228,7228,0.0
P029_ANTI_DONCHIAN_GBPUSD,h120m,10056,-0.5023766905330194,-1.40000000000029,0.4673826571201273,5050,5006,0.123
P028_ANTI_MA_CROSS_USDJPY,h60m,14085,-23.904153354633138,-60.000000000002274,0.4625488107916223,7042,7043,0.004
P029_ANTI_DONCHIAN_USDJPY,h120m,9336,-76.58740359897106,-150.00000000000568,0.4499785775492716,5008,4328,0.0
