symbol,instrument_id,raw_symbol,start_date,end_date
ZT,613048,ZTU0,2010-06-04,2010-09-02
ZT,470015,ZTZ0,2010-09-02,2010-12-02
ZT,571800,ZTH1,2010-12-02,2011-03-02
ZT,691779,ZTM1,2011-03-02,2011-06-02
ZT,325912,ZTU1,2011-06-02,2011-09-02
ZT,36443,ZTZ1,2011-09-02,2011-12-02
ZT,435773,ZTH2,2011-12-02,2012-03-02
ZT,26116,ZTM2,2012-03-02,2012-06-03
ZT,630499,ZTU2,2012-06-03,2012-09-03
ZT,17826,ZTZ2,2012-09-03,2012-12-02
ZT,431798,ZTH3,2012-12-02,2013-03-03
ZT,64631,ZTM3,2013-03-03,2013-06-02
ZT,224332,ZTU3,2013-06-02,2013-09-02
ZT,106458,ZTZ3,2013-09-02,2013-12-01
ZT,477430,ZTH4,2013-12-01,2014-03-02
ZT,623116,ZTM4,2014-03-02,2014-06-01
ZT,406606,ZTU4,2014-06-01,2014-08-31
ZT,581137,ZTZ4,2014-09-01,2014-11-30
ZT,721114,ZTH5,2014-12-01,2015-03-02
ZT,179483,ZTM5,2015-03-02,2015-05-31
ZT,604247,ZTU5,2015-06-01,2015-09-02
ZT,474528,ZTZ5,2015-09-02,2015-11-30
ZT,667931,ZTH6,2015-12-01,2016-03-02
ZT,684812,ZTM6,2016-03-02,2016-06-02
ZT,688154,ZTU6,2016-06-02,2016-09-02
ZT,740072,ZTZ6,2016-09-02,2016-12-02
ZT,596182,ZTH7,2016-12-02,2017-03-02
ZT,187401,ZTM7,2017-03-02,2017-05-31
ZT,325068,ZTU7,2017-06-01,2017-08-31
ZT,107232,ZTZ7,2017-09-01,2017-11-30
ZT,531149,ZTH8,2017-12-01,2018-02-28
ZT,434845,ZTM8,2018-03-01,2018-05-31
ZT,587209,ZTU8,2018-06-01,2018-08-31
ZT,149404,ZTZ8,2018-08-31,2018-12-03
ZT,75896,ZTH9,2018-12-03,2018-12-31
ZF,604699,ZFU0,2010-06-04,2010-09-02
ZF,460018,ZFZ0,2010-09-02,2010-12-02
ZF,894679,ZFH1,2010-12-02,2011-03-02
ZF,822298,ZFM1,2011-03-02,2011-06-02
ZF,9789,ZFU1,2011-06-02,2011-09-02
ZF,812215,ZFZ1,2011-09-02,2011-12-02
ZF,51040,ZFH2,2011-12-02,2012-03-02
ZF,465961,ZFM2,2012-03-02,2012-06-03
ZF,568618,ZFU2,2012-06-03,2012-09-03
ZF,197568,ZFZ2,2012-09-03,2012-12-03
ZF,855988,ZFH3,2012-12-03,2013-03-03
ZF,386123,ZFM3,2013-03-03,2013-06-03
ZF,657418,ZFU3,2013-06-03,2013-09-02
ZF,484352,ZFZ3,2013-09-02,2013-12-02
ZF,661700,ZFH4,2013-12-02,2014-03-03
