signal_date,entry_day,exit_day,direction,gross_pips,net_normal_pips,net_stress_pips
2010-01-04,2010-01-05,2010-01-12,-1,35.599999999999454,33.599999999999454,31.599999999999454
2010-01-13,2010-01-14,2010-01-21,1,-19.200000000000728,-21.200000000000728,-23.200000000000728
2010-01-21,2010-01-22,2010-01-29,-1,53.300000000000125,51.300000000000125,49.300000000000125
2010-01-29,2010-02-01,2010-02-08,-1,106.00000000000023,104.00000000000023,102.00000000000023
2010-02-09,2010-02-10,2010-02-17,1,39.4999999999996,37.4999999999996,35.4999999999996
2010-02-17,2010-02-18,2010-02-25,1,-99.30000000000092,-101.30000000000092,-103.30000000000092
2010-02-25,2010-02-26,2010-03-05,-1,4.800000000000182,2.800000000000182,0.8000000000001819
2010-03-05,2010-03-08,2010-03-15,1,-0.20000000000095497,-2.200000000000955,-4.200000000000955
2010-03-18,2010-03-19,2010-03-26,1,223.599999999999,221.599999999999,219.599999999999
2010-03-26,2010-03-29,2010-04-05,-1,-220.69999999999936,-222.69999999999936,-224.69999999999936
2010-04-05,2010-04-06,2010-04-13,1,-111.50000000000091,-113.50000000000091,-115.50000000000091
2010-04-15,2010-04-16,2010-04-23,-1,-37.60000000000048,-39.60000000000048,-41.60000000000048
2010-04-23,2010-04-26,2010-05-03,1,-16.400000000000148,-18.400000000000148,-20.400000000000148
2010-05-03,2010-05-04,2010-05-11,1,-123.60000000000042,-125.60000000000042,-127.60000000000042
2010-05-12,2010-05-13,2010-05-20,1,-144.8999999999998,-146.8999999999998,-148.8999999999998
2010-05-20,2010-05-21,2010-05-28,-1,-169.09999999999883,-171.09999999999883,-173.09999999999883
2010-05-28,2010-05-31,2010-06-07,-1,-87.30000000000047,-89.30000000000047,-91.30000000000047
2010-06-10,2010-06-11,2010-06-18,1,-45.700000000000784,-47.700000000000784,-49.700000000000784
2010-06-22,2010-06-23,2010-06-30,-1,196.80000000000035,194.80000000000035,192.80000000000035
2010-07-14,2010-07-15,2010-07-22,-1,142.70000000000067,140.70000000000067,138.70000000000067
2010-07-27,2010-07-28,2010-08-04,1,-203.09999999999917,-205.09999999999917,-207.09999999999917
2010-08-04,2010-08-05,2010-08-12,1,-106.60000000000025,-108.60000000000025,-110.60000000000025
2010-08-16,2010-08-17,2010-08-24,-1,21.50000000000034,19.50000000000034,17.50000000000034
2010-08-25,2010-08-26,2010-09-02,1,-14.900000000000091,-16.90000000000009,-18.90000000000009
2010-09-07,2010-09-08,2010-09-15,-1,76.50000000000006,74.50000000000006,72.50000000000006
2010-09-21,2010-09-22,2010-09-29,-1,132.8000000000003,130.8000000000003,128.8000000000003
2010-09-29,2010-09-30,2010-10-07,1,-81.60000000000025,-83.60000000000025,-85.60000000000025
2010-10-26,2010-10-27,2010-11-03,1,-74.00000000000091,-76.00000000000091,-78.00000000000091
2010-11-05,2010-11-08,2010-11-15,1,121.89999999999941,119.89999999999941,117.89999999999941
2010-11-22,2010-11-23,2010-11-30,-1,-98.0000000000004,-100.0000000000004,-102.0000000000004
2010-11-30,2010-12-01,2010-12-08,-1,18.500000000000227,16.500000000000227,14.500000000000227
2010-12-08,2010-12-09,2010-12-16,1,25.0,23.0,21.0
2010-12-17,2010-12-20,2010-12-27,-1,108.49999999999937,106.49999999999937,104.49999999999937
2010-12-27,2010-12-28,2011-01-04,1,-104.6999999999997,-106.6999999999997,-108.6999999999997
2011-01-05,2011-01-06,2011-01-13,1,-19.40000000000026,-21.40000000000026,-23.40000000000026
2011-01-20,2011-01-21,2011-01-28,1,-14.300000000000068,-16.300000000000068,-18.300000000000068
2011-01-28,2011-01-31,2011-02-07,-1,-11.299999999999955,-13.299999999999955,-15.299999999999955
2011-02-08,2011-02-09,2011-02-16,1,141.1999999999992,139.1999999999992,137.1999999999992
2011-02-17,2011-02-18,2011-02-25,-1,139.9000000000001,137.9000000000001,135.9000000000001
2011-02-28,2011-03-01,2011-03-08,-1,-54.60000000000065,-56.60000000000065,-58.60000000000065
2011-03-08,2011-03-09,2011-03-16,1,-189.99999999999915,-191.99999999999915,-193.99999999999915
2011-03-16,2011-03-17,2011-03-24,-1,-246.20000000000033,-248.20000000000033,-250.20000000000033
2011-03-24,2011-03-25,2011-04-01,1,218.6000000000007,216.6000000000007,214.6000000000007
2011-04-04,2011-04-05,2011-04-12,-1,-51.50000000000006,-53.50000000000006,-55.50000000000006
2011-04-12,2011-04-13,2011-04-20,-1,98.7000000000009,96.7000000000009,94.7000000000009
2011-04-28,2011-04-29,2011-05-06,-1,123.30000000000041,121.30000000000041,119.30000000000041
2011-05-26,2011-05-27,2011-06-03,-1,40.40000000000106,38.40000000000106,36.40000000000106
2011-06-03,2011-06-06,2011-06-13,-1,-5.200000000000671,-7.200000000000671,-9.20000000000067
2011-06-14,2011-06-15,2011-06-22,1,-28.400000000000603,-30.400000000000603,-32.4000000000006
2011-06-23,2011-06-24,2011-07-01,-1,-15.200000000000102,-17.200000000000102,-19.200000000000102
2011-07-01,2011-07-04,2011-07-11,1,-26.200000000000045,-28.200000000000045,-30.200000000000045
2011-07-11,2011-07-12,2011-07-19,-1,117.49999999999972,115.49999999999972,113.49999999999972
2011-07-27,2011-07-28,2011-08-04,1,-92.1999999999997,-94.1999999999997,-96.1999999999997
2011-08-04,2011-08-05,2011-08-12,-1,229.50000000000017,227.50000000000017,225.50000000000017
2011-09-12,2011-09-13,2011-09-20,1,-55.10000000000019,-57.10000000000019,-59.10000000000019
2011-09-21,2011-09-22,2011-09-29,1,10.500000000000398,8.500000000000398,6.500000000000398
2011-10-06,2011-10-07,2011-10-14,1,18.899999999999295,16.899999999999295,14.899999999999295
2011-10-25,2011-10-26,2011-11-02,-1,-228.50000000000108,-230.50000000000108,-232.50000000000108
2011-11-07,2011-11-08,2011-11-15,1,-98.79999999999995,-100.79999999999995,-102.79999999999995
2011-12-30,2012-01-02,2012-01-09,-1,29.399999999999693,27.399999999999693,25.399999999999693
2012-01-17,2012-01-18,2012-01-25,-1,-82.50000000000028,-84.50000000000028,-86.50000000000028
2012-03-14,2012-03-15,2012-03-22,1,-32.60000000000076,-34.60000000000076,-36.60000000000076
2012-04-10,2012-04-11,2012-04-18,-1,-15.899999999999181,-17.89999999999918,-19.89999999999918
2012-07-02,2012-07-03,2012-07-10,-1,-4.300000000000637,-6.300000000000637,-8.300000000000637
2012-07-18,2012-07-19,2012-07-26,-1,65.99999999999966,63.99999999999966,61.99999999999966
2012-08-07,2012-08-08,2012-08-15,1,14.19999999999959,12.19999999999959,10.19999999999959
2012-08-22,2012-08-23,2012-08-30,-1,-12.999999999999545,-14.999999999999545,-16.999999999999545
2012-08-31,2012-09-03,2012-09-10,-1,7.9999999999998295,5.9999999999998295,3.9999999999998295
2012-09-14,2012-09-17,2012-09-24,1,-23.100000000000875,-25.100000000000875,-27.100000000000875
2012-10-05,2012-10-08,2012-10-15,1,-23.399999999999466,-25.399999999999466,-27.399999999999466
2012-10-23,2012-10-24,2012-10-31,-1,26.600000000000534,24.600000000000534,22.600000000000534
2012-12-14,2012-12-17,2012-12-24,-1,-23.199999999999932,-25.199999999999932,-27.199999999999932
2013-01-24,2013-01-25,2013-02-01,-1,-131.00000000000023,-133.00000000000023,-135.00000000000023
2013-05-10,2013-05-13,2013-05-20,1,87.90000000000049,85.90000000000049,83.90000000000049
2013-06-14,2013-06-17,2013-06-24,-1,-378.3000000000001,-380.3000000000001,-382.3000000000001
2013-06-24,2013-06-25,2013-07-02,1,190.39999999999964,188.39999999999964,186.39999999999964
2013-07-05,2013-07-08,2013-07-15,1,-197.49999999999943,-199.49999999999943,-201.49999999999943
2013-08-01,2013-08-02,2013-08-09,1,-290.00000000000057,-292.00000000000057,-294.00000000000057
2013-08-22,2013-08-23,2013-08-30,1,-42.900000000000205,-44.900000000000205,-46.900000000000205
2013-09-03,2013-09-04,2013-09-11,1,82.20000000000027,80.20000000000027,78.20000000000027
2013-09-11,2013-09-12,2013-09-19,-1,181.6999999999993,179.6999999999993,177.6999999999993
2013-10-07,2013-10-08,2013-10-15,1,194.79999999999933,192.79999999999933,190.79999999999933
2013-11-08,2013-11-11,2013-11-18,1,109.89999999999895,107.89999999999895,105.89999999999895
2013-12-12,2013-12-13,2013-12-20,1,64.60000000000008,62.60000000000008,60.60000000000008
2013-12-26,2013-12-27,2014-01-03,1,2.2999999999996135,0.29999999999961346,-1.7000000000003865
